stage,result_role,sample_set,variant,method,method_kind,seed_count,sample_count,MAE_mean,MAE_std,MSE_mean,MSE_std,regret_to_oracle_mean,regret_to_oracle_std,oracle_label_accuracy_mean,oracle_label_accuracy_std,weight_entropy_mean,weight_entropy_std,normalized_weight_entropy_mean,normalized_weight_entropy_std,mean_max_weight_mean,mean_max_weight_std,source_file,selection_status,final_test_status
P2b_visual_pooling,selection,pilot_selection,visual_mean_patch_only,visual_mean_patch_only_raw_soft_fusion,raw_soft_fusion,3,30000,0.3009963275688582,0.0010003941856286,1.2341676710776053,0.1634485372388989,0.0342651239367996,0.0010003941856286,0.3788555555555555,0.0066650275762815,1.132446240349,0.0196009807549662,0.703628397787828,0.0121787730077679,0.5045982322749164,0.0089224212222693,experiment_summaries/visual_router_v2_round1/p2b_visual_pooling/visual_pooling_selection_comparison.csv,selection_only,not_final_test
P2b_visual_pooling,selection,pilot_selection,visual_cls_only,visual_cls_only_raw_soft_fusion,raw_soft_fusion,3,30000,0.3020478561468219,0.0012193528743068,1.2205139743689746,0.109630621692668,0.0353166525147633,0.0012193528743068,0.3761222222222222,0.0065738821046567,1.1279088405551725,0.0209452653458765,0.7008091529361303,0.0130140266581267,0.508792607528468,0.0083996867383192,experiment_summaries/visual_router_v2_round1/p2b_visual_pooling/visual_pooling_selection_comparison.csv,selection_only,not_final_test
P2b_visual_pooling,selection,pilot_selection,visual_cls_mean_concat,visual_cls_mean_concat_raw_soft_fusion,raw_soft_fusion,3,30000,0.3022199910361149,0.0039292078215832,1.2173165101747008,0.1187082200475501,0.0354887874040563,0.0039292078215832,0.5498777777777778,0.1599067830307997,1.1129568274017008,0.0235861724238636,0.6915189434301819,0.0146549155283531,0.5238133242002792,0.0117811548650106,experiment_summaries/visual_router_v2_round1/p2b_visual_pooling/visual_pooling_selection_comparison.csv,selection_only,not_final_test
P2b_visual_pooling,selection,pilot_selection,visual_mean_patch_only,visual_mean_patch_only_hard_top1,hard_top1,3,30000,0.3197062072221915,0.0010773808696116,1.3514443786214192,0.1933048299678758,0.0529750035901329,0.0010773808696116,0.3788555555555555,0.0066650275762815,1.132446240349,0.0196009807549662,0.703628397787828,0.0121787730077679,0.5045982322749164,0.0089224212222693,experiment_summaries/visual_router_v2_round1/p2b_visual_pooling/visual_pooling_selection_comparison.csv,selection_only,not_final_test
P2b_visual_pooling,selection,pilot_selection,visual_cls_only,visual_cls_only_hard_top1,hard_top1,3,30000,0.3204505969752793,0.0005079002867202,1.3645655381776554,0.191217707932394,0.0537193933432206,0.0005079002867202,0.3761222222222222,0.0065738821046567,1.1279088405551725,0.0209452653458765,0.7008091529361303,0.0130140266581267,0.508792607528468,0.0083996867383192,experiment_summaries/visual_router_v2_round1/p2b_visual_pooling/visual_pooling_selection_comparison.csv,selection_only,not_final_test
P2b_visual_pooling,selection,pilot_selection,visual_cls_mean_concat,visual_cls_mean_concat_hard_top1,hard_top1,3,30000,0.3208364584159612,0.0033885319716732,1.391805766162325,0.1768387983562084,0.0541052547839026,0.0033885319716732,0.5498777777777778,0.1599067830307997,1.1129568274017008,0.0235861724238636,0.6915189434301819,0.0146549155283531,0.5238133242002792,0.0117811548650106,experiment_summaries/visual_router_v2_round1/p2b_visual_pooling/visual_pooling_selection_comparison.csv,selection_only,not_final_test
P2c_aux_only,selection,pilot_selection,aux_only,revin_aux_only_fusion_huber_kl_hard_top1,hard_top1,3,30000,0.351776135077309,0.0001133766403855,1.6153619333510143,0.0856223524788933,0.0850449314452505,0.0001133766403855,0.3230444444444444,0.0018397866220882,1.2777122419599796,0.008271808857657,0.7938872522442187,0.0051395638152619,0.4245778964501288,0.0047653210878629,experiment_summaries/visual_router_v2_round1/p2c_aux_only/aux_only_selection_comparison.csv,selection_only,not_final_test
P2c_aux_only,selection,pilot_selection,aux_only,revin_aux_only_fusion_huber_kl_raw_soft_fusion,raw_soft_fusion,3,30000,0.3329870488368877,0.0003100777567659,1.510007788979285,0.0647873472444188,0.0662558452048291,0.0003100777567659,0.3230444444444444,0.0018397866220882,1.2777122419599796,0.008271808857657,0.7938872522442187,0.0051395638152619,0.4245778964501288,0.0047653210878629,experiment_summaries/visual_router_v2_round1/p2c_aux_only/aux_only_selection_comparison.csv,selection_only,not_final_test
P2d_concat,selection,pilot_selection,cls_mean_concat_plus_aux,cls_mean_concat_plus_aux_raw_soft_fusion,raw_soft_fusion,3,30000,0.3006053013230945,0.0012871844977341,1.205400629274794,0.0580464558012344,0.0338740976910359,0.0012871844977341,0.4679111111111111,0.1465579154893811,1.1181368419219009,0.0167931003181413,0.6947374665111022,0.0104341391187923,0.5131478660404682,0.006964428890328,experiment_summaries/visual_router_v2_round1/p2d_concat/round1_concat_selection_comparison.csv,selection_only,not_final_test
P2d_concat,selection,pilot_selection,mean_patch_plus_aux,mean_patch_plus_aux_raw_soft_fusion,raw_soft_fusion,3,30000,0.3008313434756582,0.0005477122935418,1.2399377942385863,0.1826190252798502,0.0341001398435996,0.0005477122935418,0.4681333333333333,0.1488602476597877,1.1235567863358626,0.0173889627463956,0.6981050738230037,0.0108043696836602,0.5108146832679709,0.010831384628914,experiment_summaries/visual_router_v2_round1/p2d_concat/round1_concat_selection_comparison.csv,selection_only,not_final_test
