variant,sample_set,stratum_column,stratum_value,seed_count,sample_count,raw_soft_MAE_mean,raw_soft_MSE_mean,raw_soft_regret_mean,oracle_label_accuracy_mean,delta_vs_visual_cls_mean_concat,delta_vs_round0_timefuse
cls_mean_concat_plus_aux,pilot_test,cv_cat,highly_variable,3,6495.0,0.36948228600219285,2.7633301545210625,0.0721160312155692,0.4569668976135488,-0.005170788414208927,-0.022972335424511547
film_cls_mean_concat_aux,pilot_test,cv_cat,highly_variable,3,6495.0,0.37413109802992023,3.288613304520702,0.07676484324329663,0.4351039260969977,-0.0005219763864815485,-0.01832352339678417
film_mean_patch_aux,pilot_test,cv_cat,highly_variable,3,6495.0,0.37357099080971873,3.2744841947144985,0.07620473602309509,0.5017705927636643,-0.0010820836066830486,-0.01888363061698567
mean_patch_plus_aux,pilot_test,cv_cat,highly_variable,3,6495.0,0.37225051365944406,2.9846517508941477,0.0748842588728204,0.4532717474980754,-0.0024025607569577168,-0.020204107767260338
round0_original_visual,pilot_test,cv_cat,highly_variable,1,6495.0,0.4308246744732078,2.466330997430533,0.1334584196865842,0.4892994611239415,0.05617160005680605,0.03837005304650343
round0_timefuse,pilot_test,cv_cat,highly_variable,1,6495.0,0.3924546214267044,2.944278077906144,0.0950883666400808,0.5727482678983834,0.01780154701030262,0.0
visual_cls_mean_concat,pilot_test,cv_cat,highly_variable,3,6495.0,0.3746530744164018,2.8336291380652496,0.07728681962977807,0.5367205542725173,0.0,-0.01780154701030262
visual_mean_patch_only,pilot_test,cv_cat,highly_variable,3,6495.0,0.37037386410433887,2.7361596443016682,0.07300760931771523,0.3627405696689761,-0.004279210312062909,-0.02208075732236553
cls_mean_concat_plus_aux,pilot_test,cv_cat,moderate,3,17636.0,0.5212415206001814,3.1717817391742003,0.09166057527568021,0.44807968549179705,-0.0020571399108375577,-0.02570579275145468
film_cls_mean_concat_aux,pilot_test,cv_cat,moderate,3,17636.0,0.5318706590094958,5.599496406716098,0.10228971368499469,0.44157783321992894,0.008571998498476896,-0.015076654342140228
film_mean_patch_aux,pilot_test,cv_cat,moderate,3,17636.0,0.5261821067506496,4.728552100843939,0.09660116142614845,0.47499432977999545,0.0028834462396306604,-0.020765206600986463
mean_patch_plus_aux,pilot_test,cv_cat,moderate,3,17636.0,0.5241217659348677,3.426265194574754,0.0945408206103666,0.4437514175550011,0.00082310542384878,-0.022825547416768344
round0_original_visual,pilot_test,cv_cat,moderate,1,17636.0,0.581951456933873,3.3935607812180444,0.1523705116093719,0.4007711499206169,0.05865279642285404,0.03500414358223691
round0_timefuse,pilot_test,cv_cat,moderate,1,17636.0,0.546947313351636,2.8899982563904083,0.1173663680271349,0.4597414379677931,0.023648652840617124,0.0
visual_cls_mean_concat,pilot_test,cv_cat,moderate,3,17636.0,0.5232986605110189,3.0615157299165943,0.0937177151865179,0.47240492931125727,0.0,-0.023648652840617124
visual_mean_patch_only,pilot_test,cv_cat,moderate,3,17636.0,0.5223190021905254,3.1660809950820603,0.09273805686602439,0.41065623346185826,-0.000979658320493515,-0.02462831116111064
cls_mean_concat_plus_aux,pilot_test,cv_cat,stable,3,39999.0,0.4206075635448485,440.1179585272843,0.13359069935345355,0.4084935456719751,0.02178538101922628,-0.13005215239457557
film_cls_mean_concat_aux,pilot_test,cv_cat,stable,3,39999.0,0.3515211257924619,322.0572860385192,0.06450426160106691,0.40798519962999075,-0.04730105673316032,-0.19913859014696217
film_mean_patch_aux,pilot_test,cv_cat,stable,3,39999.0,0.3501246137734164,321.9704490486237,0.06310774958202134,0.5411885297132428,-0.04869756875220582,-0.20053510216600767
mean_patch_plus_aux,pilot_test,cv_cat,stable,3,39999.0,0.5364935082907825,891.012983596151,0.2494766440993874,0.4070101752543813,0.13767132576516022,-0.014166207648641627
round0_original_visual,pilot_test,cv_cat,stable,1,39999.0,0.6471721913576151,937.9191527080396,0.36015532716622,0.4900372509312732,0.24835000883199282,0.09651247541819097
round0_timefuse,pilot_test,cv_cat,stable,1,39999.0,0.5506597159394241,1046.1258395362777,0.2636428517480291,0.6724668116702918,0.15183753341380185,0.0
visual_cls_mean_concat,pilot_test,cv_cat,stable,3,39999.0,0.39882218252562224,437.92648481662803,0.11180531833422724,0.5384551280448678,0.0,-0.15183753341380185
visual_mean_patch_only,pilot_test,cv_cat,stable,3,39999.0,0.4194452357001815,548.9024481740511,0.13242837150878653,0.2746318657966449,0.020623053174559258,-0.1312144802392426
cls_mean_concat_plus_aux,pilot_test,cv_cat,variable,3,10870.0,0.5109795311849991,67.27663228309372,0.09391436342203154,0.4799754676479608,-0.005568724871289232,-0.03370569442789284
film_cls_mean_concat_aux,pilot_test,cv_cat,variable,3,10870.0,0.5149104919995823,69.70623455658257,0.09784532423661474,0.46583869978534187,-0.0016377640567060148,-0.029774733613309623
film_mean_patch_aux,pilot_test,cv_cat,variable,3,10870.0,0.5175775418309358,70.68927052965827,0.10051237406796831,0.495308187672493,0.0010292857746475592,-0.02710768378195605
mean_patch_plus_aux,pilot_test,cv_cat,variable,3,10870.0,0.5140461675753162,67.91625302938894,0.09698099981234863,0.4728304201165286,-0.002502088480972109,-0.030639058037575717
round0_original_visual,pilot_test,cv_cat,variable,1,10870.0,0.5775473068217496,67.29535886106127,0.160482139058782,0.4139834406623735,0.060999050765461305,0.032862081208857696
round0_timefuse,pilot_test,cv_cat,variable,1,10870.0,0.5446852256128919,66.5686778239064,0.1276200578499244,0.4891444342226311,0.028136969556603608,0.0
visual_cls_mean_concat,pilot_test,cv_cat,variable,3,10870.0,0.5165482560562883,67.05315176289484,0.09948308829332063,0.5008892977614229,0.0,-0.028136969556603608
visual_mean_patch_only,pilot_test,cv_cat,variable,3,10870.0,0.5132084985535574,67.37161710878905,0.09614333079058979,0.4370131861392211,-0.0033397575027308557,-0.031476727059334464
cls_mean_concat_plus_aux,pilot_test,dataset_name,TEST_DATA_HOUR,3,7192.0,0.282699012234463,1.0100569265737829,0.030697208617799666,0.4847052280311457,-0.0033054109950037547,-0.021043071565833404
film_cls_mean_concat_aux,pilot_test,dataset_name,TEST_DATA_HOUR,3,7192.0,0.28364340765134394,1.3405616246248488,0.03164160403468063,0.48025583982202447,-0.0023610155781227937,-0.020098676148952443
film_mean_patch_aux,pilot_test,dataset_name,TEST_DATA_HOUR,3,7192.0,0.28268875786909925,1.3359817831043692,0.030686954252435897,0.5665554319614386,-0.0033156653603674813,-0.02105332593119713
mean_patch_plus_aux,pilot_test,dataset_name,TEST_DATA_HOUR,3,7192.0,0.28321298524586075,1.214087008314496,0.03121118162919743,0.48039488320355944,-0.002791437983605982,-0.020529098554435632
round0_original_visual,pilot_test,dataset_name,TEST_DATA_HOUR,1,7192.0,0.3010652021601849,0.7955859439672943,0.0490633985435216,0.6088709677419355,0.015060778930718166,-0.0026768816401114837
round0_timefuse,pilot_test,dataset_name,TEST_DATA_HOUR,1,7192.0,0.3037420838002964,1.598094348880278,0.0517402801836331,0.585928809788654,0.01773766057082965,0.0
visual_cls_mean_concat,pilot_test,dataset_name,TEST_DATA_HOUR,3,7192.0,0.28600442322946673,1.1305270887437986,0.03400261961280343,0.5649796069707081,0.0,-0.01773766057082965
visual_mean_patch_only,pilot_test,dataset_name,TEST_DATA_HOUR,3,7192.0,0.2846528515337931,1.1416764989951604,0.032651047917129764,0.39919354838709675,-0.0013515716956736257,-0.019089232266503275
cls_mean_concat_plus_aux,pilot_test,dataset_name,TEST_DATA_MIN,3,67808.0,0.470998422709859,271.3868018337046,0.12134982181695482,0.42680804624823027,0.011278461858414413,-0.08877341686684775
film_cls_mean_concat_aux,pilot_test,dataset_name,TEST_DATA_MIN,3,67808.0,0.43398506953125704,202.78060253542625,0.08433646863835291,0.4209287006449583,-0.025734891320187525,-0.1257867700454497
film_mean_patch_aux,pilot_test,dataset_name,TEST_DATA_MIN,3,67808.0,0.43215691333462375,202.6595755790519,0.08250831244171968,0.5101512112631744,-0.027563047516820816,-0.12761492624208298
mean_patch_plus_aux,pilot_test,dataset_name,TEST_DATA_MIN,3,67808.0,0.5408092915293753,537.5318135562425,0.19116069063647112,0.4237651407896807,0.08108933067793073,-0.01896254804733144
round0_original_visual,pilot_test,dataset_name,TEST_DATA_MIN,1,67808.0,0.6350345228958071,565.08781476589,0.2853859220029028,0.4419537517697027,0.17531456204436252,0.07526268331910035
round0_timefuse,pilot_test,dataset_name,TEST_DATA_MIN,1,67808.0,0.5597718395767067,628.6306421715134,0.2101232386838025,0.5873790703161869,0.10005187872526217,0.0
visual_cls_mean_concat,pilot_test,dataset_name,TEST_DATA_MIN,3,67808.0,0.45971996085144456,270.02353391466005,0.11007135995854038,0.5122748544911122,0.0,-0.10005187872526217
visual_mean_patch_only,pilot_test,dataset_name,TEST_DATA_MIN,3,67808.0,0.47082850436242746,335.5544467677065,0.12117990346952323,0.33126868019506056,0.011108543510982893,-0.08894333521427927
cls_mean_concat_plus_aux,pilot_test,error_gap_quantile,q1,3,20863.0,0.16458147666699438,794.1740972081442,0.09897494217543144,0.33526658038952534,-0.00798230870653066,-0.25512541568157276
film_cls_mean_concat_aux,pilot_test,error_gap_quantile,q1,3,20863.0,0.06737141157301542,642.7081672600375,0.0017648770814525,0.3379507581204364,-0.10519237380050962,-0.3523354807755517
film_mean_patch_aux,pilot_test,error_gap_quantile,q1,3,20863.0,0.06741870583365488,642.7082050956597,0.0018121713420919665,0.6433878157503714,-0.10514507953987016,-0.3522881865149122
mean_patch_plus_aux,pilot_test,error_gap_quantile,q1,3,20863.0,0.37041320148329127,1647.7018576262608,0.30480666699172826,0.3347233539439837,0.19784941610976622,-0.04929369086527585
round0_original_visual,pilot_test,error_gap_quantile,q1,1,20863.0,0.3887032064462387,1808.0926328918567,0.3230966719546757,0.9715285433542636,0.21613942107271364,-0.031003685902328437
round0_timefuse,pilot_test,error_gap_quantile,q1,1,20863.0,0.4197068923485671,2019.1724928144813,0.3541003578570041,0.979868667018166,0.24714310697504208,0.0
visual_cls_mean_concat,pilot_test,error_gap_quantile,q1,3,20863.0,0.17256378537352504,867.8266324786497,0.10695725088196217,0.6636469667193916,0.0,-0.24714310697504208
visual_mean_patch_only,pilot_test,error_gap_quantile,q1,3,20863.0,0.20755478856473605,1080.8856356157694,0.14194825407317313,0.009186917829011433,0.03499100319121101,-0.21215210378383106
cls_mean_concat_plus_aux,pilot_test,error_gap_quantile,q2,3,9066.0,0.36208746743986703,0.9346523170871085,0.04300408211630053,0.300904478270461,-0.0015685286156291722,-0.03700820707650149
film_cls_mean_concat_aux,pilot_test,error_gap_quantile,q2,3,9066.0,0.3596132263179359,0.9275806447576866,0.040529840994369536,0.2803882638429296,-0.004042769737560292,-0.03948244819843261
film_mean_patch_aux,pilot_test,error_gap_quantile,q2,3,9066.0,0.36172472426459007,0.9320606729144488,0.04264133894102364,0.2784763585557761,-0.0019312717909061305,-0.037370950251778445
mean_patch_plus_aux,pilot_test,error_gap_quantile,q2,3,9066.0,0.3613400352152807,0.9351286418763577,0.0422566498917143,0.29792631811162584,-0.002315960840215514,-0.03775563930108783
round0_original_visual,pilot_test,error_gap_quantile,q2,1,9066.0,0.3974841803124195,0.9821061496037924,0.078400794988853,0.2046106331347893,0.0338281842569233,-0.0016114942039490154
round0_timefuse,pilot_test,error_gap_quantile,q2,1,9066.0,0.3990956745163685,1.003259355804213,0.0800122891928021,0.2584381204500331,0.035439678460872315,0.0
visual_cls_mean_concat,pilot_test,error_gap_quantile,q2,3,9066.0,0.3636559960554962,0.9360528168658311,0.0445726107319298,0.29491139054342225,0.0,-0.035439678460872315
visual_mean_patch_only,pilot_test,error_gap_quantile,q2,3,9066.0,0.36188728460633296,0.9349981698208748,0.04280389928276653,0.3015662916390911,-0.0017687114491632405,-0.037208389910035555
cls_mean_concat_plus_aux,pilot_test,error_gap_quantile,q3,3,14069.0,0.47959505528200036,1.1014306765912918,0.05372419888863167,0.34842561660388083,-0.0004505081087017859,-0.027801168460083014
film_cls_mean_concat_aux,pilot_test,error_gap_quantile,q3,3,14069.0,0.4776238294966569,1.0979373232494396,0.051752973103288226,0.34508493851730754,-0.0024217338940452637,-0.029772394245426492
film_mean_patch_aux,pilot_test,error_gap_quantile,q3,3,14069.0,0.47882202225680714,1.0992305555727995,0.0529511658634384,0.34278674153576416,-0.0012235411338950009,-0.02857420148527623
mean_patch_plus_aux,pilot_test,error_gap_quantile,q3,3,14069.0,0.47851672787497185,1.1004929613167618,0.052645871481603164,0.34719359347975454,-0.001528835515730298,-0.028879495867111526
round0_original_visual,pilot_test,error_gap_quantile,q3,1,14069.0,0.5476282438042868,1.2888391454183914,0.1217573874109181,0.2170729973701045,0.06758268041358462,0.04023202006220339
round0_timefuse,pilot_test,error_gap_quantile,q3,1,14069.0,0.5073962237420834,1.377538474027535,0.0815253673487146,0.3238325396261283,0.02735066035138123,0.0
visual_cls_mean_concat,pilot_test,error_gap_quantile,q3,3,14069.0,0.48004556339070215,1.1034701102309736,0.0541747069973334,0.3445636979647925,0.0,-0.02735066035138123
visual_mean_patch_only,pilot_test,error_gap_quantile,q3,3,14069.0,0.47956506119723064,1.1024909872274904,0.05369420480386194,0.34702774421304516,-0.00048050219347151035,-0.02783116254485274
cls_mean_concat_plus_aux,pilot_test,error_gap_quantile,q4,3,14190.0,0.5563739471951001,1.0642554834083697,0.07974415754490796,0.4639182522903453,-0.0012886549180585183,-0.018792394242040267
film_cls_mean_concat_aux,pilot_test,error_gap_quantile,q4,3,14190.0,0.5549906612332666,1.0608065430248417,0.07836087158307432,0.46107587502936337,-0.0026719408798920874,-0.020175680203873836
film_mean_patch_aux,pilot_test,error_gap_quantile,q4,3,14190.0,0.5550648366076546,1.0704215992665433,0.07843504695746237,0.46939159032182287,-0.002597765505504057,-0.020101504829485806
mean_patch_plus_aux,pilot_test,error_gap_quantile,q4,3,14190.0,0.5564400219339946,1.06477160192159,0.0798102322838024,0.45922010805731733,-0.0012225801791641011,-0.01872631950314585
round0_original_visual,pilot_test,error_gap_quantile,q4,1,14190.0,0.675457878012056,1.3282255660785256,0.1988280883618639,0.2437632135306554,0.11779527589889738,0.10029153657491563
round0_timefuse,pilot_test,error_gap_quantile,q4,1,14190.0,0.5751663414371404,1.124470605451066,0.0985365517869482,0.4373502466525722,0.01750373932398175,0.0
visual_cls_mean_concat,pilot_test,error_gap_quantile,q4,3,14190.0,0.5576626021131587,1.0747588269150918,0.0810328124629665,0.4559548978153629,0.0,-0.01750373932398175
visual_mean_patch_only,pilot_test,error_gap_quantile,q4,3,14190.0,0.5578344772215892,1.067184266423353,0.08120468757139707,0.45900869156683105,0.00017187510843053033,-0.017331864215551218
cls_mean_concat_plus_aux,pilot_test,error_gap_quantile,q5,3,16812.0,0.750173380450042,107.1576865748877,0.2442932706010278,0.667340788325799,0.05629174545928639,0.008631158962110086
film_cls_mean_concat_aux,pilot_test,error_gap_quantile,q5,3,16812.0,0.7260761701801807,18.561667333371023,0.22019606033116645,0.6546514394480133,0.032194535189425055,-0.01546605130775125
film_mean_patch_aux,pilot_test,error_gap_quantile,q5,3,16812.0,0.7160316234478218,18.05990838074617,0.21015151359880757,0.6683321437068761,0.022149988457066172,-0.025510598040110133
mean_patch_plus_aux,pilot_test,error_gap_quantile,q5,3,16812.0,0.7777830771108797,121.49745723040216,0.2719029672618655,0.6605004361963677,0.08390144212012407,0.036240855622947765
round0_original_visual,pilot_test,error_gap_quantile,q5,1,16812.0,0.9649801473103184,33.016644340936395,0.4591000374613042,0.3396383535569831,0.27109851231956283,0.22343792582238653
round0_timefuse,pilot_test,error_gap_quantile,q5,1,16812.0,0.7415422214879319,27.792766198693087,0.2356621116389177,0.6242564834641923,0.047660586497176305,0.0
visual_cls_mean_concat,pilot_test,error_gap_quantile,q5,3,16812.0,0.6938816349907556,10.299649151378498,0.18800152514174148,0.6520739154572132,0.0,-0.047660586497176305
visual_mean_patch_only,pilot_test,error_gap_quantile,q5,3,16812.0,0.6958960729367848,10.22120295658849,0.1900159630877706,0.6550281544928226,0.0020144379460291795,-0.045646148551147125
cls_mean_concat_plus_aux,pilot_test,forecastability_cat,high,3,28354.0,0.23742775251597129,2.9114271267964007,0.0413881351284065,0.41614351884507766,2.9697644970322346e-05,-0.00919010576160112
film_cls_mean_concat_aux,pilot_test,forecastability_cat,high,3,28354.0,0.23787114981915491,3.7250260156813617,0.0418315324315901,0.4156027368272554,0.0004730949481539515,-0.00874670845841749
film_mean_patch_aux,pilot_test,forecastability_cat,high,3,28354.0,0.23850065912880228,4.046882243522168,0.042461041741237465,0.5837506759775223,0.001102604257801315,-0.008117199148770127
mean_patch_plus_aux,pilot_test,forecastability_cat,high,3,28354.0,0.23758169892512349,2.9709854267235354,0.04154208153755876,0.41516775998683314,0.0001836440541225226,-0.00903615935244892
round0_original_visual,pilot_test,forecastability_cat,high,1,28354.0,0.3658919841272144,2.6845460412865325,0.1698523667396497,0.5642237426818085,0.12849392925621345,0.119274125849642
round0_timefuse,pilot_test,forecastability_cat,high,1,28354.0,0.2466178582775724,2.348275136749108,0.0505782408900076,0.7520984693517669,0.009219803406571442,0.0
visual_cls_mean_concat,pilot_test,forecastability_cat,high,3,28354.0,0.23739805487100096,2.5974075846928044,0.04135843748343623,0.5803178857774329,0.0,-0.009219803406571442
visual_mean_patch_only,pilot_test,forecastability_cat,high,3,28354.0,0.23917254432046905,2.8280450774523387,0.04313292693290427,0.2475370905927441,0.0017744894494680918,-0.00744531395710335
cls_mean_concat_plus_aux,pilot_test,forecastability_cat,low,3,39753.0,0.6330007918306575,460.9331272513685,0.17504854782014675,0.42034563429175154,0.018804049362524,-0.14645271433753615
film_cls_mean_concat_aux,pilot_test,forecastability_cat,low,3,39753.0,0.5688246802999971,343.3852088592675,0.11087243628948636,0.41173412488784916,-0.045372062168136384,-0.21062882586819653
film_mean_patch_aux,pilot_test,forecastability_cat,low,3,39753.0,0.565715825795354,342.9511701934728,0.10776358178484326,0.4446037615609723,-0.04848091667277954,-0.2137376803728397
mean_patch_plus_aux,pilot_test,forecastability_cat,low,3,39753.0,0.7519289049957246,914.9000014826844,0.29397666098521386,0.4155577356845186,0.13773216252759113,-0.02752460117246902
round0_original_visual,pilot_test,forecastability_cat,low,1,39753.0,0.7993749297092867,961.9741309445346,0.341422685698776,0.3675194324956607,0.1851781872411532,0.019921423541093053
round0_timefuse,pilot_test,forecastability_cat,low,1,39753.0,0.7794535061681936,1070.8005103753542,0.3215012621576831,0.4514124720146907,0.16525676370006015,0.0
visual_cls_mean_concat,pilot_test,forecastability_cat,low,3,39753.0,0.6141967424681335,458.85398143206675,0.15624449845762275,0.45064942687763604,0.0,-0.16525676370006015
visual_mean_patch_only,pilot_test,forecastability_cat,low,3,39753.0,0.6315471590892165,570.4700279545847,0.1735949150787058,0.37699460837337223,0.017350416621083053,-0.1479063470789771
cls_mean_concat_plus_aux,pilot_test,forecastability_cat,medium,3,6893.0,0.3010192036295372,0.4983861568148091,0.0459943329781165,0.5683543691667875,-0.001068039389903297,-0.012821501491971976
film_cls_mean_concat_aux,pilot_test,forecastability_cat,medium,3,6893.0,0.3061855338264676,0.5189062085299748,0.051160663175046965,0.5577639150829343,0.004098290807027116,-0.007655171295041563
film_mean_patch_aux,pilot_test,forecastability_cat,medium,3,6893.0,0.3025452798792931,0.5027874676464172,0.0475204092278723,0.644276802553315,0.00045803685985257303,-0.011295425242216106
mean_patch_plus_aux,pilot_test,forecastability_cat,medium,3,6893.0,0.3017906540394774,0.49758416582171544,0.0467657833880567,0.5655495913728904,-0.0002965889799630972,-0.012050051082031776
round0_original_visual,pilot_test,forecastability_cat,medium,1,6893.0,0.4459058412561465,0.8299944671054599,0.1908809706047258,0.5424343536921514,0.143818598236706,0.13206513613463733
round0_timefuse,pilot_test,forecastability_cat,medium,1,6893.0,0.3138407051215092,0.5171038363970624,0.0588158344700885,0.6924416074278253,0.01175346210206868,0.0
visual_cls_mean_concat,pilot_test,forecastability_cat,medium,3,6893.0,0.3020872430194405,0.4957667172762146,0.047062372368019835,0.6427776971807148,0.0,-0.01175346210206868
visual_mean_patch_only,pilot_test,forecastability_cat,medium,3,6893.0,0.3025924844193115,0.49404503129612104,0.047567613767890836,0.48285700469074905,0.0005052413998710148,-0.011248220702197664
cls_mean_concat_plus_aux,pilot_test,group_name,HIGH_HIGH_HIGH,3,2305.0,0.10500050112975463,0.11002807456950203,0.013013944129573301,0.3745480838756327,-0.00251742345171517,-0.02068640680008106
film_cls_mean_concat_aux,pilot_test,group_name,HIGH_HIGH_HIGH,3,2305.0,0.10492278868281153,0.0993348265342268,0.0129362316826302,0.3745480838756327,-0.002595135898658271,-0.020764119247024163
film_mean_patch_aux,pilot_test,group_name,HIGH_HIGH_HIGH,3,2305.0,0.10495932063176873,0.09932795073690354,0.0129727636315874,0.5798987707881417,-0.0025586039497010743,-0.020727587298066966
mean_patch_plus_aux,pilot_test,group_name,HIGH_HIGH_HIGH,3,2305.0,0.10434591757810037,0.0989021341157168,0.012359360577919067,0.37165582067968184,-0.003172007003369434,-0.021340990351735326
round0_original_visual,pilot_test,group_name,HIGH_HIGH_HIGH,1,2305.0,0.1078335344782321,0.1297106426585814,0.0158469774780508,0.775704989154013,0.0003156098967622978,-0.017853373451603594
round0_timefuse,pilot_test,group_name,HIGH_HIGH_HIGH,1,2305.0,0.1256869079298357,0.9795113226823168,0.0337003509296544,0.7566160520607376,0.01816898334836589,0.0
visual_cls_mean_concat,pilot_test,group_name,HIGH_HIGH_HIGH,3,2305.0,0.1075179245814698,0.1988409361830731,0.0155313675812885,0.5798987707881417,0.0,-0.01816898334836589
visual_mean_patch_only,pilot_test,group_name,HIGH_HIGH_HIGH,3,2305.0,0.10937591882270876,0.20724285838980525,0.01738936182252747,0.16992046276211129,0.001857994241238961,-0.01631098910712693
cls_mean_concat_plus_aux,pilot_test,group_name,HIGH_HIGH_LOW,3,2383.0,0.5020051132410711,15.920128247259669,0.07690179460975687,0.4983913834102671,0.000744786992744273,0.006036874651123625
film_cls_mean_concat_aux,pilot_test,group_name,HIGH_HIGH_LOW,3,2383.0,0.5824318912738494,34.6203347199808,0.15732857264253516,0.4811861798852986,0.08117156502552259,0.08646365268390194
film_mean_patch_aux,pilot_test,group_name,HIGH_HIGH_LOW,3,2383.0,0.5495821156469005,28.469020522468867,0.12447879701558628,0.5195132186319765,0.04832178939857368,0.05361387705695303
mean_patch_plus_aux,pilot_test,group_name,HIGH_HIGH_LOW,3,2383.0,0.5142769518982383,18.18636444138695,0.08917363326692418,0.5000699398517275,0.013016625649911462,0.018308713308290814
round0_original_visual,pilot_test,group_name,HIGH_HIGH_LOW,1,2383.0,0.524308834188754,16.150385888891222,0.0992055155574398,0.5312631137221989,0.02304850794042712,0.028340595598806473
round0_timefuse,pilot_test,group_name,HIGH_HIGH_LOW,1,2383.0,0.4959682385899475,12.182149059996693,0.0708649199586333,0.5232899706252623,-0.005292087658379352,0.0
visual_cls_mean_concat,pilot_test,group_name,HIGH_HIGH_LOW,3,2383.0,0.5012603262483268,15.158051096568203,0.07615700761701268,0.5507063925024479,0.0,0.005292087658379352
visual_mean_patch_only,pilot_test,group_name,HIGH_HIGH_LOW,3,2383.0,0.49675564491066426,15.859728656048928,0.0716523262793501,0.4611833822912295,-0.004504681337662575,0.000787406320716777
cls_mean_concat_plus_aux,pilot_test,group_name,HIGH_LOW_HIGH,3,15006.0,0.3532049027026334,4.991902892895667,0.059347201260339495,0.4761206628459727,0.0022332107656794498,-0.004765590142595533
film_cls_mean_concat_aux,pilot_test,group_name,HIGH_LOW_HIGH,3,15006.0,0.35663409735095786,6.5248383829305885,0.06277639590866387,0.4710782353725176,0.005662405414003924,-0.0013363954942710587
film_mean_patch_aux,pilot_test,group_name,HIGH_LOW_HIGH,3,15006.0,0.356968139340621,7.144235897313435,0.06311043789832707,0.575214358700964,0.00599644740366706,-0.0010023535046079224
mean_patch_plus_aux,pilot_test,group_name,HIGH_LOW_HIGH,3,15006.0,0.3541292337262328,5.113519577530177,0.060271532283938896,0.4737660491359012,0.0031575417892788504,-0.003841259118996132
round0_original_visual,pilot_test,group_name,HIGH_LOW_HIGH,1,15006.0,0.6024728258366501,4.529250550771233,0.3086151243943561,0.3644542183126749,0.25150113389969614,0.24450233299142116
round0_timefuse,pilot_test,group_name,HIGH_LOW_HIGH,1,15006.0,0.3579704928452289,3.4377921120852792,0.064112791402935,0.6778621884579501,0.0069988009082749825,0.0
