sample_set,variant,seed,method,selected_model,count,ratio
diagnostic_balanced,visual_cls_mean_concat,16,visual_cls_mean_concat_hard_top1,CrossFormer,1601,0.08005
diagnostic_balanced,visual_cls_mean_concat,16,visual_cls_mean_concat_hard_top1,DLinear,8379,0.41895
diagnostic_balanced,visual_cls_mean_concat,16,visual_cls_mean_concat_hard_top1,ES,4664,0.2332
diagnostic_balanced,visual_cls_mean_concat,16,visual_cls_mean_concat_hard_top1,NaiveForecaster,2295,0.11475
diagnostic_balanced,visual_cls_mean_concat,16,visual_cls_mean_concat_hard_top1,PatchTST,3061,0.15305
diagnostic_balanced,visual_cls_mean_concat,16,visual_cls_mean_concat_raw_soft_fusion,CrossFormer,1601,0.08005
diagnostic_balanced,visual_cls_mean_concat,16,visual_cls_mean_concat_raw_soft_fusion,DLinear,8379,0.41895
diagnostic_balanced,visual_cls_mean_concat,16,visual_cls_mean_concat_raw_soft_fusion,ES,4664,0.2332
diagnostic_balanced,visual_cls_mean_concat,16,visual_cls_mean_concat_raw_soft_fusion,NaiveForecaster,2295,0.11475
diagnostic_balanced,visual_cls_mean_concat,16,visual_cls_mean_concat_raw_soft_fusion,PatchTST,3061,0.15305
diagnostic_balanced,visual_cls_mean_concat,17,visual_cls_mean_concat_hard_top1,CrossFormer,5345,0.26725
diagnostic_balanced,visual_cls_mean_concat,17,visual_cls_mean_concat_hard_top1,DLinear,8350,0.4175
diagnostic_balanced,visual_cls_mean_concat,17,visual_cls_mean_concat_hard_top1,ES,2092,0.1046
diagnostic_balanced,visual_cls_mean_concat,17,visual_cls_mean_concat_hard_top1,NaiveForecaster,1186,0.0593
diagnostic_balanced,visual_cls_mean_concat,17,visual_cls_mean_concat_hard_top1,PatchTST,3027,0.15135
diagnostic_balanced,visual_cls_mean_concat,17,visual_cls_mean_concat_raw_soft_fusion,CrossFormer,5345,0.26725
diagnostic_balanced,visual_cls_mean_concat,17,visual_cls_mean_concat_raw_soft_fusion,DLinear,8350,0.4175
diagnostic_balanced,visual_cls_mean_concat,17,visual_cls_mean_concat_raw_soft_fusion,ES,2092,0.1046
diagnostic_balanced,visual_cls_mean_concat,17,visual_cls_mean_concat_raw_soft_fusion,NaiveForecaster,1186,0.0593
diagnostic_balanced,visual_cls_mean_concat,17,visual_cls_mean_concat_raw_soft_fusion,PatchTST,3027,0.15135
diagnostic_balanced,visual_cls_mean_concat,18,visual_cls_mean_concat_hard_top1,CrossFormer,1564,0.0782
diagnostic_balanced,visual_cls_mean_concat,18,visual_cls_mean_concat_hard_top1,DLinear,8108,0.4054
diagnostic_balanced,visual_cls_mean_concat,18,visual_cls_mean_concat_hard_top1,ES,4465,0.22325
diagnostic_balanced,visual_cls_mean_concat,18,visual_cls_mean_concat_hard_top1,NaiveForecaster,2316,0.1158
