sample_set,variant,seed,method,selected_model,count,ratio
diagnostic_balanced,cls_mean_concat_plus_aux,16,cls_mean_concat_plus_aux_hard_top1,CrossFormer,1195,0.05975
diagnostic_balanced,cls_mean_concat_plus_aux,16,cls_mean_concat_plus_aux_hard_top1,DLinear,8204,0.4102
diagnostic_balanced,cls_mean_concat_plus_aux,16,cls_mean_concat_plus_aux_hard_top1,ES,5395,0.26975
diagnostic_balanced,cls_mean_concat_plus_aux,16,cls_mean_concat_plus_aux_hard_top1,NaiveForecaster,1480,0.074
diagnostic_balanced,cls_mean_concat_plus_aux,16,cls_mean_concat_plus_aux_hard_top1,PatchTST,3726,0.1863
diagnostic_balanced,cls_mean_concat_plus_aux,16,cls_mean_concat_plus_aux_raw_soft_fusion,CrossFormer,1195,0.05975
diagnostic_balanced,cls_mean_concat_plus_aux,16,cls_mean_concat_plus_aux_raw_soft_fusion,DLinear,8204,0.4102
diagnostic_balanced,cls_mean_concat_plus_aux,16,cls_mean_concat_plus_aux_raw_soft_fusion,ES,5395,0.26975
diagnostic_balanced,cls_mean_concat_plus_aux,16,cls_mean_concat_plus_aux_raw_soft_fusion,NaiveForecaster,1480,0.074
diagnostic_balanced,cls_mean_concat_plus_aux,16,cls_mean_concat_plus_aux_raw_soft_fusion,PatchTST,3726,0.1863
diagnostic_balanced,cls_mean_concat_plus_aux,17,cls_mean_concat_plus_aux_hard_top1,CrossFormer,1160,0.058
diagnostic_balanced,cls_mean_concat_plus_aux,17,cls_mean_concat_plus_aux_hard_top1,DLinear,11089,0.55445
diagnostic_balanced,cls_mean_concat_plus_aux,17,cls_mean_concat_plus_aux_hard_top1,ES,2088,0.1044
diagnostic_balanced,cls_mean_concat_plus_aux,17,cls_mean_concat_plus_aux_hard_top1,NaiveForecaster,1901,0.09505
diagnostic_balanced,cls_mean_concat_plus_aux,17,cls_mean_concat_plus_aux_hard_top1,PatchTST,3762,0.1881
diagnostic_balanced,cls_mean_concat_plus_aux,17,cls_mean_concat_plus_aux_raw_soft_fusion,CrossFormer,1160,0.058
diagnostic_balanced,cls_mean_concat_plus_aux,17,cls_mean_concat_plus_aux_raw_soft_fusion,DLinear,11089,0.55445
diagnostic_balanced,cls_mean_concat_plus_aux,17,cls_mean_concat_plus_aux_raw_soft_fusion,ES,2088,0.1044
diagnostic_balanced,cls_mean_concat_plus_aux,17,cls_mean_concat_plus_aux_raw_soft_fusion,NaiveForecaster,1901,0.09505
diagnostic_balanced,cls_mean_concat_plus_aux,17,cls_mean_concat_plus_aux_raw_soft_fusion,PatchTST,3762,0.1881
diagnostic_balanced,cls_mean_concat_plus_aux,18,cls_mean_concat_plus_aux_hard_top1,CrossFormer,1611,0.08055
diagnostic_balanced,cls_mean_concat_plus_aux,18,cls_mean_concat_plus_aux_hard_top1,DLinear,10546,0.5273
diagnostic_balanced,cls_mean_concat_plus_aux,18,cls_mean_concat_plus_aux_hard_top1,ES,1347,0.06735
diagnostic_balanced,cls_mean_concat_plus_aux,18,cls_mean_concat_plus_aux_hard_top1,NaiveForecaster,2275,0.11375
diagnostic_balanced,cls_mean_concat_plus_aux,18,cls_mean_concat_plus_aux_hard_top1,PatchTST,4221,0.21105
diagnostic_balanced,cls_mean_concat_plus_aux,18,cls_mean_concat_plus_aux_raw_soft_fusion,CrossFormer,1611,0.08055
diagnostic_balanced,cls_mean_concat_plus_aux,18,cls_mean_concat_plus_aux_raw_soft_fusion,DLinear,10546,0.5273
diagnostic_balanced,cls_mean_concat_plus_aux,18,cls_mean_concat_plus_aux_raw_soft_fusion,ES,1347,0.06735
diagnostic_balanced,cls_mean_concat_plus_aux,18,cls_mean_concat_plus_aux_raw_soft_fusion,NaiveForecaster,2275,0.11375
diagnostic_balanced,cls_mean_concat_plus_aux,18,cls_mean_concat_plus_aux_raw_soft_fusion,PatchTST,4221,0.21105
diagnostic_balanced,mean_patch_plus_aux,16,mean_patch_plus_aux_hard_top1,CrossFormer,4218,0.2109
diagnostic_balanced,mean_patch_plus_aux,16,mean_patch_plus_aux_hard_top1,DLinear,8040,0.402
diagnostic_balanced,mean_patch_plus_aux,16,mean_patch_plus_aux_hard_top1,ES,2524,0.1262
diagnostic_balanced,mean_patch_plus_aux,16,mean_patch_plus_aux_hard_top1,NaiveForecaster,1725,0.08625
diagnostic_balanced,mean_patch_plus_aux,16,mean_patch_plus_aux_hard_top1,PatchTST,3493,0.17465
diagnostic_balanced,mean_patch_plus_aux,16,mean_patch_plus_aux_raw_soft_fusion,CrossFormer,4218,0.2109
diagnostic_balanced,mean_patch_plus_aux,16,mean_patch_plus_aux_raw_soft_fusion,DLinear,8040,0.402
diagnostic_balanced,mean_patch_plus_aux,16,mean_patch_plus_aux_raw_soft_fusion,ES,2524,0.1262
diagnostic_balanced,mean_patch_plus_aux,16,mean_patch_plus_aux_raw_soft_fusion,NaiveForecaster,1725,0.08625
diagnostic_balanced,mean_patch_plus_aux,16,mean_patch_plus_aux_raw_soft_fusion,PatchTST,3493,0.17465
diagnostic_balanced,mean_patch_plus_aux,17,mean_patch_plus_aux_hard_top1,CrossFormer,1251,0.06255
diagnostic_balanced,mean_patch_plus_aux,17,mean_patch_plus_aux_hard_top1,DLinear,8575,0.42875
diagnostic_balanced,mean_patch_plus_aux,17,mean_patch_plus_aux_hard_top1,ES,2147,0.10735
diagnostic_balanced,mean_patch_plus_aux,17,mean_patch_plus_aux_hard_top1,NaiveForecaster,4703,0.23515
diagnostic_balanced,mean_patch_plus_aux,17,mean_patch_plus_aux_hard_top1,PatchTST,3324,0.1662
diagnostic_balanced,mean_patch_plus_aux,17,mean_patch_plus_aux_raw_soft_fusion,CrossFormer,1251,0.06255
diagnostic_balanced,mean_patch_plus_aux,17,mean_patch_plus_aux_raw_soft_fusion,DLinear,8575,0.42875
diagnostic_balanced,mean_patch_plus_aux,17,mean_patch_plus_aux_raw_soft_fusion,ES,2147,0.10735
diagnostic_balanced,mean_patch_plus_aux,17,mean_patch_plus_aux_raw_soft_fusion,NaiveForecaster,4703,0.23515
diagnostic_balanced,mean_patch_plus_aux,17,mean_patch_plus_aux_raw_soft_fusion,PatchTST,3324,0.1662
diagnostic_balanced,mean_patch_plus_aux,18,mean_patch_plus_aux_hard_top1,CrossFormer,1342,0.0671
diagnostic_balanced,mean_patch_plus_aux,18,mean_patch_plus_aux_hard_top1,DLinear,8198,0.4099
diagnostic_balanced,mean_patch_plus_aux,18,mean_patch_plus_aux_hard_top1,ES,4548,0.2274
