sample_set,variant,seed,method,sample_count,MAE,MSE,regret_to_oracle,oracle_label_accuracy,weight_entropy,normalized_weight_entropy,mean_max_weight
pilot_selection,mean_patch_plus_aux,16,mean_patch_plus_aux_hard_top1,30000,0.3183671429114192,1.1745769488050268,0.051635939279360596,0.3798,1.1426941331607678,0.7099957752868378,0.49832024129976826
pilot_selection,mean_patch_plus_aux,16,mean_patch_plus_aux_raw_soft_fusion,30000,0.300424182440839,1.1217704589938466,0.03369297880878042,0.3798,1.1426941331607678,0.7099957752868378,0.49832024129976826
diagnostic_balanced,mean_patch_plus_aux,16,mean_patch_plus_aux_hard_top1,20000,0.37297570254292123,1.454891157958735,0.06748545973824475,0.34995,1.0559543806106084,0.6561013359881472,0.5445387795716524
diagnostic_balanced,mean_patch_plus_aux,16,mean_patch_plus_aux_raw_soft_fusion,20000,0.3472618409802163,1.3777324123859418,0.04177159817553984,0.34995,1.0559543806106084,0.6561013359881472,0.5445387795716524
pilot_selection,mean_patch_plus_aux,17,mean_patch_plus_aux_hard_top1,30000,0.31730650436530333,1.213857440467125,0.05057530073324475,0.3846,1.119250953674658,0.6954297105963653,0.5175472730879982
pilot_selection,mean_patch_plus_aux,17,mean_patch_plus_aux_raw_soft_fusion,30000,0.3006158134166199,1.1477697873081418,0.0338846097845613,0.3846,1.119250953674658,0.6954297105963653,0.5175472730879982
diagnostic_balanced,mean_patch_plus_aux,17,mean_patch_plus_aux_hard_top1,20000,0.37385274552190767,1.4761360411950006,0.0683625027172312,0.35125,1.0406287382887442,0.6465789801713254,0.5556690909139812
diagnostic_balanced,mean_patch_plus_aux,17,mean_patch_plus_aux_raw_soft_fusion,20000,0.34787549621524216,1.3580400277528115,0.0423852534105657,0.35125,1.0406287382887442,0.6465789801713254,0.5556690909139812
pilot_selection,mean_patch_plus_aux,18,mean_patch_plus_aux_hard_top1,30000,0.3187705654861788,1.5323083199855483,0.05203936185412022,0.64,1.1087252721721617,0.6888897355858081,0.5165765354161461
pilot_selection,mean_patch_plus_aux,18,mean_patch_plus_aux_raw_soft_fusion,30000,0.30145403456951586,1.4502731364137709,0.03472283093745719,0.64,1.1087252721721617,0.6888897355858081,0.5165765354161461
diagnostic_balanced,mean_patch_plus_aux,18,mean_patch_plus_aux_hard_top1,20000,0.36947318438487803,1.47514054894346,0.06398294158020153,0.5136,1.0294857508955988,0.6396554519721424,0.5581184872448445
diagnostic_balanced,mean_patch_plus_aux,18,mean_patch_plus_aux_raw_soft_fusion,20000,0.34477806433922226,1.3999270476138828,0.039287821534545755,0.5136,1.0294857508955988,0.6396554519721424,0.5581184872448445
pilot_selection,cls_mean_concat_plus_aux,16,cls_mean_concat_plus_aux_hard_top1,30000,0.3190498791856838,1.2624240119973187,0.05231867555362518,0.6371,1.134404720323298,0.7048452621976816,0.512183950805664
pilot_selection,cls_mean_concat_plus_aux,16,cls_mean_concat_plus_aux_raw_soft_fusion,30000,0.30133595872387464,1.2089119619637403,0.034604755091815986,0.6371,1.134404720323298,0.7048452621976816,0.512183950805664
diagnostic_balanced,cls_mean_concat_plus_aux,16,cls_mean_concat_plus_aux_hard_top1,20000,0.37363100118830816,1.452812755460431,0.06814075838363169,0.4966,1.0538826338650136,0.6548140836244638,0.5496305595993995
diagnostic_balanced,cls_mean_concat_plus_aux,16,cls_mean_concat_plus_aux_raw_soft_fusion,20000,0.3481916460220218,1.3325814722159108,0.042701403217345335,0.4966,1.0538826338650136,0.6548140836244638,0.5496305595993995
pilot_selection,cls_mean_concat_plus_aux,17,cls_mean_concat_plus_aux_hard_top1,30000,0.31703752549424935,1.2311715972618824,0.05030632186219073,0.38656666666666667,1.1008636840711659,0.68400504694829,0.520544042365253
pilot_selection,cls_mean_concat_plus_aux,17,cls_mean_concat_plus_aux_raw_soft_fusion,30000,0.2991190583738786,1.1456782143744,0.03238785474181995,0.38656666666666667,1.1008636840711659,0.68400504694829,0.520544042365253
diagnostic_balanced,cls_mean_concat_plus_aux,17,cls_mean_concat_plus_aux_hard_top1,20000,0.37094040846707155,1.4678635225663188,0.06545016566239509,0.3612,1.0181159686809698,0.6325910104331589,0.5620038458332419
diagnostic_balanced,cls_mean_concat_plus_aux,17,cls_mean_concat_plus_aux_raw_soft_fusion,20000,0.3457967328310425,1.3823927160184515,0.040306490026365986,0.3612,1.0181159686809698,0.6325910104331589,0.5620038458332419
pilot_selection,cls_mean_concat_plus_aux,18,cls_mean_concat_plus_aux_hard_top1,30000,0.32016523220320703,1.5245480291266165,0.05343402857114844,0.38006666666666666,1.1191421213712387,0.6953620903873351,0.5067156049504876
pilot_selection,cls_mean_concat_plus_aux,18,cls_mean_concat_plus_aux_raw_soft_fusion,30000,0.3013608868715304,1.261611711486241,0.03462968323947184,0.38006666666666666,1.1191421213712387,0.6953620903873351,0.5067156049504876
diagnostic_balanced,cls_mean_concat_plus_aux,18,cls_mean_concat_plus_aux_hard_top1,20000,0.37095921525044406,1.478698794086952,0.06546897244576756,0.3776,1.0354387591716834,0.6433542590469471,0.5527042741537094
diagnostic_balanced,cls_mean_concat_plus_aux,18,cls_mean_concat_plus_aux_raw_soft_fusion,20000,0.3455549691766593,1.3963374293849917,0.0400647263719828,0.3776,1.0354387591716834,0.6433542590469471,0.5527042741537094
