sample_set,variant,seed,method,selected_model,count,ratio
diagnostic_balanced,film_cls_mean_concat_aux,16,film_cls_mean_concat_aux_hard_top1,CrossFormer,1673,0.08365
diagnostic_balanced,film_cls_mean_concat_aux,16,film_cls_mean_concat_aux_hard_top1,DLinear,8113,0.40565
diagnostic_balanced,film_cls_mean_concat_aux,16,film_cls_mean_concat_aux_hard_top1,ES,2122,0.1061
diagnostic_balanced,film_cls_mean_concat_aux,16,film_cls_mean_concat_aux_hard_top1,NaiveForecaster,1689,0.08445
diagnostic_balanced,film_cls_mean_concat_aux,16,film_cls_mean_concat_aux_hard_top1,PatchTST,6403,0.32015
diagnostic_balanced,film_cls_mean_concat_aux,16,film_cls_mean_concat_aux_raw_soft_fusion,CrossFormer,1673,0.08365
diagnostic_balanced,film_cls_mean_concat_aux,16,film_cls_mean_concat_aux_raw_soft_fusion,DLinear,8113,0.40565
diagnostic_balanced,film_cls_mean_concat_aux,16,film_cls_mean_concat_aux_raw_soft_fusion,ES,2122,0.1061
diagnostic_balanced,film_cls_mean_concat_aux,16,film_cls_mean_concat_aux_raw_soft_fusion,NaiveForecaster,1689,0.08445
diagnostic_balanced,film_cls_mean_concat_aux,16,film_cls_mean_concat_aux_raw_soft_fusion,PatchTST,6403,0.32015
diagnostic_balanced,film_cls_mean_concat_aux,17,film_cls_mean_concat_aux_hard_top1,CrossFormer,3960,0.198
diagnostic_balanced,film_cls_mean_concat_aux,17,film_cls_mean_concat_aux_hard_top1,DLinear,8590,0.4295
diagnostic_balanced,film_cls_mean_concat_aux,17,film_cls_mean_concat_aux_hard_top1,ES,3068,0.1534
diagnostic_balanced,film_cls_mean_concat_aux,17,film_cls_mean_concat_aux_hard_top1,NaiveForecaster,973,0.04865
diagnostic_balanced,film_cls_mean_concat_aux,17,film_cls_mean_concat_aux_hard_top1,PatchTST,3409,0.17045
diagnostic_balanced,film_cls_mean_concat_aux,17,film_cls_mean_concat_aux_raw_soft_fusion,CrossFormer,3960,0.198
diagnostic_balanced,film_cls_mean_concat_aux,17,film_cls_mean_concat_aux_raw_soft_fusion,DLinear,8590,0.4295
diagnostic_balanced,film_cls_mean_concat_aux,17,film_cls_mean_concat_aux_raw_soft_fusion,ES,3068,0.1534
diagnostic_balanced,film_cls_mean_concat_aux,17,film_cls_mean_concat_aux_raw_soft_fusion,NaiveForecaster,973,0.04865
diagnostic_balanced,film_cls_mean_concat_aux,17,film_cls_mean_concat_aux_raw_soft_fusion,PatchTST,3409,0.17045
diagnostic_balanced,film_cls_mean_concat_aux,18,film_cls_mean_concat_aux_hard_top1,CrossFormer,1793,0.08965
diagnostic_balanced,film_cls_mean_concat_aux,18,film_cls_mean_concat_aux_hard_top1,DLinear,8031,0.40155
diagnostic_balanced,film_cls_mean_concat_aux,18,film_cls_mean_concat_aux_hard_top1,ES,4277,0.21385
diagnostic_balanced,film_cls_mean_concat_aux,18,film_cls_mean_concat_aux_hard_top1,NaiveForecaster,1881,0.09405
diagnostic_balanced,film_cls_mean_concat_aux,18,film_cls_mean_concat_aux_hard_top1,PatchTST,4018,0.2009
diagnostic_balanced,film_cls_mean_concat_aux,18,film_cls_mean_concat_aux_raw_soft_fusion,CrossFormer,1793,0.08965
diagnostic_balanced,film_cls_mean_concat_aux,18,film_cls_mean_concat_aux_raw_soft_fusion,DLinear,8031,0.40155
diagnostic_balanced,film_cls_mean_concat_aux,18,film_cls_mean_concat_aux_raw_soft_fusion,ES,4277,0.21385
diagnostic_balanced,film_cls_mean_concat_aux,18,film_cls_mean_concat_aux_raw_soft_fusion,NaiveForecaster,1881,0.09405
diagnostic_balanced,film_cls_mean_concat_aux,18,film_cls_mean_concat_aux_raw_soft_fusion,PatchTST,4018,0.2009
diagnostic_balanced,film_mean_patch_aux,16,film_mean_patch_aux_hard_top1,CrossFormer,1436,0.0718
diagnostic_balanced,film_mean_patch_aux,16,film_mean_patch_aux_hard_top1,DLinear,11070,0.5535
diagnostic_balanced,film_mean_patch_aux,16,film_mean_patch_aux_hard_top1,ES,1742,0.0871
diagnostic_balanced,film_mean_patch_aux,16,film_mean_patch_aux_hard_top1,NaiveForecaster,1991,0.09955
diagnostic_balanced,film_mean_patch_aux,16,film_mean_patch_aux_hard_top1,PatchTST,3761,0.18805
diagnostic_balanced,film_mean_patch_aux,16,film_mean_patch_aux_raw_soft_fusion,CrossFormer,1436,0.0718
diagnostic_balanced,film_mean_patch_aux,16,film_mean_patch_aux_raw_soft_fusion,DLinear,11070,0.5535
diagnostic_balanced,film_mean_patch_aux,16,film_mean_patch_aux_raw_soft_fusion,ES,1742,0.0871
diagnostic_balanced,film_mean_patch_aux,16,film_mean_patch_aux_raw_soft_fusion,NaiveForecaster,1991,0.09955
diagnostic_balanced,film_mean_patch_aux,16,film_mean_patch_aux_raw_soft_fusion,PatchTST,3761,0.18805
diagnostic_balanced,film_mean_patch_aux,17,film_mean_patch_aux_hard_top1,CrossFormer,1244,0.0622
diagnostic_balanced,film_mean_patch_aux,17,film_mean_patch_aux_hard_top1,DLinear,9320,0.466
diagnostic_balanced,film_mean_patch_aux,17,film_mean_patch_aux_hard_top1,ES,4645,0.23225
diagnostic_balanced,film_mean_patch_aux,17,film_mean_patch_aux_hard_top1,NaiveForecaster,1721,0.08605
diagnostic_balanced,film_mean_patch_aux,17,film_mean_patch_aux_hard_top1,PatchTST,3070,0.1535
diagnostic_balanced,film_mean_patch_aux,17,film_mean_patch_aux_raw_soft_fusion,CrossFormer,1244,0.0622
diagnostic_balanced,film_mean_patch_aux,17,film_mean_patch_aux_raw_soft_fusion,DLinear,9320,0.466
diagnostic_balanced,film_mean_patch_aux,17,film_mean_patch_aux_raw_soft_fusion,ES,4645,0.23225
diagnostic_balanced,film_mean_patch_aux,17,film_mean_patch_aux_raw_soft_fusion,NaiveForecaster,1721,0.08605
diagnostic_balanced,film_mean_patch_aux,17,film_mean_patch_aux_raw_soft_fusion,PatchTST,3070,0.1535
diagnostic_balanced,film_mean_patch_aux,18,film_mean_patch_aux_hard_top1,CrossFormer,1260,0.063
diagnostic_balanced,film_mean_patch_aux,18,film_mean_patch_aux_hard_top1,DLinear,8968,0.4484
diagnostic_balanced,film_mean_patch_aux,18,film_mean_patch_aux_hard_top1,ES,4437,0.22185
diagnostic_balanced,film_mean_patch_aux,18,film_mean_patch_aux_hard_top1,NaiveForecaster,1905,0.09525
diagnostic_balanced,film_mean_patch_aux,18,film_mean_patch_aux_hard_top1,PatchTST,3430,0.1715
diagnostic_balanced,film_mean_patch_aux,18,film_mean_patch_aux_raw_soft_fusion,CrossFormer,1260,0.063
diagnostic_balanced,film_mean_patch_aux,18,film_mean_patch_aux_raw_soft_fusion,DLinear,8968,0.4484
diagnostic_balanced,film_mean_patch_aux,18,film_mean_patch_aux_raw_soft_fusion,ES,4437,0.22185
diagnostic_balanced,film_mean_patch_aux,18,film_mean_patch_aux_raw_soft_fusion,NaiveForecaster,1905,0.09525
diagnostic_balanced,film_mean_patch_aux,18,film_mean_patch_aux_raw_soft_fusion,PatchTST,3430,0.1715
pilot_selection,film_cls_mean_concat_aux,16,film_cls_mean_concat_aux_hard_top1,CrossFormer,1918,0.06393333333333333
pilot_selection,film_cls_mean_concat_aux,16,film_cls_mean_concat_aux_hard_top1,DLinear,11994,0.3998
pilot_selection,film_cls_mean_concat_aux,16,film_cls_mean_concat_aux_hard_top1,ES,2583,0.0861
pilot_selection,film_cls_mean_concat_aux,16,film_cls_mean_concat_aux_hard_top1,NaiveForecaster,1389,0.0463
pilot_selection,film_cls_mean_concat_aux,16,film_cls_mean_concat_aux_hard_top1,PatchTST,12116,0.40386666666666665
pilot_selection,film_cls_mean_concat_aux,16,film_cls_mean_concat_aux_raw_soft_fusion,CrossFormer,1918,0.06393333333333333
pilot_selection,film_cls_mean_concat_aux,16,film_cls_mean_concat_aux_raw_soft_fusion,DLinear,11994,0.3998
pilot_selection,film_cls_mean_concat_aux,16,film_cls_mean_concat_aux_raw_soft_fusion,ES,2583,0.0861
pilot_selection,film_cls_mean_concat_aux,16,film_cls_mean_concat_aux_raw_soft_fusion,NaiveForecaster,1389,0.0463
pilot_selection,film_cls_mean_concat_aux,16,film_cls_mean_concat_aux_raw_soft_fusion,PatchTST,12116,0.40386666666666665
pilot_selection,film_cls_mean_concat_aux,17,film_cls_mean_concat_aux_hard_top1,CrossFormer,8868,0.2956
pilot_selection,film_cls_mean_concat_aux,17,film_cls_mean_concat_aux_hard_top1,DLinear,12707,0.42356666666666665
pilot_selection,film_cls_mean_concat_aux,17,film_cls_mean_concat_aux_hard_top1,ES,3418,0.11393333333333333
pilot_selection,film_cls_mean_concat_aux,17,film_cls_mean_concat_aux_hard_top1,NaiveForecaster,745,0.024833333333333332
pilot_selection,film_cls_mean_concat_aux,17,film_cls_mean_concat_aux_hard_top1,PatchTST,4262,0.14206666666666667
pilot_selection,film_cls_mean_concat_aux,17,film_cls_mean_concat_aux_raw_soft_fusion,CrossFormer,8868,0.2956
pilot_selection,film_cls_mean_concat_aux,17,film_cls_mean_concat_aux_raw_soft_fusion,DLinear,12707,0.42356666666666665
pilot_selection,film_cls_mean_concat_aux,17,film_cls_mean_concat_aux_raw_soft_fusion,ES,3418,0.11393333333333333
pilot_selection,film_cls_mean_concat_aux,17,film_cls_mean_concat_aux_raw_soft_fusion,NaiveForecaster,745,0.024833333333333332
pilot_selection,film_cls_mean_concat_aux,17,film_cls_mean_concat_aux_raw_soft_fusion,PatchTST,4262,0.14206666666666667
pilot_selection,film_cls_mean_concat_aux,18,film_cls_mean_concat_aux_hard_top1,CrossFormer,2103,0.0701
pilot_selection,film_cls_mean_concat_aux,18,film_cls_mean_concat_aux_hard_top1,DLinear,11760,0.392
pilot_selection,film_cls_mean_concat_aux,18,film_cls_mean_concat_aux_hard_top1,ES,9458,0.31526666666666664
pilot_selection,film_cls_mean_concat_aux,18,film_cls_mean_concat_aux_hard_top1,NaiveForecaster,1606,0.053533333333333336
pilot_selection,film_cls_mean_concat_aux,18,film_cls_mean_concat_aux_hard_top1,PatchTST,5073,0.1691
pilot_selection,film_cls_mean_concat_aux,18,film_cls_mean_concat_aux_raw_soft_fusion,CrossFormer,2103,0.0701
pilot_selection,film_cls_mean_concat_aux,18,film_cls_mean_concat_aux_raw_soft_fusion,DLinear,11760,0.392
pilot_selection,film_cls_mean_concat_aux,18,film_cls_mean_concat_aux_raw_soft_fusion,ES,9458,0.31526666666666664
pilot_selection,film_cls_mean_concat_aux,18,film_cls_mean_concat_aux_raw_soft_fusion,NaiveForecaster,1606,0.053533333333333336
pilot_selection,film_cls_mean_concat_aux,18,film_cls_mean_concat_aux_raw_soft_fusion,PatchTST,5073,0.1691
pilot_selection,film_mean_patch_aux,16,film_mean_patch_aux_hard_top1,CrossFormer,1661,0.05536666666666667
pilot_selection,film_mean_patch_aux,16,film_mean_patch_aux_hard_top1,DLinear,19852,0.6617333333333333
pilot_selection,film_mean_patch_aux,16,film_mean_patch_aux_hard_top1,ES,2106,0.0702
pilot_selection,film_mean_patch_aux,16,film_mean_patch_aux_hard_top1,NaiveForecaster,1689,0.0563
pilot_selection,film_mean_patch_aux,16,film_mean_patch_aux_hard_top1,PatchTST,4692,0.1564
pilot_selection,film_mean_patch_aux,16,film_mean_patch_aux_raw_soft_fusion,CrossFormer,1661,0.05536666666666667
pilot_selection,film_mean_patch_aux,16,film_mean_patch_aux_raw_soft_fusion,DLinear,19852,0.6617333333333333
pilot_selection,film_mean_patch_aux,16,film_mean_patch_aux_raw_soft_fusion,ES,2106,0.0702
pilot_selection,film_mean_patch_aux,16,film_mean_patch_aux_raw_soft_fusion,NaiveForecaster,1689,0.0563
pilot_selection,film_mean_patch_aux,16,film_mean_patch_aux_raw_soft_fusion,PatchTST,4692,0.1564
pilot_selection,film_mean_patch_aux,17,film_mean_patch_aux_hard_top1,CrossFormer,1389,0.0463
pilot_selection,film_mean_patch_aux,17,film_mean_patch_aux_hard_top1,DLinear,13619,0.4539666666666667
pilot_selection,film_mean_patch_aux,17,film_mean_patch_aux_hard_top1,ES,9758,0.32526666666666665
pilot_selection,film_mean_patch_aux,17,film_mean_patch_aux_hard_top1,NaiveForecaster,1442,0.04806666666666667
pilot_selection,film_mean_patch_aux,17,film_mean_patch_aux_hard_top1,PatchTST,3792,0.1264
pilot_selection,film_mean_patch_aux,17,film_mean_patch_aux_raw_soft_fusion,CrossFormer,1389,0.0463
pilot_selection,film_mean_patch_aux,17,film_mean_patch_aux_raw_soft_fusion,DLinear,13619,0.4539666666666667
pilot_selection,film_mean_patch_aux,17,film_mean_patch_aux_raw_soft_fusion,ES,9758,0.32526666666666665
pilot_selection,film_mean_patch_aux,17,film_mean_patch_aux_raw_soft_fusion,NaiveForecaster,1442,0.04806666666666667
pilot_selection,film_mean_patch_aux,17,film_mean_patch_aux_raw_soft_fusion,PatchTST,3792,0.1264
pilot_selection,film_mean_patch_aux,18,film_mean_patch_aux_hard_top1,CrossFormer,1382,0.046066666666666665
pilot_selection,film_mean_patch_aux,18,film_mean_patch_aux_hard_top1,DLinear,13076,0.4358666666666667
pilot_selection,film_mean_patch_aux,18,film_mean_patch_aux_hard_top1,ES,9447,0.3149
pilot_selection,film_mean_patch_aux,18,film_mean_patch_aux_hard_top1,NaiveForecaster,1718,0.05726666666666667
pilot_selection,film_mean_patch_aux,18,film_mean_patch_aux_hard_top1,PatchTST,4377,0.1459
pilot_selection,film_mean_patch_aux,18,film_mean_patch_aux_raw_soft_fusion,CrossFormer,1382,0.046066666666666665
pilot_selection,film_mean_patch_aux,18,film_mean_patch_aux_raw_soft_fusion,DLinear,13076,0.4358666666666667
pilot_selection,film_mean_patch_aux,18,film_mean_patch_aux_raw_soft_fusion,ES,9447,0.3149
pilot_selection,film_mean_patch_aux,18,film_mean_patch_aux_raw_soft_fusion,NaiveForecaster,1718,0.05726666666666667
pilot_selection,film_mean_patch_aux,18,film_mean_patch_aux_raw_soft_fusion,PatchTST,4377,0.1459
