sample_set,variant,seed,method,sample_count,MAE,MSE,regret_to_oracle,oracle_label_accuracy,weight_entropy,normalized_weight_entropy,mean_max_weight
pilot_selection,film_cls_mean_concat_aux,16,film_cls_mean_concat_aux_hard_top1,30000,0.3175514284403755,1.3778270385282638,0.0508202248083169,0.3833,1.1613523642381314,0.7215887843063565,0.4907216143831611
pilot_selection,film_cls_mean_concat_aux,16,film_cls_mean_concat_aux_raw_soft_fusion,30000,0.299506335915465,1.3219732762519258,0.0327751322834064,0.3833,1.1613523642381314,0.7215887843063565,0.4907216143831611
diagnostic_balanced,film_cls_mean_concat_aux,16,film_cls_mean_concat_aux_hard_top1,20000,0.3684295676918632,1.4720815712989332,0.0629393248871867,0.3628,1.088106165351019,0.6760783618342513,0.5299042533397674
diagnostic_balanced,film_cls_mean_concat_aux,16,film_cls_mean_concat_aux_raw_soft_fusion,20000,0.3437205755222152,1.4035024594466785,0.0382303327175387,0.3628,1.088106165351019,0.6760783618342513,0.5299042533397674
pilot_selection,film_cls_mean_concat_aux,17,film_cls_mean_concat_aux_hard_top1,30000,0.3186560271068881,1.1907430315389842,0.0519248234748295,0.3767,1.1050438581709672,0.6866023419132289,0.5180752330973745
pilot_selection,film_cls_mean_concat_aux,17,film_cls_mean_concat_aux_raw_soft_fusion,30000,0.3011087596887571,1.1408078207770995,0.0343775560566985,0.3767,1.1050438581709672,0.6866023419132289,0.5180752330973745
diagnostic_balanced,film_cls_mean_concat_aux,17,film_cls_mean_concat_aux_hard_top1,20000,0.376514860537576,1.46450516736462,0.0710246177328995,0.32505,1.0147230393207107,0.6304828625451786,0.5659212244033813
diagnostic_balanced,film_cls_mean_concat_aux,17,film_cls_mean_concat_aux_raw_soft_fusion,20000,0.3521021297667525,1.4104985876482274,0.046611886962076,0.32505,1.0147230393207107,0.6304828625451786,0.5659212244033813
pilot_selection,film_cls_mean_concat_aux,18,film_cls_mean_concat_aux_hard_top1,30000,0.3185216222531448,1.5236831428474684,0.0517904186210862,0.6361333333333333,1.121952032182238,0.6971079820837732,0.508057129184405
pilot_selection,film_cls_mean_concat_aux,18,film_cls_mean_concat_aux_raw_soft_fusion,30000,0.3008417439979242,1.4767046911983848,0.0341105403658655,0.6361333333333333,1.121952032182238,0.6971079820837732,0.508057129184405
diagnostic_balanced,film_cls_mean_concat_aux,18,film_cls_mean_concat_aux_hard_top1,20000,0.3688005545268369,1.4717565270624977,0.0633103117221604,0.51425,1.0458487411589257,0.6498223506164778,0.5480403614945709
diagnostic_balanced,film_cls_mean_concat_aux,18,film_cls_mean_concat_aux_raw_soft_fusion,20000,0.3446907600286926,1.4076631038699845,0.0392005172240161,0.51425,1.0458487411589257,0.6498223506164778,0.5480403614945709
pilot_selection,film_mean_patch_aux,16,film_mean_patch_aux_hard_top1,30000,0.3173328512195221,1.2218289199164856,0.0506016475874635,0.3807666666666666,1.1585599338318004,0.7198537508159711,0.4957177212804556
pilot_selection,film_mean_patch_aux,16,film_mean_patch_aux_raw_soft_fusion,30000,0.2997707583604699,1.159485886231473,0.0330395547284114,0.3807666666666666,1.1585599338318004,0.7198537508159711,0.4957177212804556
diagnostic_balanced,film_mean_patch_aux,16,film_mean_patch_aux_hard_top1,20000,0.370463925713559,1.4619026528630292,0.0649736829088825,0.36895,1.0833384637621182,0.6731160229326966,0.5337453225485981
diagnostic_balanced,film_mean_patch_aux,16,film_mean_patch_aux_raw_soft_fusion,20000,0.3457742749621887,1.400163666674305,0.0402840321575123,0.36895,1.0833384637621182,0.6731160229326966,0.5337453225485981
pilot_selection,film_mean_patch_aux,17,film_mean_patch_aux_hard_top1,30000,0.3180914235878269,1.3805789119518312,0.0513602199557682,0.6419333333333334,1.1200879067509242,0.6959497271893623,0.5090355443264047
pilot_selection,film_mean_patch_aux,17,film_mean_patch_aux_raw_soft_fusion,30000,0.3007561041934102,1.2352345540348342,0.0340249005613517,0.6419333333333334,1.1200879067509242,0.6959497271893623,0.5090355443264047
diagnostic_balanced,film_mean_patch_aux,17,film_mean_patch_aux_hard_top1,20000,0.3723030324731468,1.4675487454731992,0.0668127896684703,0.49425,1.0417386459044138,0.6472685977803898,0.5520362248405815
diagnostic_balanced,film_mean_patch_aux,17,film_mean_patch_aux_raw_soft_fusion,20000,0.3471018105932569,1.380423929083941,0.0416115677885805,0.49425,1.0417386459044138,0.6472685977803898,0.5520362248405815
pilot_selection,film_mean_patch_aux,18,film_mean_patch_aux_hard_top1,30000,0.3180610521492087,1.53339113379523,0.0513298485171501,0.6338,1.1292757088715204,0.7016584402105426,0.5023042605653405
pilot_selection,film_mean_patch_aux,18,film_mean_patch_aux_raw_soft_fusion,30000,0.3006527304843383,1.4748944203870629,0.0339215268522797,0.6338,1.1292757088715204,0.7016584402105426,0.5023042605653405
diagnostic_balanced,film_mean_patch_aux,18,film_mean_patch_aux_hard_top1,20000,0.3686356807162066,1.4683082831982397,0.0631454379115302,0.49865,1.0559273120034502,0.6560845177612215,0.5431385054543615
diagnostic_balanced,film_mean_patch_aux,18,film_mean_patch_aux_raw_soft_fusion,20000,0.3445503740052161,1.402463048600957,0.0390601312005396,0.49865,1.0559273120034502,0.6560845177612215,0.5431385054543615
