sample_set,variant,calibration_method,selected_model,seed_count,sample_count_total_over_seeds,ratio_mean,ratio_std,ratio_min,ratio_max
diagnostic_balanced,cls_mean_concat_plus_aux,power_temperature_T0p85,CrossFormer,3,3966,0.06609999999999999,0.012544620360935597,0.058,0.08055
diagnostic_balanced,cls_mean_concat_plus_aux,power_temperature_T0p85,DLinear,3,29839,0.4973166666666667,0.0766568055252326,0.4102,0.55445
diagnostic_balanced,cls_mean_concat_plus_aux,power_temperature_T0p85,ES,3,8830,0.14716666666666667,0.10776446925277985,0.06735,0.26975
diagnostic_balanced,cls_mean_concat_plus_aux,power_temperature_T0p85,NaiveForecaster,3,5656,0.09426666666666667,0.019886574198019463,0.074,0.11375
diagnostic_balanced,cls_mean_concat_plus_aux,power_temperature_T0p85,PatchTST,3,11709,0.19514999999999996,0.013799184758528307,0.1863,0.21105
diagnostic_balanced,film_cls_mean_concat_aux,power_temperature_T0p85,CrossFormer,3,7426,0.12376666666666668,0.06435791197151547,0.08365,0.198
diagnostic_balanced,film_cls_mean_concat_aux,power_temperature_T0p85,DLinear,3,24734,0.4122333333333334,0.015093238000287843,0.40155,0.4295
diagnostic_balanced,film_cls_mean_concat_aux,power_temperature_T0p85,ES,3,9467,0.15778333333333336,0.054008571850525114,0.1061,0.21385
diagnostic_balanced,film_cls_mean_concat_aux,power_temperature_T0p85,NaiveForecaster,3,4543,0.07571666666666667,0.023926832914812048,0.04865,0.09405
diagnostic_balanced,film_cls_mean_concat_aux,power_temperature_T0p85,PatchTST,3,13830,0.2305,0.07911790252528185,0.17045,0.32015
diagnostic_balanced,film_mean_patch_aux,power_temperature_T0p85,CrossFormer,3,3940,0.06566666666666666,0.0053266624947835165,0.0622,0.0718
diagnostic_balanced,film_mean_patch_aux,power_temperature_T0p85,DLinear,3,29358,0.48930000000000007,0.056290940656556786,0.4484,0.5535
diagnostic_balanced,film_mean_patch_aux,power_temperature_T0p85,ES,3,10824,0.1804,0.08096732365590455,0.0871,0.23225
diagnostic_balanced,film_mean_patch_aux,power_temperature_T0p85,NaiveForecaster,3,5617,0.09361666666666667,0.006896617528421692,0.08605,0.09955
diagnostic_balanced,film_mean_patch_aux,power_temperature_T0p85,PatchTST,3,10261,0.17101666666666668,0.017280070408807174,0.1535,0.18805
diagnostic_balanced,visual_cls_mean_concat,power_temperature_T0p85,CrossFormer,3,8510,0.14183333333333334,0.1086179581530298,0.0782,0.26725
diagnostic_balanced,visual_cls_mean_concat,power_temperature_T0p85,DLinear,3,24837,0.41395,0.007439926074901553,0.4054,0.41895
diagnostic_balanced,visual_cls_mean_concat,power_temperature_T0p85,ES,3,11221,0.1870166666666667,0.07154810153549382,0.1046,0.2332
diagnostic_balanced,visual_cls_mean_concat,power_temperature_T0p85,NaiveForecaster,3,5797,0.09661666666666667,0.03232144540909848,0.0593,0.1158
diagnostic_balanced,visual_cls_mean_concat,power_temperature_T0p85,PatchTST,3,9635,0.16058333333333333,0.014545216854118519,0.15135,0.17735
pilot_selection,cls_mean_concat_plus_aux,power_temperature_T0p85,CrossFormer,3,4557,0.0506333333333333,0.01230140010098221,0.0410333333333333,0.0645
pilot_selection,cls_mean_concat_plus_aux,power_temperature_T0p85,DLinear,3,51269,0.5696555555555555,0.14170133824089054,0.407,0.6663666666666667
pilot_selection,cls_mean_concat_plus_aux,power_temperature_T0p85,ES,3,14757,0.16396666666666662,0.16521206910446273,0.0541333333333333,0.3539666666666666
pilot_selection,cls_mean_concat_plus_aux,power_temperature_T0p85,NaiveForecaster,3,4842,0.05379999999999996,0.013125843888214474,0.0404,0.0666333333333333
pilot_selection,cls_mean_concat_plus_aux,power_temperature_T0p85,PatchTST,3,14575,0.16194444444444442,0.014925382307902113,0.1522666666666666,0.1791333333333333
pilot_selection,film_cls_mean_concat_aux,power_temperature_T0p85,CrossFormer,3,12889,0.1432111111111111,0.13200866273482598,0.0639333333333333,0.2956
pilot_selection,film_cls_mean_concat_aux,power_temperature_T0p85,DLinear,3,36461,0.4051222222222222,0.016442571214629012,0.392,0.4235666666666666
pilot_selection,film_cls_mean_concat_aux,power_temperature_T0p85,ES,3,15459,0.17176666666666662,0.1250514338626755,0.0861,0.3152666666666666
pilot_selection,film_cls_mean_concat_aux,power_temperature_T0p85,NaiveForecaster,3,3740,0.04155555555555553,0.014926647809029829,0.0248333333333333,0.0535333333333333
pilot_selection,film_cls_mean_concat_aux,power_temperature_T0p85,PatchTST,3,21451,0.2383444444444444,0.143982307297858,0.1420666666666666,0.4038666666666666
pilot_selection,film_mean_patch_aux,power_temperature_T0p85,CrossFormer,3,4432,0.0492444444444444,0.005303283399443651,0.0460666666666666,0.0553666666666666
pilot_selection,film_mean_patch_aux,power_temperature_T0p85,DLinear,3,46547,0.5171888888888888,0.1255058756186929,0.4358666666666667,0.6617333333333333
pilot_selection,film_mean_patch_aux,power_temperature_T0p85,ES,3,21311,0.23678888888888885,0.14436329301581607,0.0702,0.3252666666666666
pilot_selection,film_mean_patch_aux,power_temperature_T0p85,NaiveForecaster,3,4849,0.05387777777777774,0.005055726492836667,0.0480666666666666,0.0572666666666666
pilot_selection,film_mean_patch_aux,power_temperature_T0p85,PatchTST,3,12861,0.14290000000000003,0.015223337347638328,0.1264,0.1564
pilot_selection,visual_cls_mean_concat,power_temperature_T0p85,CrossFormer,3,14204,0.1578222222222222,0.16735866452799092,0.0600333333333333,0.3510666666666667
pilot_selection,visual_cls_mean_concat,power_temperature_T0p85,DLinear,3,36803,0.4089222222222222,0.006041737547476947,0.4023666666666666,0.4142666666666666
