variant,visual_input_mode,visual_dim,sample_set,method_kind,seed,method,selected_model,count,ratio
current_rgb_3view,mean_patch,768,staged_diagnostic,hard_top1,16,current_rgb_3view_hard_top1,CrossFormer,13491,0.051464080810546875
current_rgb_3view,mean_patch,768,staged_diagnostic,hard_top1,16,current_rgb_3view_hard_top1,DLinear,171104,0.6527099609375
current_rgb_3view,mean_patch,768,staged_diagnostic,hard_top1,16,current_rgb_3view_hard_top1,ES,7337,0.027988433837890625
current_rgb_3view,mean_patch,768,staged_diagnostic,hard_top1,16,current_rgb_3view_hard_top1,NaiveForecaster,17815,0.06795883178710938
current_rgb_3view,mean_patch,768,staged_diagnostic,hard_top1,16,current_rgb_3view_hard_top1,PatchTST,52397,0.19987869262695312
current_rgb_3view,mean_patch,768,staged_diagnostic,raw_soft_fusion,16,current_rgb_3view_raw_soft_fusion,CrossFormer,13491,0.051464080810546875
current_rgb_3view,mean_patch,768,staged_diagnostic,raw_soft_fusion,16,current_rgb_3view_raw_soft_fusion,DLinear,171104,0.6527099609375
current_rgb_3view,mean_patch,768,staged_diagnostic,raw_soft_fusion,16,current_rgb_3view_raw_soft_fusion,ES,7337,0.027988433837890625
current_rgb_3view,mean_patch,768,staged_diagnostic,raw_soft_fusion,16,current_rgb_3view_raw_soft_fusion,NaiveForecaster,17815,0.06795883178710938
current_rgb_3view,mean_patch,768,staged_diagnostic,raw_soft_fusion,16,current_rgb_3view_raw_soft_fusion,PatchTST,52397,0.19987869262695312
spatial_panel_3view,mean_patch,768,staged_diagnostic,hard_top1,16,spatial_panel_3view_hard_top1,CrossFormer,12399,0.047298431396484375
spatial_panel_3view,mean_patch,768,staged_diagnostic,hard_top1,16,spatial_panel_3view_hard_top1,DLinear,107878,0.41152191162109375
spatial_panel_3view,mean_patch,768,staged_diagnostic,hard_top1,16,spatial_panel_3view_hard_top1,ES,14004,0.0534210205078125
spatial_panel_3view,mean_patch,768,staged_diagnostic,hard_top1,16,spatial_panel_3view_hard_top1,NaiveForecaster,19653,0.07497024536132812
spatial_panel_3view,mean_patch,768,staged_diagnostic,hard_top1,16,spatial_panel_3view_hard_top1,PatchTST,108210,0.41278839111328125
spatial_panel_3view,mean_patch,768,staged_diagnostic,raw_soft_fusion,16,spatial_panel_3view_raw_soft_fusion,CrossFormer,12399,0.047298431396484375
spatial_panel_3view,mean_patch,768,staged_diagnostic,raw_soft_fusion,16,spatial_panel_3view_raw_soft_fusion,DLinear,107878,0.41152191162109375
spatial_panel_3view,mean_patch,768,staged_diagnostic,raw_soft_fusion,16,spatial_panel_3view_raw_soft_fusion,ES,14004,0.0534210205078125
spatial_panel_3view,mean_patch,768,staged_diagnostic,raw_soft_fusion,16,spatial_panel_3view_raw_soft_fusion,NaiveForecaster,19653,0.07497024536132812
spatial_panel_3view,mean_patch,768,staged_diagnostic,raw_soft_fusion,16,spatial_panel_3view_raw_soft_fusion,PatchTST,108210,0.41278839111328125
current_rgb_3view,mean_patch,768,staged_selection,hard_top1,16,current_rgb_3view_hard_top1,CrossFormer,14535,0.055446624755859375
current_rgb_3view,mean_patch,768,staged_selection,hard_top1,16,current_rgb_3view_hard_top1,DLinear,170754,0.6513748168945312
current_rgb_3view,mean_patch,768,staged_selection,hard_top1,16,current_rgb_3view_hard_top1,ES,8073,0.030796051025390625
current_rgb_3view,mean_patch,768,staged_selection,hard_top1,16,current_rgb_3view_hard_top1,NaiveForecaster,18448,0.07037353515625
current_rgb_3view,mean_patch,768,staged_selection,hard_top1,16,current_rgb_3view_hard_top1,PatchTST,50334,0.19200897216796875
current_rgb_3view,mean_patch,768,staged_selection,raw_soft_fusion,16,current_rgb_3view_raw_soft_fusion,CrossFormer,14535,0.055446624755859375
current_rgb_3view,mean_patch,768,staged_selection,raw_soft_fusion,16,current_rgb_3view_raw_soft_fusion,DLinear,170754,0.6513748168945312
current_rgb_3view,mean_patch,768,staged_selection,raw_soft_fusion,16,current_rgb_3view_raw_soft_fusion,ES,8073,0.030796051025390625
current_rgb_3view,mean_patch,768,staged_selection,raw_soft_fusion,16,current_rgb_3view_raw_soft_fusion,NaiveForecaster,18448,0.07037353515625
current_rgb_3view,mean_patch,768,staged_selection,raw_soft_fusion,16,current_rgb_3view_raw_soft_fusion,PatchTST,50334,0.19200897216796875
spatial_panel_3view,mean_patch,768,staged_selection,hard_top1,16,spatial_panel_3view_hard_top1,CrossFormer,13038,0.04973602294921875
spatial_panel_3view,mean_patch,768,staged_selection,hard_top1,16,spatial_panel_3view_hard_top1,DLinear,109145,0.4163551330566406
spatial_panel_3view,mean_patch,768,staged_selection,hard_top1,16,spatial_panel_3view_hard_top1,ES,14841,0.056613922119140625
spatial_panel_3view,mean_patch,768,staged_selection,hard_top1,16,spatial_panel_3view_hard_top1,NaiveForecaster,20224,0.0771484375
spatial_panel_3view,mean_patch,768,staged_selection,hard_top1,16,spatial_panel_3view_hard_top1,PatchTST,104896,0.400146484375
spatial_panel_3view,mean_patch,768,staged_selection,raw_soft_fusion,16,spatial_panel_3view_raw_soft_fusion,CrossFormer,13038,0.04973602294921875
spatial_panel_3view,mean_patch,768,staged_selection,raw_soft_fusion,16,spatial_panel_3view_raw_soft_fusion,DLinear,109145,0.4163551330566406
spatial_panel_3view,mean_patch,768,staged_selection,raw_soft_fusion,16,spatial_panel_3view_raw_soft_fusion,ES,14841,0.056613922119140625
spatial_panel_3view,mean_patch,768,staged_selection,raw_soft_fusion,16,spatial_panel_3view_raw_soft_fusion,NaiveForecaster,20224,0.0771484375
spatial_panel_3view,mean_patch,768,staged_selection,raw_soft_fusion,16,spatial_panel_3view_raw_soft_fusion,PatchTST,104896,0.400146484375
current_rgb_3view,mean_patch,768,staged_test,hard_top1,16,current_rgb_3view_hard_top1,CrossFormer,15138,0.05774688720703125
current_rgb_3view,mean_patch,768,staged_test,hard_top1,16,current_rgb_3view_hard_top1,DLinear,97794,0.37305450439453125
current_rgb_3view,mean_patch,768,staged_test,hard_top1,16,current_rgb_3view_hard_top1,ES,6536,0.024932861328125
current_rgb_3view,mean_patch,768,staged_test,hard_top1,16,current_rgb_3view_hard_top1,NaiveForecaster,35843,0.13673019409179688
current_rgb_3view,mean_patch,768,staged_test,hard_top1,16,current_rgb_3view_hard_top1,PatchTST,106833,0.4075355529785156
current_rgb_3view,mean_patch,768,staged_test,raw_soft_fusion,16,current_rgb_3view_raw_soft_fusion,CrossFormer,15138,0.05774688720703125
current_rgb_3view,mean_patch,768,staged_test,raw_soft_fusion,16,current_rgb_3view_raw_soft_fusion,DLinear,97794,0.37305450439453125
current_rgb_3view,mean_patch,768,staged_test,raw_soft_fusion,16,current_rgb_3view_raw_soft_fusion,ES,6536,0.024932861328125
