sample_set,layout_name,stratum_column,stratum_value,sample_count,raw_soft_MAE,raw_soft_MSE,raw_soft_regret,hard_top1_MAE,entropy,mean_max_weight,oracle_label_accuracy
staged_diagnostic,spatial_panel_3view,oracle_model,DLinear,79049,0.3623163201777923,1.004743858174074,0.02214000172221491,0.3717079478002412,0.9436067882142277,0.6206762410185608,0.7792255436501411
staged_diagnostic,spatial_panel_3view,oracle_model,ES,92709,0.11935684337859191,0.5076477721820138,0.032390336429297596,0.12792427636692713,1.4622474721508423,0.32533387586097184,0.059508785554800506
staged_diagnostic,spatial_panel_3view,oracle_model,CrossFormer,25205,0.4813282165270599,1.5180615658018253,0.03740908692554312,0.5406748314722308,1.1210638930996337,0.5188011679590706,0.14302717714739138
staged_diagnostic,spatial_panel_3view,oracle_model,NaiveForecaster,21391,0.3396477491212526,2.509745650526861,0.07057459489338012,0.35379764391505786,0.8634702727977152,0.651317641993073,0.5075966527979057
staged_diagnostic,spatial_panel_3view,oracle_model,PatchTST,43790,0.39668245332764956,1.1690535212753275,0.025873297732094777,0.4308251141721059,1.04779128180351,0.5459391210242667,0.3859556976478648
staged_selection,spatial_panel_3view,oracle_model,ES,91560,0.12833053961692753,0.7147141928437318,0.03507872102327094,0.13754493538777396,1.4527729058075007,0.3310361736214424,0.06429663608562691
staged_selection,spatial_panel_3view,oracle_model,CrossFormer,25698,0.4829966507212369,0.9648211751664236,0.03956331294326131,0.5382904145436251,1.11868227135604,0.5213494691283093,0.15246322671024984
staged_selection,spatial_panel_3view,oracle_model,PatchTST,41388,0.40265070530299324,1.0174913370837066,0.027547503678448826,0.4343616511250216,1.0489384380388476,0.5465142537738991,0.39436551657485264
staged_selection,spatial_panel_3view,oracle_model,DLinear,80763,0.371608858197983,1.2790202035607274,0.023349917904888454,0.3788931203497033,0.9334830710029979,0.627838847126482,0.7826727585651846
staged_selection,spatial_panel_3view,oracle_model,NaiveForecaster,22735,0.34162257357290615,3.3211595444457482,0.07081793888331467,0.35830344732236635,0.8634839826088162,0.6513149338762708,0.493776116120519
staged_test,spatial_panel_3view,oracle_model,ES,110678,0.22561310706852925,296.1822302290603,0.053272117509262876,0.2399582600724307,1.4256430928664685,0.347050644644214,0.06106904714577423
staged_test,spatial_panel_3view,oracle_model,CrossFormer,25982,0.6433249378187456,1.812370440313131,0.09470794462139256,0.6872473454051113,1.081157431290681,0.5395690396619663,0.22546378261873604
staged_test,spatial_panel_3view,oracle_model,PatchTST,55739,0.562893430672273,3.4878826283863127,0.06410789940999526,0.5567652381225099,0.9393442576855736,0.6132252751790693,0.735750551678358
staged_test,spatial_panel_3view,oracle_model,NaiveForecaster,38903,0.4033775052748473,327.77561289923847,0.098713907221884,0.41244341870954365,0.7217129691968402,0.7151672933835271,0.6301056473793795
staged_test,spatial_panel_3view,oracle_model,DLinear,30842,0.6310579577514801,9.407411766142374,0.09803963291167117,0.6681680990603525,1.0185522873499644,0.5834977890530122,0.30922119188120095
staged_diagnostic,current_rgb_3view,oracle_model,DLinear,79049,0.3619479020420792,0.9996309504059971,0.021771583586501827,0.37175454301259997,0.9634196070033614,0.5964632914689709,0.7472959809738263
staged_diagnostic,current_rgb_3view,oracle_model,ES,92709,0.12785518613562366,0.5352017455788856,0.0408886791863293,0.13717943179927758,1.4560229429965568,0.3343944244394461,0.03645816479521945
staged_diagnostic,current_rgb_3view,oracle_model,CrossFormer,25205,0.4821666183709183,1.5157663875352365,0.03824748876940147,0.5410280244652828,1.0853584536658503,0.5252641876706101,0.15159690537591747
staged_diagnostic,current_rgb_3view,oracle_model,NaiveForecaster,21391,0.35570568709153544,2.572158746890155,0.08663253286366294,0.37267294629777187,0.842559391781636,0.6625582633066253,0.5167126361553924
staged_diagnostic,current_rgb_3view,oracle_model,PatchTST,43790,0.3948872626357919,1.2007985651488908,0.024078107040237124,0.4243547800281703,1.0469999695856478,0.5318987045067035,0.4697419502169445
staged_selection,current_rgb_3view,oracle_model,ES,91560,0.13989588911096013,1.3443069578328406,0.046644070517303515,0.149415913705546,1.4444503567981024,0.3409651981180883,0.04126256006989952
staged_selection,current_rgb_3view,oracle_model,CrossFormer,25698,0.48163131106584633,0.95803759865453,0.03819797328787082,0.5370114617728869,1.0803637669065629,0.5295984632527608,0.16440968168729084
staged_selection,current_rgb_3view,oracle_model,PatchTST,41388,0.401784524915708,1.0072478933711306,0.026681323291163565,0.4284440761985601,1.0460219470410486,0.5348638179803357,0.4716826133178699
staged_selection,current_rgb_3view,oracle_model,DLinear,80763,0.371313746313794,1.3758311382682502,0.02305480602069943,0.3787436429917891,0.9537423223064211,0.6041988428418386,0.7566707526961604
staged_selection,current_rgb_3view,oracle_model,NaiveForecaster,22735,0.3588826040566286,3.399494693909635,0.08807796936703711,0.37800831097834037,0.8391727599624298,0.6643684829293384,0.5016494391906752
staged_test,current_rgb_3view,oracle_model,ES,110678,0.23794985576467803,296.1437435389884,0.06560886620541165,0.25271598961568564,1.4163690310976988,0.35681252310349015,0.02641898118867345
staged_test,current_rgb_3view,oracle_model,CrossFormer,25982,0.6485082714946976,1.8334635371959258,0.0998912782973446,0.7026883819640691,1.037186260255043,0.5600965093686797,0.15406820106227387
staged_test,current_rgb_3view,oracle_model,PatchTST,55739,0.563499960408307,3.0509902701016385,0.06471442914602918,0.5497763910066443,0.9460706536145704,0.6125269647348889,0.7987046771560308
staged_test,current_rgb_3view,oracle_model,NaiveForecaster,38903,0.4192215241727216,327.8441319336371,0.1145579261197584,0.43107164587761837,0.715280924743754,0.7195073990977442,0.6343983754466237
staged_test,current_rgb_3view,oracle_model,DLinear,30842,0.6296635334083124,9.57352068182535,0.09664520856850344,0.666933288719344,0.9918074889416852,0.5907820080476476,0.2775760326827054
staged_diagnostic,spatial_panel_3view,dataset_name,TEST_DATA_HOUR,205256,0.27970937477279917,0.9091650028631625,0.026190253636145928,0.30030471810811776,1.1595680903544205,0.49460802363612116,0.3866586116849203
staged_diagnostic,spatial_panel_3view,dataset_name,TEST_DATA_MIN,56888,0.33508255323424185,1.4593149240867158,0.052082388180870964,0.345681942785895,1.1383078013739252,0.503082252881982,0.3359935311489242
staged_selection,spatial_panel_3view,dataset_name,TEST_DATA_HOUR,205256,0.290269185353556,1.1128233502410165,0.029000521321223237,0.3092266205807614,1.14698358465712,0.5029229720585525,0.39665588338465135
staged_selection,spatial_panel_3view,dataset_name,TEST_DATA_MIN,56888,0.33445441999252484,1.4543583687508497,0.0511877030499565,0.34594143041698405,1.1386265520714185,0.5029580742676053,0.336591196737449
staged_test,spatial_panel_3view,dataset_name,TEST_DATA_MIN,241747,0.42320937138053055,190.378184735658,0.07539006969955375,0.437497385182368,1.1340528528385903,0.5059590490067158,0.32887274712819603
staged_test,spatial_panel_3view,dataset_name,TEST_DATA_HOUR,20397,0.2895759988394658,1.9904894305577487,0.0278837944459301,0.31068024209038114,1.155718118505038,0.49589780133752526,0.4006961808109036
staged_diagnostic,current_rgb_3view,dataset_name,TEST_DATA_HOUR,205256,0.28282099910767194,0.9161740372031151,0.029301877971018686,0.30306684390606453,1.162259369455233,0.4854558094842004,0.3872237595977706
staged_diagnostic,current_rgb_3view,dataset_name,TEST_DATA_MIN,56888,0.342220896613748,1.5187128422475187,0.05922073156037717,0.35313702131971114,1.121692709214201,0.5135071319465714,0.3237413865841654
staged_selection,current_rgb_3view,dataset_name,TEST_DATA_HOUR,205256,0.2947858772770864,1.4298533676188494,0.03351721324475362,0.3132743802068794,1.147785372178845,0.49531981159997196,0.39744026971196944
staged_selection,current_rgb_3view,dataset_name,TEST_DATA_MIN,56888,0.3420040259169545,1.482037518321316,0.05873730897438618,0.3532226591639825,1.1219531116715713,0.5132770338384511,0.3245675713683026
staged_test,current_rgb_3view,dataset_name,TEST_DATA_MIN,241747,0.4317546423662461,190.31743896327782,0.08393534068526935,0.4461732415919338,1.1223643055893422,0.5146048214060148,0.31681054987238727
staged_test,current_rgb_3view,dataset_name,TEST_DATA_HOUR,20397,0.2916089848337775,1.7164443851740552,0.02991678044024186,0.3113119670700803,1.1535909106995705,0.48992928885072856,0.397068196303378
