variant,visual_input_mode,visual_dim,sample_set,method_kind,seed,method,stratum_column,stratum_kind,stratum_value,sample_count,MAE,MSE,regret_to_oracle,oracle_label_accuracy,weight_entropy,normalized_weight_entropy,mean_max_weight,dataset_name,oracle_model,error_gap_quantile,cluster,group_name,forecastability_cat,season_strength_cat,trend_strength_cat,cv_cat,missing_ratio_cat
spatial_panel_3view,mean_patch,768,staged_selection,hard_top1,16,spatial_panel_3view_hard_top1,dataset_name,single_column,TEST_DATA_HOUR,205256,0.3092266205807614,1.2067261056419167,0.047957956548428646,0.39665588338465135,1.14698358465712,0.712660957399385,0.5029229720585525,,,,,,,,,,
spatial_panel_3view,mean_patch,768,staged_selection,hard_top1,16,spatial_panel_3view_hard_top1,dataset_name,single_column,TEST_DATA_MIN,56888,0.34594143041698405,1.4941844507671056,0.06267471347441571,0.336591196737449,1.1386265520714185,0.7074684412340434,0.5029580742676053,,,,,,,,,,
spatial_panel_3view,mean_patch,768,staged_selection,raw_soft_fusion,16,spatial_panel_3view_raw_soft_fusion,dataset_name,single_column,TEST_DATA_HOUR,205256,0.290269185353556,1.1128233502410165,0.029000521321223247,0.39665588338465135,1.14698358465712,0.712660957399385,0.5029229720585525,,,,,,,,,,
spatial_panel_3view,mean_patch,768,staged_selection,raw_soft_fusion,16,spatial_panel_3view_raw_soft_fusion,dataset_name,single_column,TEST_DATA_MIN,56888,0.33445441999252484,1.4543583687508497,0.0511877030499565,0.336591196737449,1.1386265520714185,0.7074684412340434,0.5029580742676053,,,,,,,,,,
spatial_panel_3view,mean_patch,768,staged_diagnostic,hard_top1,16,spatial_panel_3view_hard_top1,dataset_name,single_column,TEST_DATA_HOUR,205256,0.30030471810811776,0.9956675282820949,0.04678559697146451,0.3866586116849203,1.1595680903544205,0.7204801502574009,0.49460802363612116,,,,,,,,,,
spatial_panel_3view,mean_patch,768,staged_diagnostic,hard_top1,16,spatial_panel_3view_hard_top1,dataset_name,single_column,TEST_DATA_MIN,56888,0.345681942785895,1.4870499098941787,0.06268177773252413,0.3359935311489242,1.1383078013739252,0.7072703903552723,0.503082252881982,,,,,,,,,,
spatial_panel_3view,mean_patch,768,staged_diagnostic,raw_soft_fusion,16,spatial_panel_3view_raw_soft_fusion,dataset_name,single_column,TEST_DATA_HOUR,205256,0.27970937477279917,0.9091650028631625,0.026190253636145935,0.3866586116849203,1.1595680903544205,0.7204801502574009,0.49460802363612116,,,,,,,,,,
spatial_panel_3view,mean_patch,768,staged_diagnostic,raw_soft_fusion,16,spatial_panel_3view_raw_soft_fusion,dataset_name,single_column,TEST_DATA_MIN,56888,0.33508255323424185,1.4593149240867158,0.052082388180870964,0.3359935311489242,1.1383078013739252,0.7072703903552723,0.503082252881982,,,,,,,,,,
spatial_panel_3view,mean_patch,768,staged_test,hard_top1,16,spatial_panel_3view_hard_top1,dataset_name,single_column,TEST_DATA_MIN,241747,0.437497385182368,190.53114121698692,0.08967808350139131,0.32887274712819603,1.1340528528385903,0.7046266421942659,0.5059590490067158,,,,,,,,,,
spatial_panel_3view,mean_patch,768,staged_test,hard_top1,16,spatial_panel_3view_hard_top1,dataset_name,single_column,TEST_DATA_HOUR,20397,0.31068024209038114,2.3617833510174457,0.04898803769684548,0.4006961808109036,1.155718118505038,0.7180880284599918,0.49589780133752526,,,,,,,,,,
