split,sample_set,field,value,count,fraction
vali,round2_train_expanded,split,vali,30000,1.0
vali,round2_train_expanded,sample_set,round2_train_expanded,30000,1.0
vali,round2_train_expanded,dataset_name,TEST_DATA_HOUR,24200,0.8066666666666666
vali,round2_train_expanded,dataset_name,TEST_DATA_MIN,5800,0.19333333333333333
vali,round2_train_expanded,group_name,HIGH_HIGH_HIGH,7703,0.25676666666666664
vali,round2_train_expanded,group_name,HIGH_HIGH_LOW,5950,0.19833333333333333
vali,round2_train_expanded,group_name,HIGH_LOW_HIGH,1249,0.041633333333333335
vali,round2_train_expanded,group_name,HIGH_LOW_LOW,1316,0.043866666666666665
vali,round2_train_expanded,group_name,LOW_HIGH_HIGH,4638,0.1546
vali,round2_train_expanded,group_name,LOW_HIGH_LOW,6632,0.22106666666666666
vali,round2_train_expanded,group_name,LOW_LOW_HIGH,1271,0.042366666666666664
vali,round2_train_expanded,group_name,LOW_LOW_LOW,1241,0.04136666666666667
vali,round2_train_expanded,oracle_model,CrossFormer,2988,0.0996
vali,round2_train_expanded,oracle_model,DLinear,9400,0.31333333333333335
vali,round2_train_expanded,oracle_model,ES,10496,0.34986666666666666
vali,round2_train_expanded,oracle_model,NaiveForecaster,2417,0.08056666666666666
vali,round2_train_expanded,oracle_model,PatchTST,4699,0.15663333333333335
vali,round2_train_expanded,error_gap_quantile,q1,7849,0.26163333333333333
vali,round2_train_expanded,error_gap_quantile,q2,4129,0.13763333333333333
vali,round2_train_expanded,error_gap_quantile,q3,6602,0.22006666666666666
vali,round2_train_expanded,error_gap_quantile,q4,6596,0.21986666666666665
vali,round2_train_expanded,error_gap_quantile,q5,4824,0.1608
vali,round2_train_expanded,forecastability_cat,high,9963,0.3321
vali,round2_train_expanded,forecastability_cat,low,19332,0.6444
vali,round2_train_expanded,forecastability_cat,medium,705,0.0235
vali,round2_train_expanded,season_strength_cat,moderate,6433,0.21443333333333334
vali,round2_train_expanded,season_strength_cat,strong,18813,0.6271
vali,round2_train_expanded,season_strength_cat,weak,4754,0.15846666666666667
vali,round2_train_expanded,trend_strength_cat,moderate,13179,0.4393
vali,round2_train_expanded,trend_strength_cat,strong,13034,0.43446666666666667
vali,round2_train_expanded,trend_strength_cat,weak,3787,0.12623333333333334
vali,round2_train_expanded,cv_cat,highly_variable,1867,0.062233333333333335
vali,round2_train_expanded,cv_cat,moderate,10778,0.3592666666666667
vali,round2_train_expanded,cv_cat,stable,10478,0.34926666666666667
vali,round2_train_expanded,cv_cat,variable,6877,0.22923333333333334
vali,round2_train_expanded,missing_ratio_cat,complete,30000,1.0
vali,round2_selection_expanded,split,vali,10000,1.0
vali,round2_selection_expanded,sample_set,round2_selection_expanded,10000,1.0
vali,round2_selection_expanded,dataset_name,TEST_DATA_HOUR,8086,0.8086
vali,round2_selection_expanded,dataset_name,TEST_DATA_MIN,1914,0.1914
vali,round2_selection_expanded,group_name,HIGH_HIGH_HIGH,2618,0.2618
vali,round2_selection_expanded,group_name,HIGH_HIGH_LOW,2114,0.2114
vali,round2_selection_expanded,group_name,HIGH_LOW_HIGH,398,0.0398
vali,round2_selection_expanded,group_name,HIGH_LOW_LOW,477,0.0477
vali,round2_selection_expanded,group_name,LOW_HIGH_HIGH,1428,0.1428
