layout_name,batch_size,selected_periods_shape,period_score_mean_by_rank,period_score_max_by_rank,top1_period_bucket_counts,padding_mask_available,padding_mask_used_as_vit_input,pad_count_max,pad_count_mean,padded_sample_ratio
current_rgb_3view,32,"[32, 3]",[],[],{},True,False,32,1.0,0.03125
current_rgb_3view,32,"[32, 3]",[],[],{},True,False,32,1.125,0.0625
current_rgb_3view,32,"[32, 3]",[],[],{},True,False,0,0.0,0.0
current_rgb_3view,32,"[32, 3]",[],[],{},True,False,32,2.125,0.09375
current_rgb_3view,32,"[32, 3]",[],[],{},True,False,0,0.0,0.0
current_rgb_3view,32,"[32, 3]",[],[],{},True,False,32,1.0,0.03125
current_rgb_3view,32,"[32, 3]",[],[],{},True,False,32,1.0,0.03125
current_rgb_3view,32,"[32, 3]",[],[],{},True,False,32,1.0,0.03125
current_rgb_3view,32,"[32, 3]",[],[],{},True,False,0,0.0,0.0
current_rgb_3view,32,"[32, 3]",[],[],{},True,False,32,2.125,0.09375
spatial_panel_3view,32,"[32, 3]",[],[],{},True,False,32,1.0,0.03125
spatial_panel_3view,32,"[32, 3]",[],[],{},True,False,32,1.125,0.0625
spatial_panel_3view,32,"[32, 3]",[],[],{},True,False,0,0.0,0.0
spatial_panel_3view,32,"[32, 3]",[],[],{},True,False,32,2.125,0.09375
spatial_panel_3view,32,"[32, 3]",[],[],{},True,False,0,0.0,0.0
spatial_panel_3view,32,"[32, 3]",[],[],{},True,False,32,1.0,0.03125
spatial_panel_3view,32,"[32, 3]",[],[],{},True,False,32,1.0,0.03125
spatial_panel_3view,32,"[32, 3]",[],[],{},True,False,32,1.0,0.03125
spatial_panel_3view,32,"[32, 3]",[],[],{},True,False,0,0.0,0.0
spatial_panel_3view,32,"[32, 3]",[],[],{},True,False,32,2.125,0.09375
line_only,32,"[32, 3]",[],[],{},False,False,,,
line_only,32,"[32, 3]",[],[],{},False,False,,,
line_only,32,"[32, 3]",[],[],{},False,False,,,
line_only,32,"[32, 3]",[],[],{},False,False,,,
line_only,32,"[32, 3]",[],[],{},False,False,,,
line_only,32,"[32, 3]",[],[],{},False,False,,,
line_only,32,"[32, 3]",[],[],{},False,False,,,
line_only,32,"[32, 3]",[],[],{},False,False,,,
line_only,32,"[32, 3]",[],[],{},False,False,,,
line_only,32,"[32, 3]",[],[],{},False,False,,,
line_difference_band,32,"[32, 3]",[],[],{},False,False,,,
line_difference_band,32,"[32, 3]",[],[],{},False,False,,,
line_difference_band,32,"[32, 3]",[],[],{},False,False,,,
line_difference_band,32,"[32, 3]",[],[],{},False,False,,,
line_difference_band,32,"[32, 3]",[],[],{},False,False,,,
line_difference_band,32,"[32, 3]",[],[],{},False,False,,,
line_difference_band,32,"[32, 3]",[],[],{},False,False,,,
line_difference_band,32,"[32, 3]",[],[],{},False,False,,,
line_difference_band,32,"[32, 3]",[],[],{},False,False,,,
line_difference_band,32,"[32, 3]",[],[],{},False,False,,,
fft_absolute_energy,32,"[32, 3]",[],[],{},False,False,,,
fft_absolute_energy,32,"[32, 3]",[],[],{},False,False,,,
fft_absolute_energy,32,"[32, 3]",[],[],{},False,False,,,
fft_absolute_energy,32,"[32, 3]",[],[],{},False,False,,,
fft_absolute_energy,32,"[32, 3]",[],[],{},False,False,,,
fft_absolute_energy,32,"[32, 3]",[],[],{},False,False,,,
fft_absolute_energy,32,"[32, 3]",[],[],{},False,False,,,
fft_absolute_energy,32,"[32, 3]",[],[],{},False,False,,,
fft_absolute_energy,32,"[32, 3]",[],[],{},False,False,,,
fft_absolute_energy,32,"[32, 3]",[],[],{},False,False,,,
top3fold_period_layout,32,"[32, 3]","[1361.1259765625, 508.95086669921875, 217.7114715576172]","[3950.766845703125, 2153.259033203125, 1297.715576171875]","{""24"": 15, ""4"": 11, ""6"": 1, ""64"": 1, ""8"": 2, ""96"": 2}",True,False,32,0.6666666865348816,0.02083333395421505
top3fold_period_layout,32,"[32, 3]","[1678.2537841796875, 612.8363037109375, 308.5123596191406]","[3620.652587890625, 1835.886962890625, 1425.9713134765625]","{""10"": 1, ""12"": 2, ""16"": 1, ""24"": 13, ""4"": 6, ""6"": 2, ""64"": 1, ""8"": 1, ""96"": 5}",True,False,32,2.125,0.09375
top3fold_period_layout,32,"[32, 3]","[1058.056396484375, 433.10687255859375, 256.4427490234375]","[3695.797607421875, 1801.4747314453125, 1801.4747314453125]","{""2"": 1, ""24"": 11, ""4"": 14, ""6"": 1, ""96"": 5}",True,False,32,1.0,0.03125
top3fold_period_layout,32,"[32, 3]","[857.6858520507812, 359.90789794921875, 234.80740356445312]","[4149.24609375, 1036.238037109375, 904.6657104492188]","{""2"": 2, ""24"": 12, ""4"": 13, ""5"": 1, ""64"": 2, ""8"": 1, ""96"": 1}",True,False,32,1.0833333730697632,0.0520833358168602
top3fold_period_layout,32,"[32, 3]","[1617.10205078125, 605.4945678710938, 284.25665283203125]","[3837.613525390625, 1421.0677490234375, 1230.980224609375]","{""2"": 1, ""24"": 19, ""4"": 7, ""8"": 1, ""96"": 4}",True,False,32,1.0,0.03125
top3fold_period_layout,32,"[32, 3]","[1626.099609375, 535.4440307617188, 298.2945556640625]","[3812.625732421875, 1766.8218994140625, 1659.6871337890625]","{""12"": 1, ""24"": 16, ""32"": 1, ""4"": 7, ""6"": 1, ""64"": 1, ""8"": 1, ""96"": 4}",True,False,32,0.3333333432674408,0.010416666977107525
top3fold_period_layout,32,"[32, 3]","[1380.4019775390625, 432.1062316894531, 223.85386657714844]","[4397.19873046875, 1473.147216796875, 844.8496704101562]","{""12"": 2, ""24"": 13, ""4"": 11, ""64"": 1, ""96"": 5}",True,False,32,1.3333333730697632,0.0416666679084301
top3fold_period_layout,32,"[32, 3]","[1503.9017333984375, 565.20263671875, 327.15570068359375]","[3815.59375, 1493.06103515625, 1362.1051025390625]","{""12"": 2, ""2"": 1, ""24"": 14, ""32"": 1, ""4"": 8, ""64"": 1, ""96"": 5}",True,False,32,1.6666667461395264,0.0520833358168602
top3fold_period_layout,32,"[32, 3]","[1556.8680419921875, 336.3895263671875, 246.34939575195312]","[4478.640625, 1474.1060791015625, 1474.1060791015625]","{""24"": 3, ""3"": 2, ""32"": 1, ""4"": 12, ""6"": 2, ""96"": 12}",True,False,32,2.6666667461395264,0.0833333358168602
top3fold_period_layout,32,"[32, 3]","[1761.549560546875, 544.046875, 476.63116455078125]","[4607.00927734375, 1836.301513671875, 1571.202880859375]","{""2"": 1, ""24"": 2, ""3"": 1, ""32"": 1, ""4"": 4, ""5"": 1, ""64"": 2, ""8"": 1, ""96"": 19}",True,False,32,4.75,0.1666666716337204
