sample_set,variant,seed,method,selected_model,count,ratio
round2_diagnostic_balanced_small,current_rgb_3view,16,current_rgb_3view_hard_top1,CrossFormer,679,0.1358
round2_diagnostic_balanced_small,current_rgb_3view,16,current_rgb_3view_hard_top1,DLinear,1993,0.3986
round2_diagnostic_balanced_small,current_rgb_3view,16,current_rgb_3view_hard_top1,ES,1114,0.2228
round2_diagnostic_balanced_small,current_rgb_3view,16,current_rgb_3view_hard_top1,NaiveForecaster,338,0.0676
round2_diagnostic_balanced_small,current_rgb_3view,16,current_rgb_3view_hard_top1,PatchTST,876,0.1752
round2_diagnostic_balanced_small,current_rgb_3view,16,current_rgb_3view_raw_soft_fusion,CrossFormer,679,0.1358
round2_diagnostic_balanced_small,current_rgb_3view,16,current_rgb_3view_raw_soft_fusion,DLinear,1993,0.3986
round2_diagnostic_balanced_small,current_rgb_3view,16,current_rgb_3view_raw_soft_fusion,ES,1114,0.2228
round2_diagnostic_balanced_small,current_rgb_3view,16,current_rgb_3view_raw_soft_fusion,NaiveForecaster,338,0.0676
round2_diagnostic_balanced_small,current_rgb_3view,16,current_rgb_3view_raw_soft_fusion,PatchTST,876,0.1752
round2_diagnostic_balanced_small,current_rgb_3view,17,current_rgb_3view_hard_top1,CrossFormer,430,0.086
round2_diagnostic_balanced_small,current_rgb_3view,17,current_rgb_3view_hard_top1,DLinear,1877,0.3754
round2_diagnostic_balanced_small,current_rgb_3view,17,current_rgb_3view_hard_top1,ES,409,0.0818
round2_diagnostic_balanced_small,current_rgb_3view,17,current_rgb_3view_hard_top1,NaiveForecaster,1181,0.2362
round2_diagnostic_balanced_small,current_rgb_3view,17,current_rgb_3view_hard_top1,PatchTST,1103,0.2206
round2_diagnostic_balanced_small,current_rgb_3view,17,current_rgb_3view_raw_soft_fusion,CrossFormer,430,0.086
round2_diagnostic_balanced_small,current_rgb_3view,17,current_rgb_3view_raw_soft_fusion,DLinear,1877,0.3754
round2_diagnostic_balanced_small,current_rgb_3view,17,current_rgb_3view_raw_soft_fusion,ES,409,0.0818
round2_diagnostic_balanced_small,current_rgb_3view,17,current_rgb_3view_raw_soft_fusion,NaiveForecaster,1181,0.2362
round2_diagnostic_balanced_small,current_rgb_3view,17,current_rgb_3view_raw_soft_fusion,PatchTST,1103,0.2206
round2_diagnostic_balanced_small,current_rgb_3view,18,current_rgb_3view_hard_top1,CrossFormer,458,0.0916
round2_diagnostic_balanced_small,current_rgb_3view,18,current_rgb_3view_hard_top1,DLinear,2113,0.4226
round2_diagnostic_balanced_small,current_rgb_3view,18,current_rgb_3view_hard_top1,ES,1285,0.257
round2_diagnostic_balanced_small,current_rgb_3view,18,current_rgb_3view_hard_top1,NaiveForecaster,305,0.061
round2_diagnostic_balanced_small,current_rgb_3view,18,current_rgb_3view_hard_top1,PatchTST,839,0.1678
round2_diagnostic_balanced_small,current_rgb_3view,18,current_rgb_3view_raw_soft_fusion,CrossFormer,458,0.0916
round2_diagnostic_balanced_small,current_rgb_3view,18,current_rgb_3view_raw_soft_fusion,DLinear,2113,0.4226
round2_diagnostic_balanced_small,current_rgb_3view,18,current_rgb_3view_raw_soft_fusion,ES,1285,0.257
round2_diagnostic_balanced_small,current_rgb_3view,18,current_rgb_3view_raw_soft_fusion,NaiveForecaster,305,0.061
round2_diagnostic_balanced_small,current_rgb_3view,18,current_rgb_3view_raw_soft_fusion,PatchTST,839,0.1678
round2_diagnostic_balanced_small,fft_absolute_energy,16,fft_absolute_energy_hard_top1,CrossFormer,619,0.1238
round2_diagnostic_balanced_small,fft_absolute_energy,16,fft_absolute_energy_hard_top1,DLinear,1840,0.368
round2_diagnostic_balanced_small,fft_absolute_energy,16,fft_absolute_energy_hard_top1,ES,458,0.0916
round2_diagnostic_balanced_small,fft_absolute_energy,16,fft_absolute_energy_hard_top1,NaiveForecaster,446,0.0892
round2_diagnostic_balanced_small,fft_absolute_energy,16,fft_absolute_energy_hard_top1,PatchTST,1637,0.3274
round2_diagnostic_balanced_small,fft_absolute_energy,16,fft_absolute_energy_raw_soft_fusion,CrossFormer,619,0.1238
round2_diagnostic_balanced_small,fft_absolute_energy,16,fft_absolute_energy_raw_soft_fusion,DLinear,1840,0.368
round2_diagnostic_balanced_small,fft_absolute_energy,16,fft_absolute_energy_raw_soft_fusion,ES,458,0.0916
round2_diagnostic_balanced_small,fft_absolute_energy,16,fft_absolute_energy_raw_soft_fusion,NaiveForecaster,446,0.0892
round2_diagnostic_balanced_small,fft_absolute_energy,16,fft_absolute_energy_raw_soft_fusion,PatchTST,1637,0.3274
round2_diagnostic_balanced_small,fft_absolute_energy,17,fft_absolute_energy_hard_top1,CrossFormer,240,0.048
round2_diagnostic_balanced_small,fft_absolute_energy,17,fft_absolute_energy_hard_top1,DLinear,1818,0.3636
round2_diagnostic_balanced_small,fft_absolute_energy,17,fft_absolute_energy_hard_top1,ES,475,0.095
round2_diagnostic_balanced_small,fft_absolute_energy,17,fft_absolute_energy_hard_top1,NaiveForecaster,1103,0.2206
round2_diagnostic_balanced_small,fft_absolute_energy,17,fft_absolute_energy_hard_top1,PatchTST,1364,0.2728
round2_diagnostic_balanced_small,fft_absolute_energy,17,fft_absolute_energy_raw_soft_fusion,CrossFormer,240,0.048
round2_diagnostic_balanced_small,fft_absolute_energy,17,fft_absolute_energy_raw_soft_fusion,DLinear,1818,0.3636
round2_diagnostic_balanced_small,fft_absolute_energy,17,fft_absolute_energy_raw_soft_fusion,ES,475,0.095
round2_diagnostic_balanced_small,fft_absolute_energy,17,fft_absolute_energy_raw_soft_fusion,NaiveForecaster,1103,0.2206
round2_diagnostic_balanced_small,fft_absolute_energy,17,fft_absolute_energy_raw_soft_fusion,PatchTST,1364,0.2728
round2_diagnostic_balanced_small,fft_absolute_energy,18,fft_absolute_energy_hard_top1,CrossFormer,482,0.0964
round2_diagnostic_balanced_small,fft_absolute_energy,18,fft_absolute_energy_hard_top1,DLinear,1882,0.3764
round2_diagnostic_balanced_small,fft_absolute_energy,18,fft_absolute_energy_hard_top1,ES,516,0.1032
round2_diagnostic_balanced_small,fft_absolute_energy,18,fft_absolute_energy_hard_top1,NaiveForecaster,1102,0.2204
round2_diagnostic_balanced_small,fft_absolute_energy,18,fft_absolute_energy_hard_top1,PatchTST,1018,0.2036
round2_diagnostic_balanced_small,fft_absolute_energy,18,fft_absolute_energy_raw_soft_fusion,CrossFormer,482,0.0964
round2_diagnostic_balanced_small,fft_absolute_energy,18,fft_absolute_energy_raw_soft_fusion,DLinear,1882,0.3764
round2_diagnostic_balanced_small,fft_absolute_energy,18,fft_absolute_energy_raw_soft_fusion,ES,516,0.1032
round2_diagnostic_balanced_small,fft_absolute_energy,18,fft_absolute_energy_raw_soft_fusion,NaiveForecaster,1102,0.2204
round2_diagnostic_balanced_small,fft_absolute_energy,18,fft_absolute_energy_raw_soft_fusion,PatchTST,1018,0.2036
round2_diagnostic_balanced_small,line_difference_band,16,line_difference_band_hard_top1,CrossFormer,1473,0.2946
round2_diagnostic_balanced_small,line_difference_band,16,line_difference_band_hard_top1,DLinear,1962,0.3924
round2_diagnostic_balanced_small,line_difference_band,16,line_difference_band_hard_top1,ES,62,0.0124
round2_diagnostic_balanced_small,line_difference_band,16,line_difference_band_hard_top1,NaiveForecaster,714,0.1428
round2_diagnostic_balanced_small,line_difference_band,16,line_difference_band_hard_top1,PatchTST,789,0.1578
round2_diagnostic_balanced_small,line_difference_band,16,line_difference_band_raw_soft_fusion,CrossFormer,1473,0.2946
round2_diagnostic_balanced_small,line_difference_band,16,line_difference_band_raw_soft_fusion,DLinear,1962,0.3924
round2_diagnostic_balanced_small,line_difference_band,16,line_difference_band_raw_soft_fusion,ES,62,0.0124
round2_diagnostic_balanced_small,line_difference_band,16,line_difference_band_raw_soft_fusion,NaiveForecaster,714,0.1428
round2_diagnostic_balanced_small,line_difference_band,16,line_difference_band_raw_soft_fusion,PatchTST,789,0.1578
round2_diagnostic_balanced_small,line_difference_band,17,line_difference_band_hard_top1,CrossFormer,1173,0.2346
round2_diagnostic_balanced_small,line_difference_band,17,line_difference_band_hard_top1,DLinear,2031,0.4062
round2_diagnostic_balanced_small,line_difference_band,17,line_difference_band_hard_top1,ES,149,0.0298
round2_diagnostic_balanced_small,line_difference_band,17,line_difference_band_hard_top1,NaiveForecaster,594,0.1188
round2_diagnostic_balanced_small,line_difference_band,17,line_difference_band_hard_top1,PatchTST,1053,0.2106
round2_diagnostic_balanced_small,line_difference_band,17,line_difference_band_raw_soft_fusion,CrossFormer,1173,0.2346
round2_diagnostic_balanced_small,line_difference_band,17,line_difference_band_raw_soft_fusion,DLinear,2031,0.4062
round2_diagnostic_balanced_small,line_difference_band,17,line_difference_band_raw_soft_fusion,ES,149,0.0298
round2_diagnostic_balanced_small,line_difference_band,17,line_difference_band_raw_soft_fusion,NaiveForecaster,594,0.1188
round2_diagnostic_balanced_small,line_difference_band,17,line_difference_band_raw_soft_fusion,PatchTST,1053,0.2106
round2_diagnostic_balanced_small,line_difference_band,18,line_difference_band_hard_top1,CrossFormer,412,0.0824
round2_diagnostic_balanced_small,line_difference_band,18,line_difference_band_hard_top1,DLinear,2252,0.4504
round2_diagnostic_balanced_small,line_difference_band,18,line_difference_band_hard_top1,ES,972,0.1944
round2_diagnostic_balanced_small,line_difference_band,18,line_difference_band_hard_top1,NaiveForecaster,445,0.089
round2_diagnostic_balanced_small,line_difference_band,18,line_difference_band_hard_top1,PatchTST,919,0.1838
round2_diagnostic_balanced_small,line_difference_band,18,line_difference_band_raw_soft_fusion,CrossFormer,412,0.0824
round2_diagnostic_balanced_small,line_difference_band,18,line_difference_band_raw_soft_fusion,DLinear,2252,0.4504
round2_diagnostic_balanced_small,line_difference_band,18,line_difference_band_raw_soft_fusion,ES,972,0.1944
round2_diagnostic_balanced_small,line_difference_band,18,line_difference_band_raw_soft_fusion,NaiveForecaster,445,0.089
