sample_set,variant,seed,method,sample_count,MAE,MSE,regret_to_oracle,oracle_label_accuracy,weight_entropy,normalized_weight_entropy,mean_max_weight
round2_selection_small,current_rgb_3view,16,current_rgb_3view_hard_top1,5000,0.3265661856916907,3.0170673107511603,0.0631164514676318,0.6132,1.1180055341359227,0.6946558894462883,0.5146570808678865
round2_selection_small,current_rgb_3view,16,current_rgb_3view_raw_soft_fusion,5000,0.3117620936374471,2.9946866628465787,0.0483123594133882,0.6132,1.1180055341359227,0.6946558894462883,0.5146570808678865
round2_diagnostic_balanced_small,current_rgb_3view,16,current_rgb_3view_hard_top1,5000,0.3969436729227076,4.181868612358524,0.0908501174594665,0.497,1.0309054096326231,0.6405375372894109,0.5575911833643913
round2_diagnostic_balanced_small,current_rgb_3view,16,current_rgb_3view_raw_soft_fusion,5000,0.3713627570598328,3.859467989208073,0.0652692015965916,0.497,1.0309054096326231,0.6405375372894109,0.5575911833643913
round2_test_small,current_rgb_3view,16,current_rgb_3view_hard_top1,5000,0.4127450501859072,3.4869981187861363,0.0793961279875482,0.6088,1.0566860521708266,0.6565559543169802,0.5573534341484309
round2_test_small,current_rgb_3view,16,current_rgb_3view_raw_soft_fusion,5000,0.4019192180541097,3.4554892504882204,0.0685702958557507,0.6088,1.0566860521708266,0.6565559543169802,0.5573534341484309
round2_selection_small,current_rgb_3view,17,current_rgb_3view_hard_top1,5000,0.3355721419322508,3.983287728248955,0.0721224077081919,0.3648,1.1490558004505933,0.7139484921228141,0.4852723062783479
round2_selection_small,current_rgb_3view,17,current_rgb_3view_raw_soft_fusion,5000,0.3176034736687433,3.745888838699476,0.0541537394446844,0.3648,1.1490558004505933,0.7139484921228141,0.4852723062783479
round2_diagnostic_balanced_small,current_rgb_3view,17,current_rgb_3view_hard_top1,5000,0.3944551314197015,2.380545913704679,0.0883615759564603,0.365,1.0667562346994877,0.6628129002436995,0.5316572252213955
round2_diagnostic_balanced_small,current_rgb_3view,17,current_rgb_3view_raw_soft_fusion,5000,0.3734741474448004,2.2103719183395567,0.0673805919815593,0.365,1.0667562346994877,0.6628129002436995,0.5316572252213955
round2_test_small,current_rgb_3view,17,current_rgb_3view_hard_top1,5000,0.4115854372131521,3.523765923672445,0.0782365150147932,0.3452,1.1205223465064205,0.6962196610617785,0.5161449391901493
round2_test_small,current_rgb_3view,17,current_rgb_3view_raw_soft_fusion,5000,0.4015513842788561,3.4873346753670047,0.0682024620804972,0.3452,1.1205223465064205,0.6962196610617785,0.5161449391901493
round2_selection_small,current_rgb_3view,18,current_rgb_3view_hard_top1,5000,0.3357640528052666,3.9405005570858207,0.0723143185812077,0.622,1.1834536949593577,0.7353211167385801,0.4767091340988874
round2_selection_small,current_rgb_3view,18,current_rgb_3view_raw_soft_fusion,5000,0.3192203647391463,3.895907533256433,0.0557706305150874,0.622,1.1834536949593577,0.7353211167385801,0.4767091340988874
round2_diagnostic_balanced_small,current_rgb_3view,18,current_rgb_3view_hard_top1,5000,0.396162597392383,2.436556249687577,0.0900690419291419,0.4912,1.1010636456868028,0.684129299215533,0.5207986985772848
round2_diagnostic_balanced_small,current_rgb_3view,18,current_rgb_3view_raw_soft_fusion,5000,0.3732705738986085,2.236055998641016,0.0671770184353674,0.4912,1.1010636456868028,0.684129299215533,0.5207986985772848
round2_test_small,current_rgb_3view,18,current_rgb_3view_hard_top1,5000,0.4089086536272429,3.476908247992255,0.0755597314288839,0.6212,1.1469282675860533,0.7126265930586493,0.500606181126833
round2_test_small,current_rgb_3view,18,current_rgb_3view_raw_soft_fusion,5000,0.3985303149140243,3.432060709387041,0.0651813927156654,0.6212,1.1469282675860533,0.7126265930586493,0.500606181126833
round2_selection_small,spatial_panel_3view,16,spatial_panel_3view_hard_top1,5000,0.3237829815510981,3.073044380676584,0.0603332473270391,0.617,1.145483723040484,0.7117290407098364,0.4982646778851747
round2_selection_small,spatial_panel_3view,16,spatial_panel_3view_raw_soft_fusion,5000,0.3055398168146268,2.966947438951954,0.0420900825905679,0.617,1.145483723040484,0.7117290407098364,0.4982646778851747
round2_diagnostic_balanced_small,spatial_panel_3view,16,spatial_panel_3view_hard_top1,5000,0.3967221943418262,4.213449618417616,0.0906286388785851,0.4998,1.0621330491751433,0.6599403566199821,0.54535942979455
round2_diagnostic_balanced_small,spatial_panel_3view,16,spatial_panel_3view_raw_soft_fusion,5000,0.3696341588340409,3.896964142791256,0.0635406033707997,0.4998,1.0621330491751433,0.6599403566199821,0.54535942979455
round2_test_small,spatial_panel_3view,16,spatial_panel_3view_hard_top1,5000,0.4115033473241026,3.549783774960108,0.0781544251257437,0.611,1.0542419971633703,0.6550373700624332,0.5537300588339568
round2_test_small,spatial_panel_3view,16,spatial_panel_3view_raw_soft_fusion,5000,0.3992940504044694,3.4766461801692765,0.0659451282061105,0.611,1.0542419971633703,0.6550373700624332,0.5537300588339568
round2_selection_small,spatial_panel_3view,17,spatial_panel_3view_hard_top1,5000,0.3229886140499584,3.164915987680603,0.0595388798258995,0.3738,1.12379502348812,0.698253094128508,0.5247517479479313
round2_selection_small,spatial_panel_3view,17,spatial_panel_3view_raw_soft_fusion,5000,0.305763340447619,3.030417240937352,0.0423136062235601,0.3738,1.12379502348812,0.698253094128508,0.5247517479479313
round2_diagnostic_balanced_small,spatial_panel_3view,17,spatial_panel_3view_hard_top1,5000,0.3880890395381604,4.063017988963908,0.0819954840749193,0.3742,1.0403783144192704,0.6464233798802375,0.5625749638944865
round2_diagnostic_balanced_small,spatial_panel_3view,17,spatial_panel_3view_raw_soft_fusion,5000,0.3654349634433522,3.969473069930132,0.059341407980111,0.3742,1.0403783144192704,0.6464233798802375,0.5625749638944865
round2_test_small,spatial_panel_3view,17,spatial_panel_3view_hard_top1,5000,0.412126633895596,3.5932142463599592,0.0787777116972371,0.3326,1.078447553701153,0.6700771278237582,0.5589237348556518
round2_test_small,spatial_panel_3view,17,spatial_panel_3view_raw_soft_fusion,5000,0.3972579615883602,3.494196505236553,0.0639090393900013,0.3326,1.078447553701153,0.6700771278237582,0.5589237348556518
round2_selection_small,spatial_panel_3view,18,spatial_panel_3view_hard_top1,5000,0.3381125198298803,4.114819943609795,0.0746627856058214,0.6232,1.136716411738284,0.7062816032901174,0.5219977963984013
round2_selection_small,spatial_panel_3view,18,spatial_panel_3view_raw_soft_fusion,5000,0.3198505450141718,3.990231633101205,0.0564008107901129,0.6232,1.136716411738284,0.7062816032901174,0.5219977963984013
round2_diagnostic_balanced_small,spatial_panel_3view,18,spatial_panel_3view_hard_top1,5000,0.4009163490322593,2.4646417095136,0.0948227935690181,0.4754,1.0617635025636876,0.6597107433317335,0.5579776721656322
round2_diagnostic_balanced_small,spatial_panel_3view,18,spatial_panel_3view_raw_soft_fusion,5000,0.3764782414503512,2.2981082078672093,0.07038468598711,0.4754,1.0617635025636876,0.6597107433317335,0.5579776721656322
round2_test_small,spatial_panel_3view,18,spatial_panel_3view_hard_top1,5000,0.411099921752396,3.560706653671465,0.0777509995540371,0.6124,1.1281184056612688,0.7009393618047263,0.5345804681032896
round2_test_small,spatial_panel_3view,18,spatial_panel_3view_raw_soft_fusion,5000,0.3992430731419881,3.481462175713182,0.0658941509436292,0.6124,1.1281184056612688,0.7009393618047263,0.5345804681032896
round2_selection_small,line_only,16,line_only_hard_top1,5000,0.3369893111968005,4.059879873881594,0.0735395769727416,0.365,1.1395751586772502,0.7080578400570899,0.5035104570001364
round2_selection_small,line_only,16,line_only_raw_soft_fusion,5000,0.3210915386820124,3.9385664119870927,0.0576418044579535,0.365,1.1395751586772502,0.7080578400570899,0.5035104570001364
round2_diagnostic_balanced_small,line_only,16,line_only_hard_top1,5000,0.3912578605960007,2.099790164759199,0.0851643051327595,0.3602,1.0551877642864362,0.655625006550178,0.5478092211455107
round2_diagnostic_balanced_small,line_only,16,line_only_raw_soft_fusion,5000,0.3699621474170242,2.016292428770657,0.0638685919537831,0.3602,1.0551877642864362,0.655625006550178,0.5478092211455107
round2_test_small,line_only,16,line_only_hard_top1,5000,0.4144647214877652,3.507922497064079,0.0811157992894062,0.3314,1.1092837943052545,0.6892367574004524,0.5316051314562559
round2_test_small,line_only,16,line_only_raw_soft_fusion,5000,0.4030933134194474,3.469437037144409,0.0697443912210884,0.3314,1.1092837943052545,0.6892367574004524,0.5316051314562559
round2_selection_small,line_only,17,line_only_hard_top1,5000,0.3381990503677691,3.974476746490256,0.0747493161437101,0.6086,1.1576324725849554,0.7192774826952721,0.4923970337748528
round2_selection_small,line_only,17,line_only_raw_soft_fusion,5000,0.3226423982409571,3.938712318521013,0.0591926640168982,0.6086,1.1576324725849554,0.7192774826952721,0.4923970337748528
round2_diagnostic_balanced_small,line_only,17,line_only_hard_top1,5000,0.3921098492291174,1.999953563390949,0.0860162937658762,0.494,1.0702623397534887,0.6649913685622887,0.5382256476938725
round2_diagnostic_balanced_small,line_only,17,line_only_raw_soft_fusion,5000,0.3722752153140842,1.986962485067806,0.066181659850843,0.494,1.0702623397534887,0.6649913685622887,0.5382256476938725
round2_test_small,line_only,17,line_only_hard_top1,5000,0.4143167173226131,3.488173284025878,0.0809677951242541,0.6086,1.0867473884822612,0.6752341044726559,0.5414077930480242
round2_test_small,line_only,17,line_only_raw_soft_fusion,5000,0.4034771263324743,3.4511271925579523,0.0701282041341153,0.6086,1.0867473884822612,0.6752341044726559,0.5414077930480242
round2_selection_small,line_only,18,line_only_hard_top1,5000,0.3373844960189017,4.026510490399137,0.0739347617948428,0.6156,1.1374721418152562,0.7067511613608629,0.5011564018368722
round2_selection_small,line_only,18,line_only_raw_soft_fusion,5000,0.3231777071785589,3.991244888365951,0.0597279729545,0.6156,1.1374721418152562,0.7067511613608629,0.5011564018368722
round2_diagnostic_balanced_small,line_only,18,line_only_hard_top1,5000,0.4016788704830454,2.4551679303327774,0.0955853150198043,0.4806,1.0497057007738633,0.6522188084879477,0.5464776002168655
round2_diagnostic_balanced_small,line_only,18,line_only_raw_soft_fusion,5000,0.3774295534120639,2.15105809413303,0.0713359979488228,0.4806,1.0497057007738633,0.6522188084879477,0.5464776002168655
round2_test_small,line_only,18,line_only_hard_top1,5000,0.412756525402097,3.476447999512792,0.0794076032037381,0.6044,1.1160138484593318,0.6934183739351094,0.5286290143787861
round2_test_small,line_only,18,line_only_raw_soft_fusion,5000,0.4026875439069307,3.4455545411191006,0.0693386217085717,0.6044,1.1160138484593318,0.6934183739351094,0.5286290143787861
round2_selection_small,line_difference_band,16,line_difference_band_hard_top1,5000,0.3387353061023808,4.011933306040232,0.0752855718783219,0.3448,1.165487860737741,0.7241583120174706,0.475741324904561
round2_selection_small,line_difference_band,16,line_difference_band_raw_soft_fusion,5000,0.3229553493478188,3.953326142439317,0.0595056151237599,0.3448,1.165487860737741,0.7241583120174706,0.475741324904561
round2_diagnostic_balanced_small,line_difference_band,16,line_difference_band_hard_top1,5000,0.3876751280748984,2.117222825055866,0.0815815726116572,0.3916,1.0655770970871672,0.6620802648336633,0.5307017823278904
round2_diagnostic_balanced_small,line_difference_band,16,line_difference_band_raw_soft_fusion,5000,0.3690298473112111,2.119532929751118,0.0629362918479699,0.3916,1.0655770970871672,0.6620802648336633,0.5307017823278904
round2_test_small,line_difference_band,16,line_difference_band_hard_top1,5000,0.4178449939303333,3.544418846420248,0.0844960717319743,0.322,1.0831440186893293,0.6729952074380626,0.5290786323875188
round2_test_small,line_difference_band,16,line_difference_band_raw_soft_fusion,5000,0.4040086627427044,3.4650086160918763,0.0706597405443455,0.322,1.0831440186893293,0.6729952074380626,0.5290786323875188
round2_selection_small,line_difference_band,17,line_difference_band_hard_top1,5000,0.3376579352429078,3.9768369991359176,0.0742082010188489,0.3518,1.1795014646104072,0.7328654590942432,0.4778331466794014
round2_selection_small,line_difference_band,17,line_difference_band_raw_soft_fusion,5000,0.3226566906420332,3.9492196971315,0.0592069564179743,0.3518,1.1795014646104072,0.7328654590942432,0.4778331466794014
round2_diagnostic_balanced_small,line_difference_band,17,line_difference_band_hard_top1,5000,0.3981703277217108,2.4726219484695053,0.0920767722584696,0.3656,1.0893246892631696,0.6768354759424329,0.5262284230321645
round2_diagnostic_balanced_small,line_difference_band,17,line_difference_band_raw_soft_fusion,5000,0.3728397068321763,2.187114617895145,0.0667461513689351,0.3656,1.0893246892631696,0.6768354759424329,0.5262284230321645
round2_test_small,line_difference_band,17,line_difference_band_hard_top1,5000,0.4155464343151776,3.5232253980121504,0.0821975121168187,0.32,1.0847592190603246,0.6739987936779216,0.5369885932654143
round2_test_small,line_difference_band,17,line_difference_band_raw_soft_fusion,5000,0.4037545136230823,3.467732501099285,0.0704055914247234,0.32,1.0847592190603246,0.6739987936779216,0.5369885932654143
round2_selection_small,line_difference_band,18,line_difference_band_hard_top1,5000,0.3399644442509976,4.062248647642544,0.0765147100269387,0.6096,1.158988881183043,0.720120270918496,0.4988107897728681
round2_selection_small,line_difference_band,18,line_difference_band_raw_soft_fusion,5000,0.3234099411622707,3.9643348827167,0.0599602069382117,0.6096,1.158988881183043,0.720120270918496,0.4988107897728681
round2_diagnostic_balanced_small,line_difference_band,18,line_difference_band_hard_top1,5000,0.3991253775525372,2.464582623156484,0.0930318220892961,0.508,1.07690015687719,0.669115678306669,0.5361358413368463
round2_diagnostic_balanced_small,line_difference_band,18,line_difference_band_raw_soft_fusion,5000,0.3735439595939562,2.1880050505336577,0.0674504041307151,0.508,1.07690015687719,0.669115678306669,0.5361358413368463
round2_test_small,line_difference_band,18,line_difference_band_hard_top1,5000,0.4165391334788408,3.4748265470918605,0.0831902112804818,0.5962,1.1331194929793478,0.7040467168752104,0.5217443602889776
round2_test_small,line_difference_band,18,line_difference_band_raw_soft_fusion,5000,0.4022993774869462,3.432579418837224,0.0689504552885873,0.5962,1.1331194929793478,0.7040467168752104,0.5217443602889776
round2_selection_small,fft_absolute_energy,16,fft_absolute_energy_hard_top1,5000,0.3434407872718759,4.077740462506724,0.0799910530478169,0.3432,1.1532124944105744,0.7165311984427273,0.4774928135365248
round2_selection_small,fft_absolute_energy,16,fft_absolute_energy_raw_soft_fusion,5000,0.3190877726056526,3.260860709473296,0.0556380383815936,0.3432,1.1532124944105744,0.7165311984427273,0.4774928135365248
round2_diagnostic_balanced_small,fft_absolute_energy,16,fft_absolute_energy_hard_top1,5000,0.3996768059184076,4.282064132220674,0.0935832504551665,0.3482,1.069976162442565,0.6648135575883091,0.5259418950527907
round2_diagnostic_balanced_small,fft_absolute_energy,16,fft_absolute_energy_raw_soft_fusion,5000,0.3749025176352122,3.460781708485091,0.0688089621719711,0.3482,1.069976162442565,0.6648135575883091,0.5259418950527907
round2_test_small,fft_absolute_energy,16,fft_absolute_energy_hard_top1,5000,0.4231195324531058,3.654750691917027,0.0897706102547468,0.3272,1.1075037892459372,0.6881307838963803,0.5243819217860699
round2_test_small,fft_absolute_energy,16,fft_absolute_energy_raw_soft_fusion,5000,0.4117307294301164,3.593904480504163,0.0783818072317575,0.3272,1.1075037892459372,0.6881307838963803,0.5243819217860699
round2_selection_small,fft_absolute_energy,17,fft_absolute_energy_hard_top1,5000,0.3394884554178454,4.022807770873687,0.0760387211937865,0.3424,1.160652881238982,0.721154164160043,0.4772272797703743
round2_selection_small,fft_absolute_energy,17,fft_absolute_energy_raw_soft_fusion,5000,0.3239838884124881,3.914265309951032,0.0605341541884292,0.3424,1.160652881238982,0.721154164160043,0.4772272797703743
round2_diagnostic_balanced_small,fft_absolute_energy,17,fft_absolute_energy_hard_top1,5000,0.4037719286096864,2.516200552529232,0.0976783731464453,0.3296,1.087875586718693,0.6759350910432637,0.5199055888921023
round2_diagnostic_balanced_small,fft_absolute_energy,17,fft_absolute_energy_raw_soft_fusion,5000,0.38095565361841,2.302269941813412,0.0748620981551688,0.3296,1.087875586718693,0.6759350910432637,0.5199055888921023
round2_test_small,fft_absolute_energy,17,fft_absolute_energy_hard_top1,5000,0.4169452600973192,3.528659734199876,0.0835963378989603,0.3328,1.1848449902210414,0.736185566058515,0.4925769872695207
round2_test_small,fft_absolute_energy,17,fft_absolute_energy_raw_soft_fusion,5000,0.408679908852413,3.4890262340525906,0.0753309866540541,0.3328,1.1848449902210414,0.736185566058515,0.4925769872695207
round2_selection_small,fft_absolute_energy,18,fft_absolute_energy_hard_top1,5000,0.3400423777383344,3.977325057536963,0.0765926435142755,0.3528,1.179659387306124,0.7329635759569705,0.4683359453260898
round2_selection_small,fft_absolute_energy,18,fft_absolute_energy_raw_soft_fusion,5000,0.3232547885150503,3.78020508275898,0.0598050542909914,0.3528,1.179659387306124,0.7329635759569705,0.4683359453260898
round2_diagnostic_balanced_small,fft_absolute_energy,18,fft_absolute_energy_hard_top1,5000,0.4023576652908232,2.4603010253217032,0.096264109827582,0.3354,1.107426974835992,0.6880830546975136,0.5108204227894545
round2_diagnostic_balanced_small,fft_absolute_energy,18,fft_absolute_energy_raw_soft_fusion,5000,0.3782006294729886,2.2452130234475915,0.0721070740097475,0.3354,1.107426974835992,0.6880830546975136,0.5108204227894545
round2_test_small,fft_absolute_energy,18,fft_absolute_energy_hard_top1,5000,0.4230265578668332,3.6813811994342496,0.0896776356684742,0.3296,1.1904522537656128,0.7396695608537645,0.4892348599284887
round2_test_small,fft_absolute_energy,18,fft_absolute_energy_raw_soft_fusion,5000,0.4117160324671073,3.580095220782372,0.0783671102687483,0.3296,1.1904522537656128,0.7396695608537645,0.4892348599284887
round2_selection_small,top3fold_period_layout,16,top3fold_period_layout_hard_top1,5000,0.3348605889956467,3.966027872381261,0.0714108547715877,0.618,1.149888091174513,0.7144656318476423,0.4891789087057113
round2_selection_small,top3fold_period_layout,16,top3fold_period_layout_raw_soft_fusion,5000,0.3194475315980744,3.898129127317549,0.0559977973740155,0.618,1.149888091174513,0.7144656318476423,0.4891789087057113
round2_diagnostic_balanced_small,top3fold_period_layout,16,top3fold_period_layout_hard_top1,5000,0.3881283867675578,2.1002649228704238,0.0820348313043167,0.5226,1.0754916907783598,0.6682405485773459,0.5308090252071619
round2_diagnostic_balanced_small,top3fold_period_layout,16,top3fold_period_layout_raw_soft_fusion,5000,0.3674568297994119,2.0418588000405498,0.0613632743361708,0.5226,1.0754916907783598,0.6682405485773459,0.5308090252071619
round2_test_small,top3fold_period_layout,16,top3fold_period_layout_hard_top1,5000,0.4141595514555694,3.5393731973868103,0.0808106292572105,0.5966,1.133144176811475,0.7040620537964191,0.5068087265968323
round2_test_small,top3fold_period_layout,16,top3fold_period_layout_raw_soft_fusion,5000,0.4024827743810931,3.4826574660340266,0.0691338521827341,0.5966,1.133144176811475,0.7040620537964191,0.5068087265968323
round2_selection_small,top3fold_period_layout,17,top3fold_period_layout_hard_top1,5000,0.33581474629976,4.0416756221803904,0.0723650120757011,0.6254,1.150687589816004,0.714962385288626,0.4915267037570476
round2_selection_small,top3fold_period_layout,17,top3fold_period_layout_raw_soft_fusion,5000,0.3196950711746576,3.946233102009165,0.0562453369505987,0.6254,1.150687589816004,0.714962385288626,0.4915267037570476
round2_diagnostic_balanced_small,top3fold_period_layout,17,top3fold_period_layout_hard_top1,5000,0.3865202943395124,2.1579062543934184,0.0804267388762713,0.5384,1.0740617844998837,0.6673520966038108,0.5335771831542253
round2_diagnostic_balanced_small,top3fold_period_layout,17,top3fold_period_layout_raw_soft_fusion,5000,0.3638622352987004,2.1155913499740984,0.0577686798354592,0.5384,1.0740617844998837,0.6673520966038108,0.5335771831542253
round2_test_small,top3fold_period_layout,17,top3fold_period_layout_hard_top1,5000,0.4137533202286809,3.541198716819254,0.080404398030322,0.6072,1.1372385671484626,0.7066060380943283,0.5110285590410233
round2_test_small,top3fold_period_layout,17,top3fold_period_layout_raw_soft_fusion,5000,0.4020685066212153,3.489510733678093,0.0687195844228563,0.6072,1.1372385671484626,0.7066060380943283,0.5110285590410233
