sample_set,variant,seed,method,selected_model,count,ratio
diagnostic_balanced,spatial_panel_3view,16,spatial_panel_3view_hard_top1,CrossFormer,1636,0.0818
diagnostic_balanced,spatial_panel_3view,16,spatial_panel_3view_hard_top1,DLinear,8479,0.42395
diagnostic_balanced,spatial_panel_3view,16,spatial_panel_3view_hard_top1,ES,4234,0.2117
diagnostic_balanced,spatial_panel_3view,16,spatial_panel_3view_hard_top1,NaiveForecaster,2185,0.10925
diagnostic_balanced,spatial_panel_3view,16,spatial_panel_3view_hard_top1,PatchTST,3466,0.1733
diagnostic_balanced,spatial_panel_3view,16,spatial_panel_3view_raw_soft_fusion,CrossFormer,1636,0.0818
diagnostic_balanced,spatial_panel_3view,16,spatial_panel_3view_raw_soft_fusion,DLinear,8479,0.42395
diagnostic_balanced,spatial_panel_3view,16,spatial_panel_3view_raw_soft_fusion,ES,4234,0.2117
diagnostic_balanced,spatial_panel_3view,16,spatial_panel_3view_raw_soft_fusion,NaiveForecaster,2185,0.10925
diagnostic_balanced,spatial_panel_3view,16,spatial_panel_3view_raw_soft_fusion,PatchTST,3466,0.1733
diagnostic_balanced,spatial_panel_3view,17,spatial_panel_3view_hard_top1,CrossFormer,1403,0.07015
diagnostic_balanced,spatial_panel_3view,17,spatial_panel_3view_hard_top1,DLinear,8580,0.429
diagnostic_balanced,spatial_panel_3view,17,spatial_panel_3view_hard_top1,ES,2946,0.1473
diagnostic_balanced,spatial_panel_3view,17,spatial_panel_3view_hard_top1,NaiveForecaster,4382,0.2191
diagnostic_balanced,spatial_panel_3view,17,spatial_panel_3view_hard_top1,PatchTST,2689,0.13445
diagnostic_balanced,spatial_panel_3view,17,spatial_panel_3view_raw_soft_fusion,CrossFormer,1403,0.07015
diagnostic_balanced,spatial_panel_3view,17,spatial_panel_3view_raw_soft_fusion,DLinear,8580,0.429
diagnostic_balanced,spatial_panel_3view,17,spatial_panel_3view_raw_soft_fusion,ES,2946,0.1473
diagnostic_balanced,spatial_panel_3view,17,spatial_panel_3view_raw_soft_fusion,NaiveForecaster,4382,0.2191
diagnostic_balanced,spatial_panel_3view,17,spatial_panel_3view_raw_soft_fusion,PatchTST,2689,0.13445
diagnostic_balanced,spatial_panel_3view,18,spatial_panel_3view_hard_top1,CrossFormer,1098,0.0549
diagnostic_balanced,spatial_panel_3view,18,spatial_panel_3view_hard_top1,DLinear,7664,0.3832
diagnostic_balanced,spatial_panel_3view,18,spatial_panel_3view_hard_top1,ES,4689,0.23445
diagnostic_balanced,spatial_panel_3view,18,spatial_panel_3view_hard_top1,NaiveForecaster,2425,0.12125
diagnostic_balanced,spatial_panel_3view,18,spatial_panel_3view_hard_top1,PatchTST,4124,0.2062
diagnostic_balanced,spatial_panel_3view,18,spatial_panel_3view_raw_soft_fusion,CrossFormer,1098,0.0549
diagnostic_balanced,spatial_panel_3view,18,spatial_panel_3view_raw_soft_fusion,DLinear,7664,0.3832
diagnostic_balanced,spatial_panel_3view,18,spatial_panel_3view_raw_soft_fusion,ES,4689,0.23445
diagnostic_balanced,spatial_panel_3view,18,spatial_panel_3view_raw_soft_fusion,NaiveForecaster,2425,0.12125
diagnostic_balanced,spatial_panel_3view,18,spatial_panel_3view_raw_soft_fusion,PatchTST,4124,0.2062
pilot_selection,spatial_panel_3view,16,spatial_panel_3view_hard_top1,CrossFormer,1971,0.0657
pilot_selection,spatial_panel_3view,16,spatial_panel_3view_hard_top1,DLinear,12587,0.41956666666666664
pilot_selection,spatial_panel_3view,16,spatial_panel_3view_hard_top1,ES,9125,0.30416666666666664
pilot_selection,spatial_panel_3view,16,spatial_panel_3view_hard_top1,NaiveForecaster,2019,0.0673
pilot_selection,spatial_panel_3view,16,spatial_panel_3view_hard_top1,PatchTST,4298,0.14326666666666665
pilot_selection,spatial_panel_3view,16,spatial_panel_3view_raw_soft_fusion,CrossFormer,1971,0.0657
pilot_selection,spatial_panel_3view,16,spatial_panel_3view_raw_soft_fusion,DLinear,12587,0.41956666666666664
pilot_selection,spatial_panel_3view,16,spatial_panel_3view_raw_soft_fusion,ES,9125,0.30416666666666664
pilot_selection,spatial_panel_3view,16,spatial_panel_3view_raw_soft_fusion,NaiveForecaster,2019,0.0673
pilot_selection,spatial_panel_3view,16,spatial_panel_3view_raw_soft_fusion,PatchTST,4298,0.14326666666666665
pilot_selection,spatial_panel_3view,17,spatial_panel_3view_hard_top1,CrossFormer,1591,0.053033333333333335
pilot_selection,spatial_panel_3view,17,spatial_panel_3view_hard_top1,DLinear,12616,0.4205333333333333
pilot_selection,spatial_panel_3view,17,spatial_panel_3view_hard_top1,ES,3318,0.1106
pilot_selection,spatial_panel_3view,17,spatial_panel_3view_hard_top1,NaiveForecaster,9007,0.30023333333333335
pilot_selection,spatial_panel_3view,17,spatial_panel_3view_hard_top1,PatchTST,3468,0.1156
pilot_selection,spatial_panel_3view,17,spatial_panel_3view_raw_soft_fusion,CrossFormer,1591,0.053033333333333335
pilot_selection,spatial_panel_3view,17,spatial_panel_3view_raw_soft_fusion,DLinear,12616,0.4205333333333333
