sample_set,variant,seed,method,selected_model,count,ratio
round2_diagnostic_balanced_small,film_mean_patch_aux,16,film_mean_patch_aux_hard_top1,CrossFormer,550,0.11
round2_diagnostic_balanced_small,film_mean_patch_aux,16,film_mean_patch_aux_hard_top1,DLinear,1804,0.3608
round2_diagnostic_balanced_small,film_mean_patch_aux,16,film_mean_patch_aux_hard_top1,ES,1249,0.2498
round2_diagnostic_balanced_small,film_mean_patch_aux,16,film_mean_patch_aux_hard_top1,NaiveForecaster,451,0.0902
round2_diagnostic_balanced_small,film_mean_patch_aux,16,film_mean_patch_aux_hard_top1,PatchTST,946,0.1892
round2_diagnostic_balanced_small,film_mean_patch_aux,16,film_mean_patch_aux_raw_soft_fusion,CrossFormer,550,0.11
round2_diagnostic_balanced_small,film_mean_patch_aux,16,film_mean_patch_aux_raw_soft_fusion,DLinear,1804,0.3608
round2_diagnostic_balanced_small,film_mean_patch_aux,16,film_mean_patch_aux_raw_soft_fusion,ES,1249,0.2498
round2_diagnostic_balanced_small,film_mean_patch_aux,16,film_mean_patch_aux_raw_soft_fusion,NaiveForecaster,451,0.0902
round2_diagnostic_balanced_small,film_mean_patch_aux,16,film_mean_patch_aux_raw_soft_fusion,PatchTST,946,0.1892
round2_diagnostic_balanced_small,film_mean_patch_aux,17,film_mean_patch_aux_hard_top1,CrossFormer,492,0.0984
round2_diagnostic_balanced_small,film_mean_patch_aux,17,film_mean_patch_aux_hard_top1,DLinear,1984,0.3968
round2_diagnostic_balanced_small,film_mean_patch_aux,17,film_mean_patch_aux_hard_top1,ES,205,0.041
round2_diagnostic_balanced_small,film_mean_patch_aux,17,film_mean_patch_aux_hard_top1,NaiveForecaster,1328,0.2656
round2_diagnostic_balanced_small,film_mean_patch_aux,17,film_mean_patch_aux_hard_top1,PatchTST,991,0.1982
round2_diagnostic_balanced_small,film_mean_patch_aux,17,film_mean_patch_aux_raw_soft_fusion,CrossFormer,492,0.0984
round2_diagnostic_balanced_small,film_mean_patch_aux,17,film_mean_patch_aux_raw_soft_fusion,DLinear,1984,0.3968
round2_diagnostic_balanced_small,film_mean_patch_aux,17,film_mean_patch_aux_raw_soft_fusion,ES,205,0.041
round2_diagnostic_balanced_small,film_mean_patch_aux,17,film_mean_patch_aux_raw_soft_fusion,NaiveForecaster,1328,0.2656
round2_diagnostic_balanced_small,film_mean_patch_aux,17,film_mean_patch_aux_raw_soft_fusion,PatchTST,991,0.1982
round2_diagnostic_balanced_small,film_mean_patch_aux,18,film_mean_patch_aux_hard_top1,CrossFormer,319,0.0638
round2_diagnostic_balanced_small,film_mean_patch_aux,18,film_mean_patch_aux_hard_top1,DLinear,2253,0.4506
round2_diagnostic_balanced_small,film_mean_patch_aux,18,film_mean_patch_aux_hard_top1,ES,1311,0.2622
round2_diagnostic_balanced_small,film_mean_patch_aux,18,film_mean_patch_aux_hard_top1,NaiveForecaster,295,0.059
round2_diagnostic_balanced_small,film_mean_patch_aux,18,film_mean_patch_aux_hard_top1,PatchTST,822,0.1644
round2_diagnostic_balanced_small,film_mean_patch_aux,18,film_mean_patch_aux_raw_soft_fusion,CrossFormer,319,0.0638
round2_diagnostic_balanced_small,film_mean_patch_aux,18,film_mean_patch_aux_raw_soft_fusion,DLinear,2253,0.4506
round2_diagnostic_balanced_small,film_mean_patch_aux,18,film_mean_patch_aux_raw_soft_fusion,ES,1311,0.2622
round2_diagnostic_balanced_small,film_mean_patch_aux,18,film_mean_patch_aux_raw_soft_fusion,NaiveForecaster,295,0.059
round2_diagnostic_balanced_small,film_mean_patch_aux,18,film_mean_patch_aux_raw_soft_fusion,PatchTST,822,0.1644
round2_diagnostic_balanced_small,film_panel_gated_mean_aux,16,film_panel_gated_mean_aux_hard_top1,CrossFormer,479,0.0958
