sample_set,variant,seed,method,selected_model,count,ratio
round2_diagnostic_balanced_small,film_global_panel_mean_aux,16,film_global_panel_mean_aux_hard_top1,CrossFormer,323,0.0646
round2_diagnostic_balanced_small,film_global_panel_mean_aux,16,film_global_panel_mean_aux_hard_top1,DLinear,2096,0.4192
round2_diagnostic_balanced_small,film_global_panel_mean_aux,16,film_global_panel_mean_aux_hard_top1,ES,411,0.0822
round2_diagnostic_balanced_small,film_global_panel_mean_aux,16,film_global_panel_mean_aux_hard_top1,NaiveForecaster,1265,0.253
round2_diagnostic_balanced_small,film_global_panel_mean_aux,16,film_global_panel_mean_aux_hard_top1,PatchTST,905,0.181
round2_diagnostic_balanced_small,film_global_panel_mean_aux,16,film_global_panel_mean_aux_raw_soft_fusion,CrossFormer,323,0.0646
round2_diagnostic_balanced_small,film_global_panel_mean_aux,16,film_global_panel_mean_aux_raw_soft_fusion,DLinear,2096,0.4192
round2_diagnostic_balanced_small,film_global_panel_mean_aux,16,film_global_panel_mean_aux_raw_soft_fusion,ES,411,0.0822
round2_diagnostic_balanced_small,film_global_panel_mean_aux,16,film_global_panel_mean_aux_raw_soft_fusion,NaiveForecaster,1265,0.253
round2_diagnostic_balanced_small,film_global_panel_mean_aux,16,film_global_panel_mean_aux_raw_soft_fusion,PatchTST,905,0.181
round2_diagnostic_balanced_small,film_global_panel_mean_aux,17,film_global_panel_mean_aux_hard_top1,CrossFormer,1109,0.2218
round2_diagnostic_balanced_small,film_global_panel_mean_aux,17,film_global_panel_mean_aux_hard_top1,DLinear,2212,0.4424
round2_diagnostic_balanced_small,film_global_panel_mean_aux,17,film_global_panel_mean_aux_hard_top1,ES,397,0.0794
round2_diagnostic_balanced_small,film_global_panel_mean_aux,17,film_global_panel_mean_aux_hard_top1,NaiveForecaster,518,0.1036
round2_diagnostic_balanced_small,film_global_panel_mean_aux,17,film_global_panel_mean_aux_hard_top1,PatchTST,764,0.1528
round2_diagnostic_balanced_small,film_global_panel_mean_aux,17,film_global_panel_mean_aux_raw_soft_fusion,CrossFormer,1109,0.2218
round2_diagnostic_balanced_small,film_global_panel_mean_aux,17,film_global_panel_mean_aux_raw_soft_fusion,DLinear,2212,0.4424
round2_diagnostic_balanced_small,film_global_panel_mean_aux,17,film_global_panel_mean_aux_raw_soft_fusion,ES,397,0.0794
round2_diagnostic_balanced_small,film_global_panel_mean_aux,17,film_global_panel_mean_aux_raw_soft_fusion,NaiveForecaster,518,0.1036
round2_diagnostic_balanced_small,film_global_panel_mean_aux,17,film_global_panel_mean_aux_raw_soft_fusion,PatchTST,764,0.1528
round2_diagnostic_balanced_small,film_global_panel_mean_aux,18,film_global_panel_mean_aux_hard_top1,CrossFormer,239,0.0478
round2_diagnostic_balanced_small,film_global_panel_mean_aux,18,film_global_panel_mean_aux_hard_top1,DLinear,2372,0.4744
round2_diagnostic_balanced_small,film_global_panel_mean_aux,18,film_global_panel_mean_aux_hard_top1,ES,1255,0.251
round2_diagnostic_balanced_small,film_global_panel_mean_aux,18,film_global_panel_mean_aux_hard_top1,NaiveForecaster,386,0.0772
round2_diagnostic_balanced_small,film_global_panel_mean_aux,18,film_global_panel_mean_aux_hard_top1,PatchTST,748,0.1496
round2_diagnostic_balanced_small,film_global_panel_mean_aux,18,film_global_panel_mean_aux_raw_soft_fusion,CrossFormer,239,0.0478
round2_diagnostic_balanced_small,film_global_panel_mean_aux,18,film_global_panel_mean_aux_raw_soft_fusion,DLinear,2372,0.4744
round2_diagnostic_balanced_small,film_global_panel_mean_aux,18,film_global_panel_mean_aux_raw_soft_fusion,ES,1255,0.251
round2_diagnostic_balanced_small,film_global_panel_mean_aux,18,film_global_panel_mean_aux_raw_soft_fusion,NaiveForecaster,386,0.0772
round2_diagnostic_balanced_small,film_global_panel_mean_aux,18,film_global_panel_mean_aux_raw_soft_fusion,PatchTST,748,0.1496
round2_diagnostic_balanced_small,film_mean_patch_aux,16,film_mean_patch_aux_hard_top1,CrossFormer,550,0.11
round2_diagnostic_balanced_small,film_mean_patch_aux,16,film_mean_patch_aux_hard_top1,DLinear,1804,0.3608
round2_diagnostic_balanced_small,film_mean_patch_aux,16,film_mean_patch_aux_hard_top1,ES,1249,0.2498
round2_diagnostic_balanced_small,film_mean_patch_aux,16,film_mean_patch_aux_hard_top1,NaiveForecaster,451,0.0902
round2_diagnostic_balanced_small,film_mean_patch_aux,16,film_mean_patch_aux_hard_top1,PatchTST,946,0.1892
round2_diagnostic_balanced_small,film_mean_patch_aux,16,film_mean_patch_aux_raw_soft_fusion,CrossFormer,550,0.11
round2_diagnostic_balanced_small,film_mean_patch_aux,16,film_mean_patch_aux_raw_soft_fusion,DLinear,1804,0.3608
round2_diagnostic_balanced_small,film_mean_patch_aux,16,film_mean_patch_aux_raw_soft_fusion,ES,1249,0.2498
round2_diagnostic_balanced_small,film_mean_patch_aux,16,film_mean_patch_aux_raw_soft_fusion,NaiveForecaster,451,0.0902
round2_diagnostic_balanced_small,film_mean_patch_aux,16,film_mean_patch_aux_raw_soft_fusion,PatchTST,946,0.1892
round2_diagnostic_balanced_small,film_mean_patch_aux,17,film_mean_patch_aux_hard_top1,CrossFormer,492,0.0984
round2_diagnostic_balanced_small,film_mean_patch_aux,17,film_mean_patch_aux_hard_top1,DLinear,1984,0.3968
round2_diagnostic_balanced_small,film_mean_patch_aux,17,film_mean_patch_aux_hard_top1,ES,205,0.041
round2_diagnostic_balanced_small,film_mean_patch_aux,17,film_mean_patch_aux_hard_top1,NaiveForecaster,1328,0.2656
round2_diagnostic_balanced_small,film_mean_patch_aux,17,film_mean_patch_aux_hard_top1,PatchTST,991,0.1982
round2_diagnostic_balanced_small,film_mean_patch_aux,17,film_mean_patch_aux_raw_soft_fusion,CrossFormer,492,0.0984
round2_diagnostic_balanced_small,film_mean_patch_aux,17,film_mean_patch_aux_raw_soft_fusion,DLinear,1984,0.3968
round2_diagnostic_balanced_small,film_mean_patch_aux,17,film_mean_patch_aux_raw_soft_fusion,ES,205,0.041
round2_diagnostic_balanced_small,film_mean_patch_aux,17,film_mean_patch_aux_raw_soft_fusion,NaiveForecaster,1328,0.2656
round2_diagnostic_balanced_small,film_mean_patch_aux,17,film_mean_patch_aux_raw_soft_fusion,PatchTST,991,0.1982
round2_diagnostic_balanced_small,film_mean_patch_aux,18,film_mean_patch_aux_hard_top1,CrossFormer,319,0.0638
round2_diagnostic_balanced_small,film_mean_patch_aux,18,film_mean_patch_aux_hard_top1,DLinear,2253,0.4506
round2_diagnostic_balanced_small,film_mean_patch_aux,18,film_mean_patch_aux_hard_top1,ES,1311,0.2622
round2_diagnostic_balanced_small,film_mean_patch_aux,18,film_mean_patch_aux_hard_top1,NaiveForecaster,295,0.059
round2_diagnostic_balanced_small,film_mean_patch_aux,18,film_mean_patch_aux_hard_top1,PatchTST,822,0.1644
round2_diagnostic_balanced_small,film_mean_patch_aux,18,film_mean_patch_aux_raw_soft_fusion,CrossFormer,319,0.0638
round2_diagnostic_balanced_small,film_mean_patch_aux,18,film_mean_patch_aux_raw_soft_fusion,DLinear,2253,0.4506
round2_diagnostic_balanced_small,film_mean_patch_aux,18,film_mean_patch_aux_raw_soft_fusion,ES,1311,0.2622
round2_diagnostic_balanced_small,film_mean_patch_aux,18,film_mean_patch_aux_raw_soft_fusion,NaiveForecaster,295,0.059
round2_diagnostic_balanced_small,film_mean_patch_aux,18,film_mean_patch_aux_raw_soft_fusion,PatchTST,822,0.1644
round2_diagnostic_balanced_small,film_panel_mean_aux,16,film_panel_mean_aux_hard_top1,CrossFormer,1353,0.2706
round2_diagnostic_balanced_small,film_panel_mean_aux,16,film_panel_mean_aux_hard_top1,DLinear,1967,0.3934
round2_diagnostic_balanced_small,film_panel_mean_aux,16,film_panel_mean_aux_hard_top1,ES,410,0.082
round2_diagnostic_balanced_small,film_panel_mean_aux,16,film_panel_mean_aux_hard_top1,NaiveForecaster,497,0.0994
round2_diagnostic_balanced_small,film_panel_mean_aux,16,film_panel_mean_aux_hard_top1,PatchTST,773,0.1546
round2_diagnostic_balanced_small,film_panel_mean_aux,16,film_panel_mean_aux_raw_soft_fusion,CrossFormer,1353,0.2706
round2_diagnostic_balanced_small,film_panel_mean_aux,16,film_panel_mean_aux_raw_soft_fusion,DLinear,1967,0.3934
round2_diagnostic_balanced_small,film_panel_mean_aux,16,film_panel_mean_aux_raw_soft_fusion,ES,410,0.082
round2_diagnostic_balanced_small,film_panel_mean_aux,16,film_panel_mean_aux_raw_soft_fusion,NaiveForecaster,497,0.0994
round2_diagnostic_balanced_small,film_panel_mean_aux,16,film_panel_mean_aux_raw_soft_fusion,PatchTST,773,0.1546
round2_diagnostic_balanced_small,film_panel_mean_aux,17,film_panel_mean_aux_hard_top1,CrossFormer,405,0.081
round2_diagnostic_balanced_small,film_panel_mean_aux,17,film_panel_mean_aux_hard_top1,DLinear,1916,0.3832
round2_diagnostic_balanced_small,film_panel_mean_aux,17,film_panel_mean_aux_hard_top1,ES,1141,0.2282
round2_diagnostic_balanced_small,film_panel_mean_aux,17,film_panel_mean_aux_hard_top1,NaiveForecaster,488,0.0976
round2_diagnostic_balanced_small,film_panel_mean_aux,17,film_panel_mean_aux_hard_top1,PatchTST,1050,0.21
round2_diagnostic_balanced_small,film_panel_mean_aux,17,film_panel_mean_aux_raw_soft_fusion,CrossFormer,405,0.081
round2_diagnostic_balanced_small,film_panel_mean_aux,17,film_panel_mean_aux_raw_soft_fusion,DLinear,1916,0.3832
round2_diagnostic_balanced_small,film_panel_mean_aux,17,film_panel_mean_aux_raw_soft_fusion,ES,1141,0.2282
round2_diagnostic_balanced_small,film_panel_mean_aux,17,film_panel_mean_aux_raw_soft_fusion,NaiveForecaster,488,0.0976
round2_diagnostic_balanced_small,film_panel_mean_aux,17,film_panel_mean_aux_raw_soft_fusion,PatchTST,1050,0.21
round2_diagnostic_balanced_small,film_panel_mean_aux,18,film_panel_mean_aux_hard_top1,CrossFormer,375,0.075
round2_diagnostic_balanced_small,film_panel_mean_aux,18,film_panel_mean_aux_hard_top1,DLinear,2320,0.464
round2_diagnostic_balanced_small,film_panel_mean_aux,18,film_panel_mean_aux_hard_top1,ES,1207,0.2414
round2_diagnostic_balanced_small,film_panel_mean_aux,18,film_panel_mean_aux_hard_top1,NaiveForecaster,328,0.0656
round2_diagnostic_balanced_small,film_panel_mean_aux,18,film_panel_mean_aux_hard_top1,PatchTST,770,0.154
round2_diagnostic_balanced_small,film_panel_mean_aux,18,film_panel_mean_aux_raw_soft_fusion,CrossFormer,375,0.075
round2_diagnostic_balanced_small,film_panel_mean_aux,18,film_panel_mean_aux_raw_soft_fusion,DLinear,2320,0.464
round2_diagnostic_balanced_small,film_panel_mean_aux,18,film_panel_mean_aux_raw_soft_fusion,ES,1207,0.2414
round2_diagnostic_balanced_small,film_panel_mean_aux,18,film_panel_mean_aux_raw_soft_fusion,NaiveForecaster,328,0.0656
round2_diagnostic_balanced_small,film_panel_mean_aux,18,film_panel_mean_aux_raw_soft_fusion,PatchTST,770,0.154
round2_selection_small,film_global_panel_mean_aux,16,film_global_panel_mean_aux_hard_top1,CrossFormer,253,0.0506
round2_selection_small,film_global_panel_mean_aux,16,film_global_panel_mean_aux_hard_top1,DLinear,2092,0.4184
round2_selection_small,film_global_panel_mean_aux,16,film_global_panel_mean_aux_hard_top1,ES,326,0.0652
round2_selection_small,film_global_panel_mean_aux,16,film_global_panel_mean_aux_hard_top1,NaiveForecaster,1577,0.3154
round2_selection_small,film_global_panel_mean_aux,16,film_global_panel_mean_aux_hard_top1,PatchTST,752,0.1504
round2_selection_small,film_global_panel_mean_aux,16,film_global_panel_mean_aux_raw_soft_fusion,CrossFormer,253,0.0506
round2_selection_small,film_global_panel_mean_aux,16,film_global_panel_mean_aux_raw_soft_fusion,DLinear,2092,0.4184
round2_selection_small,film_global_panel_mean_aux,16,film_global_panel_mean_aux_raw_soft_fusion,ES,326,0.0652
round2_selection_small,film_global_panel_mean_aux,16,film_global_panel_mean_aux_raw_soft_fusion,NaiveForecaster,1577,0.3154
round2_selection_small,film_global_panel_mean_aux,16,film_global_panel_mean_aux_raw_soft_fusion,PatchTST,752,0.1504
round2_selection_small,film_global_panel_mean_aux,17,film_global_panel_mean_aux_hard_top1,CrossFormer,1573,0.3146
round2_selection_small,film_global_panel_mean_aux,17,film_global_panel_mean_aux_hard_top1,DLinear,2213,0.4426
round2_selection_small,film_global_panel_mean_aux,17,film_global_panel_mean_aux_hard_top1,ES,330,0.066
round2_selection_small,film_global_panel_mean_aux,17,film_global_panel_mean_aux_hard_top1,NaiveForecaster,281,0.0562
round2_selection_small,film_global_panel_mean_aux,17,film_global_panel_mean_aux_hard_top1,PatchTST,603,0.1206
round2_selection_small,film_global_panel_mean_aux,17,film_global_panel_mean_aux_raw_soft_fusion,CrossFormer,1573,0.3146
round2_selection_small,film_global_panel_mean_aux,17,film_global_panel_mean_aux_raw_soft_fusion,DLinear,2213,0.4426
round2_selection_small,film_global_panel_mean_aux,17,film_global_panel_mean_aux_raw_soft_fusion,ES,330,0.066
round2_selection_small,film_global_panel_mean_aux,17,film_global_panel_mean_aux_raw_soft_fusion,NaiveForecaster,281,0.0562
round2_selection_small,film_global_panel_mean_aux,17,film_global_panel_mean_aux_raw_soft_fusion,PatchTST,603,0.1206
round2_selection_small,film_global_panel_mean_aux,18,film_global_panel_mean_aux_hard_top1,CrossFormer,182,0.0364
round2_selection_small,film_global_panel_mean_aux,18,film_global_panel_mean_aux_hard_top1,DLinear,2343,0.4686
round2_selection_small,film_global_panel_mean_aux,18,film_global_panel_mean_aux_hard_top1,ES,1700,0.34
round2_selection_small,film_global_panel_mean_aux,18,film_global_panel_mean_aux_hard_top1,NaiveForecaster,168,0.0336
round2_selection_small,film_global_panel_mean_aux,18,film_global_panel_mean_aux_hard_top1,PatchTST,607,0.1214
round2_selection_small,film_global_panel_mean_aux,18,film_global_panel_mean_aux_raw_soft_fusion,CrossFormer,182,0.0364
round2_selection_small,film_global_panel_mean_aux,18,film_global_panel_mean_aux_raw_soft_fusion,DLinear,2343,0.4686
round2_selection_small,film_global_panel_mean_aux,18,film_global_panel_mean_aux_raw_soft_fusion,ES,1700,0.34
round2_selection_small,film_global_panel_mean_aux,18,film_global_panel_mean_aux_raw_soft_fusion,NaiveForecaster,168,0.0336
round2_selection_small,film_global_panel_mean_aux,18,film_global_panel_mean_aux_raw_soft_fusion,PatchTST,607,0.1214
round2_selection_small,film_mean_patch_aux,16,film_mean_patch_aux_hard_top1,CrossFormer,439,0.0878
round2_selection_small,film_mean_patch_aux,16,film_mean_patch_aux_hard_top1,DLinear,1865,0.373
round2_selection_small,film_mean_patch_aux,16,film_mean_patch_aux_hard_top1,ES,1680,0.336
round2_selection_small,film_mean_patch_aux,16,film_mean_patch_aux_hard_top1,NaiveForecaster,231,0.0462
round2_selection_small,film_mean_patch_aux,16,film_mean_patch_aux_hard_top1,PatchTST,785,0.157
round2_selection_small,film_mean_patch_aux,16,film_mean_patch_aux_raw_soft_fusion,CrossFormer,439,0.0878
round2_selection_small,film_mean_patch_aux,16,film_mean_patch_aux_raw_soft_fusion,DLinear,1865,0.373
round2_selection_small,film_mean_patch_aux,16,film_mean_patch_aux_raw_soft_fusion,ES,1680,0.336
round2_selection_small,film_mean_patch_aux,16,film_mean_patch_aux_raw_soft_fusion,NaiveForecaster,231,0.0462
round2_selection_small,film_mean_patch_aux,16,film_mean_patch_aux_raw_soft_fusion,PatchTST,785,0.157
round2_selection_small,film_mean_patch_aux,17,film_mean_patch_aux_hard_top1,CrossFormer,357,0.0714
round2_selection_small,film_mean_patch_aux,17,film_mean_patch_aux_hard_top1,DLinear,1991,0.3982
round2_selection_small,film_mean_patch_aux,17,film_mean_patch_aux_hard_top1,ES,160,0.032
round2_selection_small,film_mean_patch_aux,17,film_mean_patch_aux_hard_top1,NaiveForecaster,1636,0.3272
round2_selection_small,film_mean_patch_aux,17,film_mean_patch_aux_hard_top1,PatchTST,856,0.1712
round2_selection_small,film_mean_patch_aux,17,film_mean_patch_aux_raw_soft_fusion,CrossFormer,357,0.0714
round2_selection_small,film_mean_patch_aux,17,film_mean_patch_aux_raw_soft_fusion,DLinear,1991,0.3982
round2_selection_small,film_mean_patch_aux,17,film_mean_patch_aux_raw_soft_fusion,ES,160,0.032
round2_selection_small,film_mean_patch_aux,17,film_mean_patch_aux_raw_soft_fusion,NaiveForecaster,1636,0.3272
round2_selection_small,film_mean_patch_aux,17,film_mean_patch_aux_raw_soft_fusion,PatchTST,856,0.1712
round2_selection_small,film_mean_patch_aux,18,film_mean_patch_aux_hard_top1,CrossFormer,251,0.0502
round2_selection_small,film_mean_patch_aux,18,film_mean_patch_aux_hard_top1,DLinear,2207,0.4414
round2_selection_small,film_mean_patch_aux,18,film_mean_patch_aux_hard_top1,ES,1733,0.3466
round2_selection_small,film_mean_patch_aux,18,film_mean_patch_aux_hard_top1,NaiveForecaster,135,0.027
round2_selection_small,film_mean_patch_aux,18,film_mean_patch_aux_hard_top1,PatchTST,674,0.1348
round2_selection_small,film_mean_patch_aux,18,film_mean_patch_aux_raw_soft_fusion,CrossFormer,251,0.0502
round2_selection_small,film_mean_patch_aux,18,film_mean_patch_aux_raw_soft_fusion,DLinear,2207,0.4414
round2_selection_small,film_mean_patch_aux,18,film_mean_patch_aux_raw_soft_fusion,ES,1733,0.3466
round2_selection_small,film_mean_patch_aux,18,film_mean_patch_aux_raw_soft_fusion,NaiveForecaster,135,0.027
round2_selection_small,film_mean_patch_aux,18,film_mean_patch_aux_raw_soft_fusion,PatchTST,674,0.1348
round2_selection_small,film_panel_mean_aux,16,film_panel_mean_aux_hard_top1,CrossFormer,1765,0.353
round2_selection_small,film_panel_mean_aux,16,film_panel_mean_aux_hard_top1,DLinear,2033,0.4066
round2_selection_small,film_panel_mean_aux,16,film_panel_mean_aux_hard_top1,ES,314,0.0628
round2_selection_small,film_panel_mean_aux,16,film_panel_mean_aux_hard_top1,NaiveForecaster,266,0.0532
round2_selection_small,film_panel_mean_aux,16,film_panel_mean_aux_hard_top1,PatchTST,622,0.1244
round2_selection_small,film_panel_mean_aux,16,film_panel_mean_aux_raw_soft_fusion,CrossFormer,1765,0.353
round2_selection_small,film_panel_mean_aux,16,film_panel_mean_aux_raw_soft_fusion,DLinear,2033,0.4066
round2_selection_small,film_panel_mean_aux,16,film_panel_mean_aux_raw_soft_fusion,ES,314,0.0628
round2_selection_small,film_panel_mean_aux,16,film_panel_mean_aux_raw_soft_fusion,NaiveForecaster,266,0.0532
round2_selection_small,film_panel_mean_aux,16,film_panel_mean_aux_raw_soft_fusion,PatchTST,622,0.1244
