sample_set,variant,seed,method,sample_count,MAE,MSE,regret_to_oracle,oracle_label_accuracy,weight_entropy,normalized_weight_entropy,mean_max_weight
round2_selection_small,film_mean_patch_aux,16,film_mean_patch_aux_hard_top1,5000,0.3237829815510981,3.073044380676584,0.0603332473270391,0.617,1.145483723040484,0.7117290407098364,0.4982646778851747
round2_selection_small,film_mean_patch_aux,16,film_mean_patch_aux_raw_soft_fusion,5000,0.3055398168146268,2.966947438951954,0.0420900825905679,0.617,1.145483723040484,0.7117290407098364,0.4982646778851747
round2_diagnostic_balanced_small,film_mean_patch_aux,16,film_mean_patch_aux_hard_top1,5000,0.3967221943418262,4.213449618417616,0.0906286388785851,0.4998,1.0621330491751433,0.6599403566199821,0.54535942979455
round2_diagnostic_balanced_small,film_mean_patch_aux,16,film_mean_patch_aux_raw_soft_fusion,5000,0.3696341588340409,3.896964142791256,0.0635406033707997,0.4998,1.0621330491751433,0.6599403566199821,0.54535942979455
round2_test_small,film_mean_patch_aux,16,film_mean_patch_aux_hard_top1,5000,0.4115033473241026,3.549783774960108,0.0781544251257437,0.611,1.0542419971633703,0.6550373700624332,0.5537300588339568
round2_test_small,film_mean_patch_aux,16,film_mean_patch_aux_raw_soft_fusion,5000,0.3992940504044694,3.4766461801692765,0.0659451282061105,0.611,1.0542419971633703,0.6550373700624332,0.5537300588339568
round2_selection_small,film_mean_patch_aux,17,film_mean_patch_aux_hard_top1,5000,0.3229886140499584,3.164915987680603,0.0595388798258995,0.3738,1.12379502348812,0.698253094128508,0.5247517479479313
round2_selection_small,film_mean_patch_aux,17,film_mean_patch_aux_raw_soft_fusion,5000,0.305763340447619,3.030417240937352,0.0423136062235601,0.3738,1.12379502348812,0.698253094128508,0.5247517479479313
round2_diagnostic_balanced_small,film_mean_patch_aux,17,film_mean_patch_aux_hard_top1,5000,0.3880890395381604,4.063017988963908,0.0819954840749193,0.3742,1.0403783144192704,0.6464233798802375,0.5625749638944865
round2_diagnostic_balanced_small,film_mean_patch_aux,17,film_mean_patch_aux_raw_soft_fusion,5000,0.3654349634433522,3.969473069930132,0.059341407980111,0.3742,1.0403783144192704,0.6464233798802375,0.5625749638944865
round2_test_small,film_mean_patch_aux,17,film_mean_patch_aux_hard_top1,5000,0.412126633895596,3.5932142463599592,0.0787777116972371,0.3326,1.078447553701153,0.6700771278237582,0.5589237348556518
round2_test_small,film_mean_patch_aux,17,film_mean_patch_aux_raw_soft_fusion,5000,0.3972579615883602,3.494196505236553,0.0639090393900013,0.3326,1.078447553701153,0.6700771278237582,0.5589237348556518
round2_selection_small,film_mean_patch_aux,18,film_mean_patch_aux_hard_top1,5000,0.3381125198298803,4.114819943609795,0.0746627856058214,0.6232,1.136716411738284,0.7062816032901174,0.5219977963984013
round2_selection_small,film_mean_patch_aux,18,film_mean_patch_aux_raw_soft_fusion,5000,0.3198505450141718,3.990231633101205,0.0564008107901129,0.6232,1.136716411738284,0.7062816032901174,0.5219977963984013
round2_diagnostic_balanced_small,film_mean_patch_aux,18,film_mean_patch_aux_hard_top1,5000,0.4009163490322593,2.4646417095136,0.0948227935690181,0.4754,1.0617635025636876,0.6597107433317335,0.5579776721656322
round2_diagnostic_balanced_small,film_mean_patch_aux,18,film_mean_patch_aux_raw_soft_fusion,5000,0.3764782414503512,2.2981082078672093,0.07038468598711,0.4754,1.0617635025636876,0.6597107433317335,0.5579776721656322
round2_test_small,film_mean_patch_aux,18,film_mean_patch_aux_hard_top1,5000,0.411099921752396,3.560706653671465,0.0777509995540371,0.6124,1.1281184056612688,0.7009393618047263,0.5345804681032896
round2_test_small,film_mean_patch_aux,18,film_mean_patch_aux_raw_soft_fusion,5000,0.3992430731419881,3.481462175713182,0.0658941509436292,0.6124,1.1281184056612688,0.7009393618047263,0.5345804681032896
round2_selection_small,film_panel_mean_aux,16,film_panel_mean_aux_hard_top1,5000,0.3236748423937795,3.0754408709575984,0.0602251081697206,0.3648,1.1330159607249546,0.7039823842913844,0.5086865336418152
round2_selection_small,film_panel_mean_aux,16,film_panel_mean_aux_raw_soft_fusion,5000,0.3059065349189434,2.9836703249372403,0.0424568006948844,0.3648,1.1330159607249546,0.7039823842913844,0.5086865336418152
round2_diagnostic_balanced_small,film_panel_mean_aux,16,film_panel_mean_aux_hard_top1,5000,0.3870769138689618,3.8382133497405055,0.0809833584057207,0.3608,1.0464580218165649,0.6502009141304065,0.5552446797221899
round2_diagnostic_balanced_small,film_panel_mean_aux,16,film_panel_mean_aux_raw_soft_fusion,5000,0.3654215753271526,3.790056237777251,0.0593280198639115,0.3608,1.0464580218165649,0.6502009141304065,0.5552446797221899
round2_test_small,film_panel_mean_aux,16,film_panel_mean_aux_hard_top1,5000,0.4091607908521662,3.525328772691576,0.0758118686538073,0.3392,1.0758823303645475,0.6684832644103095,0.5457063638329506
round2_test_small,film_panel_mean_aux,16,film_panel_mean_aux_raw_soft_fusion,5000,0.3967032825607799,3.4817592719038517,0.063354360362421,0.3392,1.0758823303645475,0.6684832644103095,0.5457063638329506
round2_selection_small,film_panel_mean_aux,17,film_panel_mean_aux_hard_top1,5000,0.3318712651669018,4.0179070883629935,0.0684215309428429,0.6292,1.1254232086848468,0.6992647400354967,0.5104545523554087
round2_selection_small,film_panel_mean_aux,17,film_panel_mean_aux_raw_soft_fusion,5000,0.3146373718267554,3.9629100071988206,0.0511876376026965,0.6292,1.1254232086848468,0.6992647400354967,0.5104545523554087
round2_diagnostic_balanced_small,film_panel_mean_aux,17,film_panel_mean_aux_hard_top1,5000,0.3949010281260474,2.465286879205144,0.0888074726628063,0.515,1.043037196143723,0.6480754343289186,0.5565731949836016
round2_diagnostic_balanced_small,film_panel_mean_aux,17,film_panel_mean_aux_raw_soft_fusion,5000,0.3693926164321295,2.3343944458079493,0.0632990609688884,0.515,1.043037196143723,0.6480754343289186,0.5565731949836016
round2_test_small,film_panel_mean_aux,17,film_panel_mean_aux_hard_top1,5000,0.4081395032795495,3.5221921056152583,0.0747905810811906,0.6194,1.091374554205888,0.6781091219022833,0.5365221159279346
round2_test_small,film_panel_mean_aux,17,film_panel_mean_aux_raw_soft_fusion,5000,0.3967555101276962,3.477331540102356,0.0634065879293373,0.6194,1.091374554205888,0.6781091219022833,0.5365221159279346
round2_selection_small,film_panel_mean_aux,18,film_panel_mean_aux_hard_top1,5000,0.3341485250647092,4.027028670558317,0.0706987908406503,0.6216,1.091864405984641,0.6784134896454052,0.5273891186267138
round2_selection_small,film_panel_mean_aux,18,film_panel_mean_aux_raw_soft_fusion,5000,0.3159145879618474,3.795339751952149,0.0524648537377885,0.6216,1.091864405984641,0.6784134896454052,0.5273891186267138
round2_diagnostic_balanced_small,film_panel_mean_aux,18,film_panel_mean_aux_hard_top1,5000,0.3902727935275994,2.017046361974994,0.0841792380643583,0.48,1.017388382779149,0.6321389338718669,0.5681530731379986
round2_diagnostic_balanced_small,film_panel_mean_aux,18,film_panel_mean_aux_raw_soft_fusion,5000,0.3705213785839616,1.933248607765748,0.0644278231207205,0.48,1.017388382779149,0.6321389338718669,0.5681530731379986
round2_test_small,film_panel_mean_aux,18,film_panel_mean_aux_hard_top1,5000,0.4109142790001118,3.5237429779440106,0.0775653568017529,0.61,1.0768842690028395,0.6691058074488028,0.5427857544600964
round2_test_small,film_panel_mean_aux,18,film_panel_mean_aux_raw_soft_fusion,5000,0.3977984589841857,3.454268815346386,0.0644495367858268,0.61,1.0768842690028395,0.6691058074488028,0.5427857544600964
round2_selection_small,film_global_panel_mean_aux,16,film_global_panel_mean_aux_hard_top1,5000,0.3244556713391852,3.171314277274646,0.0610059371151263,0.3654,1.0946062380601682,0.6801170843005577,0.5345860550016165
round2_selection_small,film_global_panel_mean_aux,16,film_global_panel_mean_aux_raw_soft_fusion,5000,0.3043900512124004,3.0161727862461545,0.0409403169883415,0.3654,1.0946062380601682,0.6801170843005577,0.5345860550016165
round2_diagnostic_balanced_small,film_global_panel_mean_aux,16,film_global_panel_mean_aux_hard_top1,5000,0.3899952908331295,3.9674330730963137,0.0839017353698884,0.3494,1.015151794948729,0.6307492631014979,0.5746118945479393
round2_diagnostic_balanced_small,film_global_panel_mean_aux,16,film_global_panel_mean_aux_raw_soft_fusion,5000,0.366571257708373,3.8345938419395695,0.0604777022451319,0.3494,1.015151794948729,0.6307492631014979,0.5746118945479393
round2_test_small,film_global_panel_mean_aux,16,film_global_panel_mean_aux_hard_top1,5000,0.4098271637023077,3.564949451592928,0.0764782415039488,0.3382,1.0650406369535583,0.6617469436037033,0.5554794628202915
round2_test_small,film_global_panel_mean_aux,16,film_global_panel_mean_aux_raw_soft_fusion,5000,0.3972214252963325,3.486190896607705,0.0638725030979735,0.3382,1.0650406369535583,0.6617469436037033,0.5554794628202915
round2_selection_small,film_global_panel_mean_aux,17,film_global_panel_mean_aux_hard_top1,5000,0.33247366169093,4.021635777426761,0.0690239274668711,0.3738,1.093361571407132,0.6793437249551527,0.5374598053276539
round2_selection_small,film_global_panel_mean_aux,17,film_global_panel_mean_aux_raw_soft_fusion,5000,0.3137611584618949,3.930384395389661,0.050311424237836,0.3738,1.093361571407132,0.6793437249551527,0.5374598053276539
round2_diagnostic_balanced_small,film_global_panel_mean_aux,17,film_global_panel_mean_aux_hard_top1,5000,0.3959441087505722,2.525948507725922,0.089850553287331,0.3538,1.0130580920772714,0.6294483698591649,0.5801604532450437
round2_diagnostic_balanced_small,film_global_panel_mean_aux,17,film_global_panel_mean_aux_raw_soft_fusion,5000,0.3714734997552514,2.317040206984368,0.0653799442920102,0.3538,1.0130580920772714,0.6294483698591649,0.5801604532450437
round2_test_small,film_global_panel_mean_aux,17,film_global_panel_mean_aux_hard_top1,5000,0.411180722225341,3.548903486227103,0.077831800026982,0.3386,1.0761596650291734,0.6686555795412881,0.5485699911057949
round2_test_small,film_global_panel_mean_aux,17,film_global_panel_mean_aux_raw_soft_fusion,5000,0.3971674470410358,3.4790551150143423,0.0638185248426769,0.3386,1.0761596650291734,0.6686555795412881,0.5485699911057949
round2_selection_small,film_global_panel_mean_aux,18,film_global_panel_mean_aux_hard_top1,5000,0.3332889238046628,4.03070068447089,0.0698391895806038,0.6332,1.065841943145357,0.6622448246072978,0.5568785725831985
round2_selection_small,film_global_panel_mean_aux,18,film_global_panel_mean_aux_raw_soft_fusion,5000,0.3147353526304723,3.687761464089267,0.0512856184064134,0.6332,1.065841943145357,0.6622448246072978,0.5568785725831985
round2_diagnostic_balanced_small,film_global_panel_mean_aux,18,film_global_panel_mean_aux_hard_top1,5000,0.3923357110303943,3.926590123640276,0.0862421555671531,0.4784,0.9953406145058572,0.6184398859490641,0.5935402486264706
round2_diagnostic_balanced_small,film_global_panel_mean_aux,18,film_global_panel_mean_aux_raw_soft_fusion,5000,0.3698686361185959,2.5022968709649227,0.0637750806553547,0.4784,0.9953406145058572,0.6184398859490641,0.5935402486264706
round2_test_small,film_global_panel_mean_aux,18,film_global_panel_mean_aux_hard_top1,5000,0.4087130668941885,3.489015056294128,0.0753641446958296,0.617,1.0779801399666815,0.669786710588634,0.5488778184831142
round2_test_small,film_global_panel_mean_aux,18,film_global_panel_mean_aux_raw_soft_fusion,5000,0.3962009695410321,3.43605183500751,0.0628520473426732,0.617,1.0779801399666815,0.669786710588634,0.5488778184831142
