layout,seed,sample_set,sample_key,perturbation_sigma,perturbation_index,top1_period,perturbed_top1_period,top1_period_changed,top3_jaccard,top1_period_bucket,perturbed_top1_period_bucket,top1_period_bucket_flipped,period_score_margin,perturbed_period_score_margin,image_l2,image_cosine_distance,cls_embedding_cosine_distance,mean_patch_embedding_cosine_distance,embedding_l2,router_weight_js_divergence,router_weight_l1,router_weight_max_change,selected_model,perturbed_selected_model,selected_model_flipped,soft_fused_abs_change,soft_fused_mae_change,regret_change,oracle_model,season_strength_cat,forecastability_cat,error_gap_quantile,top3_periods,perturbed_top3_periods,high_change_score
top3fold_period_layout,16,round2_selection_small,96_48_S__vali__TEST_DATA_MIN__item4687__ch1__win83,0.01,0,3,3,False,0.2,p_le_4,p_le_4,False,4607.99951171875,4607.4794921875,29.61265182495117,0.0110836589729048,0.6919179379569272,0.7500505080409109,26.06875991821289,0.6407576986052538,1.9607515335083008,0.9803757667541504,DLinear,NaiveForecaster,True,0.2471240013837814,-0.2467560768127441,-0.2467560768127441,NaiveForecaster,strong,medium,q5,"3,12,6","3,96,2",1.4018918656190695
top3fold_period_layout,17,round2_selection_small,96_48_S__vali__TEST_DATA_MIN__item4687__ch1__win83,0.005,2,3,3,False,0.2,p_le_4,p_le_4,False,4607.99951171875,4607.83984375,29.542930603027344,0.0110313623177193,0.7296937943403907,0.7841125313062702,27.57207489013672,0.4855176526071816,1.7524617910385132,0.8762308955192566,DLinear,NaiveForecaster,True,0.2606231570243835,-0.2604684829711914,-0.2604684829711914,NaiveForecaster,strong,medium,q5,"3,12,6","3,2,96",1.2806615462311712
top3fold_period_layout,18,round2_selection_small,96_48_S__vali__TEST_DATA_MIN__item4687__ch1__win83,0.01,0,3,3,False,0.2,p_le_4,p_le_4,False,4607.99951171875,4607.54638671875,29.557090759277344,0.0110408504228197,0.6676287092736319,0.727133981482546,25.44131088256836,0.5363166961641954,1.842253804206848,0.9211268424987792,DLinear,NaiveForecaster,True,0.3396544158458709,-0.3394594192504883,-0.3394594192504883,NaiveForecaster,strong,medium,q5,"3,12,6","3,2,48",1.2744915280695612
top3fold_period_layout,18,round2_diagnostic_balanced_small,96_48_S__vali__TEST_DATA_MIN__item4687__ch2__win301,0.001,0,3,3,False,0.2,p_le_4,p_le_4,False,4607.55859375,4607.564453125,29.530214309692383,0.0110201742462253,0.6597466680004489,0.6715699239713717,24.703441619873047,0.574790575138987,1.88721227645874,0.9436060786247252,PatchTST,NaiveForecaster,True,0.4051503241062164,-0.4022876620292663,-0.4022876620292663,NaiveForecaster,strong,medium,q5,"3,6,12","3,4,96",1.2573806733565842
current_rgb_3view,16,round2_diagnostic_balanced_small,96_48_S__vali__TEST_DATA_HOUR__item108878__ch3__win2223,0.005,0,4,96,True,0.2,p_le_4,p_gt_64,True,0.0,0.0007503773085772,92.45905303955078,0.2221255211741609,0.5677916529755049,0.709929206363858,24.40736198425293,0.3114846472896593,1.4006582498550415,0.7003291249275208,ES,ES,False,0.0006431099609471,-0.0006431100191548,-0.0006431100191548,ES,strong,medium,q1,"4,3,2","96,6,4",1.2435393748276784
top3fold_period_layout,16,round2_selection_small,96_48_S__vali__TEST_DATA_MIN__item4687__ch1__win83,0.01,2,3,3,False,0.2,p_le_4,p_le_4,False,4607.99951171875,4607.5439453125,27.552425384521484,0.0095918657527925,0.533199275949495,0.721079939517187,24.233983993530277,0.5110841895516469,1.7564051151275637,0.8670178055763245,DLinear,NaiveForecaster,True,0.2081980854272842,-0.1773371696472168,-0.1773371696472168,NaiveForecaster,strong,medium,q5,"3,12,6","3,16,8",1.2417559948216264
current_rgb_3view,16,round2_diagnostic_balanced_small,96_48_S__vali__TEST_DATA_MIN__item13682__ch2__win220,0.01,0,4,64,True,0.0,p_le_4,p_33_64,True,0.0,0.0,95.68936920166016,0.2327487164542039,0.5264439726167094,0.6737785873842042,23.661909103393555,0.3307152758963925,1.4213361740112305,0.7106680870056152,ES,ES,False,0.0006510004750452,-0.0006510004168376,-0.0006510004168376,ES,weak,low,q1,"4,3,2","64,48,6",1.2372425797348006
top3fold_period_layout,16,round2_selection_small,96_48_S__vali__TEST_DATA_MIN__item4687__ch1__win83,0.001,0,3,3,False,0.2,p_le_4,p_le_4,False,4607.99951171875,4607.994140625,29.557605743408203,0.0110423515470742,0.6884026712479078,0.65801287492918,24.502660751342773,0.5657191113288568,1.8721795082092283,0.9225049614906312,DLinear,NaiveForecaster,True,0.2285268306732177,-0.215189129114151,-0.215189129114151,NaiveForecaster,strong,medium,q5,"3,12,6","3,96,32",1.234774337805111
current_rgb_3view,16,round2_diagnostic_balanced_small,96_48_S__vali__TEST_DATA_HOUR__item111519__ch4__win1743,0.01,1,4,32,True,0.2,p_le_4,p_17_32,True,0.0,0.0044740680605173,92.73208618164062,0.2230567785719711,0.5532441882505464,0.7118254969480993,24.459178924560547,0.299573838959139,1.3830891847610474,0.6915445923805237,ES,ES,False,0.0006390942144207,-0.0006390942144207,-0.0006390942144207,ES,strong,high,q1,"4,3,2","32,12,3",1.2344561144792094
current_rgb_3view,17,round2_selection_small,96_48_S__vali__TEST_DATA_MIN__item22375__ch3__win27,0.01,0,4,10,True,0.2,p_le_4,p_9_16,True,0.0,0.0119344480335712,81.52610778808594,0.1855201814110811,0.5445978047385018,0.7109854920618095,24.77751922607422,0.3349711985702199,1.473138451576233,0.7365691661834717,NaiveForecaster,ES,True,0.0006560533656738,-0.0006560533656738,-0.0006560533656738,ES,weak,medium,q1,"4,3,2","10,32,4",1.2314768720431106
