scale,sample_set,layout,backend,split,method,raw_soft_MAE,raw_soft_MSE,raw_soft_regret,seed_count,sample_count_per_seed,MAE_std,MSE_std,regret_std,reference_or_baseline,note
35k small,round2_selection_small,spatial_panel_3view,film_mean_patch_aux,selection,raw_soft_fusion,0.310385,3.329199,0.046935,3,5000,0.008199,0.573350,0.008199,Round2 selected layout,Round2c selection best; only selection used for screening decision
35k small,round2_selection_small,current_rgb_3view,film_mean_patch_aux,selection,raw_soft_fusion,0.316195,3.545494,0.052746,3,5000,0.003923,0.482875,0.003923,Round2 layout baseline,Registry baseline for Round2 layout comparison
35k small,round2_selection_small,top3fold_period_layout,film_mean_patch_aux,selection,raw_soft_fusion,0.320005,3.953752,0.056555,3,5000,0.000760,0.059739,0.000760,period diagnostic candidate,Continuity value but not selection metric winner
35k small,round2_test_small,spatial_panel_3view,film_mean_patch_aux,frozen_test_small,raw_soft_fusion,0.398598,3.484102,0.065249,3,5000,0.001161,0.009068,0.001161,Round2 selected layout,Frozen screening best; not used for selection
35k small,round2_test_small,current_rgb_3view,film_mean_patch_aux,frozen_test_small,raw_soft_fusion,0.400667,3.458295,0.067318,3,5000,0.001860,0.027744,0.001860,Round2 layout baseline,Frozen screening baseline
35k small,round2_test_small,top3fold_period_layout,film_mean_patch_aux,frozen_test_small,raw_soft_fusion,0.401559,3.477820,0.068210,3,5000,0.001259,0.014718,0.001259,period diagnostic candidate,Frozen screening did not beat spatial_panel_3view
65k expanded,round2_selection_expanded,spatial_panel_3view,film_mean_patch_aux,selection,raw_soft_fusion,0.307233,2.043914,0.043993,3,10000,0.001518,0.158331,0.001518,Round2 selected layout,Round2e-b selection best
65k expanded,round2_selection_expanded,current_rgb_3view,film_mean_patch_aux,selection,raw_soft_fusion,0.309653,2.121375,0.046413,3,10000,0.003273,0.244178,0.003273,Round2 layout baseline,Registry baseline for expanded validation
65k expanded,round2_selection_expanded,top3fold_period_layout,film_mean_patch_aux,selection,raw_soft_fusion,0.312709,2.363448,0.049469,3,10000,0.002014,0.097749,0.002014,period diagnostic candidate,Continuity advantage did not convert to selection metric advantage
65k expanded,round2_test_expanded,spatial_panel_3view,film_mean_patch_aux,frozen_test_expanded,raw_soft_fusion,0.394336,2.008546,0.069543,3,15000,0.002355,0.031969,0.002355,Round2 selected layout,Frozen expanded best; not used for selection
65k expanded,round2_test_expanded,current_rgb_3view,film_mean_patch_aux,frozen_test_expanded,raw_soft_fusion,0.399869,2.067997,0.075077,3,15000,0.001436,0.024884,0.001436,Round2 layout baseline,Frozen expanded baseline
65k expanded,round2_test_expanded,top3fold_period_layout,film_mean_patch_aux,frozen_test_expanded,raw_soft_fusion,0.399203,2.028646,0.074410,3,15000,0.000699,0.033796,0.000699,period diagnostic candidate,Frozen expanded second but not selection winner
P0 scale,pilot_selection,spatial_panel_3view,film_mean_patch_aux,selection,raw_soft_fusion,0.300227,1.269413,0.033496,3,30000,0.000546,0.204500,0.000546,Round2 mainline candidate,P0 selection validates spatial_panel_3view direction
P0 scale,pilot_selection,film_mean_patch_aux,film_mean_patch_aux,selection,raw_soft_fusion,0.300393,1.289872,0.033662,3,30000,0.000542,0.164650,0.000542,Round1 fallback baseline,Historical strongest fallback; not assumed equivalent to current_rgb_3view
P0 scale,pilot_test,spatial_panel_3view,film_mean_patch_aux,frozen_pilot_test,raw_soft_fusion,0.413558,182.771166,0.073273,3,75000,0.002209,0.092882,0.002209,Round2 mainline candidate,Frozen pilot_test improves over Round1 fallback; not used for selection
P0 scale,pilot_test,film_mean_patch_aux,film_mean_patch_aux,frozen_pilot_test,raw_soft_fusion,0.417824,183.353985,0.077539,3,75000,,,,"Round1 fallback baseline","Historical strongest fallback; delta MAE=-0.004266, MSE=-0.582819, regret=-0.004266 for spatial_panel_3view"
