sample_set,field,value,count,fraction
round2_train_small,split,vali,20000,1.0
round2_train_small,dataset_name,TEST_DATA_HOUR,16115,0.80575
round2_train_small,dataset_name,TEST_DATA_MIN,3885,0.19425
round2_train_small,oracle_model,CrossFormer,1998,0.0999
round2_train_small,oracle_model,DLinear,6265,0.31325
round2_train_small,oracle_model,ES,6996,0.3498
round2_train_small,oracle_model,NaiveForecaster,1618,0.0809
round2_train_small,oracle_model,PatchTST,3123,0.15615
round2_train_small,error_gap_quantile,q1,5214,0.2607
round2_train_small,error_gap_quantile,q2,2743,0.13715
round2_train_small,error_gap_quantile,q3,4377,0.21885
round2_train_small,error_gap_quantile,q4,4446,0.2223
round2_train_small,error_gap_quantile,q5,3220,0.161
round2_train_small,cluster,0,5105,0.25525
round2_train_small,cluster,18,3103,0.15515
round2_train_small,cluster,2,3939,0.19695
round2_train_small,cluster,20,4467,0.22335
round2_train_small,cluster,24,858,0.0429
round2_train_small,cluster,26,840,0.042
round2_train_small,cluster,6,817,0.04085
round2_train_small,cluster,8,871,0.04355
round2_train_small,group_name,HIGH_HIGH_HIGH,5105,0.25525
round2_train_small,group_name,HIGH_HIGH_LOW,3939,0.19695
round2_train_small,group_name,HIGH_LOW_HIGH,817,0.04085
round2_train_small,group_name,HIGH_LOW_LOW,871,0.04355
round2_train_small,group_name,LOW_HIGH_HIGH,3103,0.15515
round2_train_small,group_name,LOW_HIGH_LOW,4467,0.22335
round2_train_small,group_name,LOW_LOW_HIGH,858,0.0429
round2_train_small,group_name,LOW_LOW_LOW,840,0.042
round2_train_small,forecastability_cat,high,6604,0.3302
round2_train_small,forecastability_cat,low,12914,0.6457
round2_train_small,forecastability_cat,medium,482,0.0241
round2_train_small,season_strength_cat,moderate,4264,0.2132
round2_train_small,season_strength_cat,strong,12555,0.62775
round2_train_small,season_strength_cat,weak,3181,0.15905
round2_train_small,trend_strength_cat,moderate,8809,0.44045
round2_train_small,trend_strength_cat,strong,8670,0.4335
round2_train_small,trend_strength_cat,weak,2521,0.12605
round2_train_small,cv_cat,highly_variable,1229,0.06145
round2_train_small,cv_cat,moderate,7169,0.35845
round2_train_small,cv_cat,stable,6972,0.3486
round2_train_small,cv_cat,variable,4630,0.2315
round2_train_small,missing_ratio_cat,complete,20000,1.0
round2_selection_small,split,vali,5000,1.0
round2_selection_small,dataset_name,TEST_DATA_HOUR,4047,0.8094
round2_selection_small,dataset_name,TEST_DATA_MIN,953,0.1906
round2_selection_small,oracle_model,CrossFormer,479,0.0958
round2_selection_small,oracle_model,DLinear,1547,0.3094
