metric_group,stratum_column,stratum_value,method_kind,system_name,display_name,sample_count,raw_soft_MAE,raw_soft_MSE,raw_soft_regret,hard_top1_MAE,hard_top1_MSE,hard_top1_regret,oracle_label_accuracy,weight_entropy,normalized_weight_entropy,mean_max_weight,MAE_std,MSE_std,source_file,round1_raw_soft_MAE,round2_raw_soft_MAE,delta_raw_soft_MAE_round2_minus_round1,round1_raw_soft_MSE,round2_raw_soft_MSE,delta_raw_soft_MSE_round2_minus_round1,round1_raw_soft_regret,round2_raw_soft_regret,delta_raw_soft_regret_round2_minus_round1,round1_hard_top1_MAE,round2_hard_top1_MAE,delta_hard_top1_MAE_round2_minus_round1,round1_oracle_label_accuracy,round2_oracle_label_accuracy,delta_oracle_label_accuracy_round2_minus_round1,round1_weight_entropy,round2_weight_entropy,delta_weight_entropy_round2_minus_round1,round1_mean_max_weight,round2_mean_max_weight,delta_mean_max_weight_round2_minus_round1,round1_high_error_rate_top5,round2_high_error_rate_top5,round1_high_regret_rate_top5,round2_high_regret_rate_top5,round1_selected_ratio_CrossFormer,round2_selected_ratio_CrossFormer,delta_selected_ratio_CrossFormer_round2_minus_round1,oracle_ratio_CrossFormer,round1_selected_ratio_DLinear,round2_selected_ratio_DLinear,delta_selected_ratio_DLinear_round2_minus_round1,oracle_ratio_DLinear,round1_selected_ratio_ES,round2_selected_ratio_ES,delta_selected_ratio_ES_round2_minus_round1,oracle_ratio_ES,round1_selected_ratio_NaiveForecaster,round2_selected_ratio_NaiveForecaster,delta_selected_ratio_NaiveForecaster_round2_minus_round1,oracle_ratio_NaiveForecaster,round1_selected_ratio_PatchTST,round2_selected_ratio_PatchTST,delta_selected_ratio_PatchTST_round2_minus_round1,oracle_ratio_PatchTST
overall,overall,pilot_selection,raw_soft_fusion,round1_film_mean_patch_aux,Round1 film_mean_patch_aux,30000,0.30039319767940614,1.28987162021779,0.0336619940473476,,,,0.5521666666666666,1.1359745164847483,0.705820639405292,0.5023525087240669,0.0005415206000238382,0.1646497573801887,experiment_summaries/visual_router_v2_round1/p2e_film/round1_film_variant_seed_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overall,overall,pilot_selection,hard_top1,round1_film_mean_patch_aux,Round1 film_mean_patch_aux,30000,,,,0.3178284423188526,1.3785996552211823,0.051097238686793924,0.5521666666666666,1.1359745164847483,0.705820639405292,0.5023525087240669,0.00042946304773824396,0.15579053685047908,experiment_summaries/visual_router_v2_round1/p2e_film/round1_film_variant_seed_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overall,overall,pilot_test,raw_soft_fusion,round1_film_mean_patch_aux,Round1 film_mean_patch_aux,75000,0.41782391367984983,183.35398509131247,0.07753898966708861,,,,0.51556,1.1222319548589617,0.6972819058862673,0.5145078966481155,0.0006571035266904905,0.1571468171568606,experiment_summaries/visual_router_v2_round1/p2e_film_final_test_extension/round1_film_final_test_extension_variant_seed_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overall,overall,pilot_test,hard_top1,round1_film_mean_patch_aux,Round1 film_mean_patch_aux,75000,,,,0.4318506274050567,183.4774113179798,0.09156570339229557,0.51556,1.1222319548589617,0.6972819058862673,0.5145078966481155,0.0009088927347024911,0.1294783015772492,experiment_summaries/visual_router_v2_round1/p2e_film_final_test_extension/round1_film_final_test_extension_variant_seed_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overall,overall,pilot_selection,raw_soft_fusion,round2_spatial_panel_3view,Round2 spatial_panel_3view + film_mean_patch_aux,30000,0.3002268343315664,1.269413468185334,0.03349563069950783,,,,0.5496555555555556,1.1427316150452798,0.7100190632815727,0.4980334579509165,0.0005459253748224863,0.20450017274028937,experiment_summaries/visual_router_v2_round2/p0_spatial_panel_mainline/round2_p0_spatial_variant_seed_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overall,overall,pilot_selection,hard_top1,round2_spatial_panel_3view,Round2 spatial_panel_3view + film_mean_patch_aux,30000,,,,0.3184876168419554,1.329941153849791,0.0517564132098968,0.5496555555555556,1.1427316150452798,0.7100190632815727,0.4980334579509165,0.0005826302017305982,0.2085904149821392,experiment_summaries/visual_router_v2_round2/p0_spatial_panel_mainline/round2_p0_spatial_variant_seed_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overall,overall,pilot_test,raw_soft_fusion,round2_spatial_panel_3view,Round2 spatial_panel_3view + film_mean_patch_aux,75000,0.41355815497163473,182.77116559596718,0.07327323095887356,,,,0.5217333333333333,1.105016154730193,0.6865851306029279,0.5181608035686943,0.0022087742458668323,0.09288248801238547,experiment_summaries/visual_router_v2_round2/p0_spatial_panel_mainline/round2_p0_spatial_variant_seed_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overall,overall,pilot_test,hard_top1,round2_spatial_panel_3view,Round2 spatial_panel_3view + film_mean_patch_aux,75000,,,,0.42847866247945765,182.95753274020694,0.08819373846669654,0.5217333333333333,1.105016154730193,0.6865851306029279,0.5181608035686943,0.002478709719017109,0.1726045155927364,experiment_summaries/visual_router_v2_round2/p0_spatial_panel_mainline/round2_p0_spatial_variant_seed_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
strata,oracle_model,CrossFormer,,,,7417,,,,,,,,,,,,,,0.6353155779349056,0.6259987357226644,-0.009316842212241161,1.484637080130683,1.4494913928206017,-0.035145687310081275,0.10466426078170374,0.09534741856946252,-0.009316842212241216,0.6867519527135085,0.6750966455990796,-0.01165530711442897,0.11082647970877714,0.17284616421733856,0.06201968450856142,1.0577255566272419,1.0460728300589472,-0.011652726568294636,0.5604102347545219,0.5523884794194105,-0.008021755335111402,0.0969394633949036,0.09545638398274235,0.08183901847107995,0.07846838344344075,0.11082647970877714,0.17284616421733856,0.06201968450856142,1.0,0.1639027459440025,0.14340928497595615,-0.020493460968046356,0.0,0.08988360073704553,0.10844456428924543,0.018560963552199897,0.0,0.028897577636960138,0.03330187407307537,0.004404296436115229,0.0,0.6064895959732147,0.5419981124443846,-0.06449148352883016,0.0
strata,oracle_model,DLinear,,,,9432,,,,,,,,,,,,,,0.6280594331071332,0.6249930853990788,-0.003066347708054362,7.755282218808541,6.67871752230657,-1.076564696501971,0.1056617248394854,0.10259537713143108,-0.0030663477080543206,0.66184934179299,0.6637449359890205,0.00189559419603047,0.35224059937800395,0.3302940344925077,-0.021946564885496234,0.9838935120365001,0.9856463717154795,0.0017528596789794237,0.6034040917848585,0.5984021434257614,-0.005001948359097175,0.07771416454622561,0.08110687022900763,0.06308312128922816,0.07251908396946564,0.04792196776929601,0.06237630760531524,0.01445433983601923,0.0,0.35224059937800395,0.33029403449250777,-0.021946564885496178,1.0,0.08442889454339836,0.10287673169352558,0.018447837150127225,0.0,0.10499717274526435,0.10877862595419847,0.003781453208934124,0.0,0.41041136556403734,0.39567430025445294,-0.014737065309584407,0.0
